epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.094954,0.018894,0.030595,0.78743,0.093575,0.064091,0.018561,0.07484,0.018187,0.038334,0.070423,0.0032864,0.0032864
1.0,0.067521,0.014541,0.014571,0.71323,0.19945,0.20063,0.066376,0.061302,0.016481,0.033759,0.040357,0.0065542,0.0065542
2.0,0.06099,0.011737,0.012055,0.68407,0.17492,0.1862,0.068803,0.058227,0.015409,0.038448,0.010225,0.009756,0.009756
3.0,0.057924,0.010919,0.011156,0.64054,0.14941,0.14199,0.05342,0.056995,0.017413,0.041969,0.009703,0.009703,0.009703
4.0,0.054606,0.010468,0.010827,0.61244,0.20886,0.13522,0.044503,0.059216,0.020027,0.032982,0.009703,0.009703,0.009703
5.0,0.053599,0.010143,0.010412,0.71944,0.19248,0.22425,0.084402,0.05484,0.016955,0.030356,0.009604,0.009604,0.009604
6.0,0.051229,0.0099971,0.0093449,0.68594,0.20052,0.20541,0.077333,0.057012,0.015857,0.036202,0.009505,0.009505,0.009505
7.0,0.049617,0.0095295,0.0090497,0.71879,0.18014,0.20909,0.090064,0.054421,0.016083,0.032984,0.009406,0.009406,0.009406
8.0,0.048399,0.0090702,0.0079433,0.72796,0.1902,0.21823,0.084518,0.051724,0.015337,0.02581,0.009307,0.009307,0.009307
9.0,0.047726,0.0095207,0.0085106,0.41171,0.15965,0.16633,0.061626,0.054863,0.019022,0.036489,0.009208,0.009208,0.009208
10.0,0.047174,0.0092154,0.0075177,0.77079,0.16854,0.26337,0.10466,0.051174,0.014357,0.03179,0.009109,0.009109,0.009109
11.0,0.044759,0.0087987,0.0065186,0.75675,0.21119,0.28413,0.11965,0.051062,0.014866,0.030745,0.00901,0.00901,0.00901
12.0,0.044348,0.0088882,0.0067867,0.50663,0.35903,0.32079,0.1433,0.048043,0.014727,0.027496,0.008911,0.008911,0.008911
13.0,0.043399,0.0086923,0.0061064,0.64961,0.35365,0.37831,0.16759,0.047234,0.012743,0.021822,0.008812,0.008812,0.008812
14.0,0.043393,0.0085928,0.0057879,0.66226,0.34779,0.36681,0.15352,0.049325,0.0132,0.02276,0.008713,0.008713,0.008713
15.0,0.043452,0.0085053,0.0059936,0.65732,0.34619,0.35588,0.16224,0.04637,0.014836,0.025179,0.008614,0.008614,0.008614
16.0,0.0418,0.0083707,0.0051289,0.65914,0.36145,0.34917,0.14313,0.051076,0.012965,0.021309,0.008515,0.008515,0.008515
17.0,0.041692,0.0083255,0.0051658,0.69533,0.27996,0.33912,0.15978,0.04789,0.014349,0.032817,0.008416,0.008416,0.008416
18.0,0.041159,0.0085417,0.0056463,0.6814,0.34099,0.3566,0.16006,0.046106,0.014512,0.021624,0.008317,0.008317,0.008317
19.0,0.040466,0.0079913,0.0045023,0.6568,0.34254,0.35695,0.17318,0.046376,0.014652,0.028826,0.008218,0.008218,0.008218
20.0,0.039984,0.0080699,0.0047333,0.65279,0.32086,0.3395,0.15715,0.047824,0.014939,0.02668,0.008119,0.008119,0.008119
21.0,0.040009,0.0082378,0.0041057,0.7427,0.37371,0.41679,0.20073,0.045265,0.014296,0.021066,0.00802,0.00802,0.00802
22.0,0.038972,0.0078459,0.003914,0.69445,0.36152,0.38121,0.18037,0.048215,0.013902,0.025272,0.007921,0.007921,0.007921
23.0,0.039146,0.0079558,0.0043392,0.68585,0.37389,0.39717,0.19046,0.046123,0.01318,0.022118,0.007822,0.007822,0.007822
24.0,0.038823,0.0078319,0.0041757,0.65189,0.33188,0.35016,0.17028,0.047362,0.013463,0.02931,0.007723,0.007723,0.007723
25.0,0.037906,0.0075843,0.003496,0.75943,0.32388,0.37515,0.18218,0.046334,0.01294,0.028771,0.007624,0.007624,0.007624
26.0,0.038009,0.0075919,0.0033829,0.73659,0.34399,0.381,0.16908,0.048782,0.014273,0.024697,0.007525,0.007525,0.007525
27.0,0.037168,0.0073539,0.003066,0.7272,0.33741,0.38162,0.18243,0.048489,0.013468,0.026159,0.007426,0.007426,0.007426
28.0,0.037282,0.007456,0.0033907,0.75163,0.35152,0.40282,0.1972,0.046553,0.01406,0.022656,0.007327,0.007327,0.007327
29.0,0.036898,0.0072019,0.0033564,0.65261,0.36295,0.37216,0.17624,0.04659,0.013945,0.031023,0.007228,0.007228,0.007228
30.0,0.036922,0.0074993,0.0031986,0.74932,0.36391,0.40918,0.1964,0.046523,0.012585,0.025158,0.007129,0.007129,0.007129
31.0,0.036033,0.0074295,0.0031026,0.69262,0.32812,0.36791,0.1669,0.04642,0.015043,0.028572,0.00703,0.00703,0.00703
32.0,0.035843,0.0075899,0.0031783,0.68911,0.38728,0.41074,0.20176,0.044876,0.014174,0.025654,0.006931,0.006931,0.006931
33.0,0.035575,0.0072308,0.0029537,0.72401,0.34106,0.37813,0.17812,0.046114,0.014447,0.032215,0.006832,0.006832,0.006832
34.0,0.035123,0.0071762,0.002709,0.69199,0.35215,0.38022,0.17694,0.045206,0.013371,0.025537,0.006733,0.006733,0.006733
35.0,0.034976,0.0071701,0.0028877,0.76712,0.31006,0.3724,0.17799,0.047739,0.014093,0.033012,0.006634,0.006634,0.006634
36.0,0.034589,0.0071196,0.0025457,0.8255,0.31998,0.39888,0.19518,0.04423,0.013485,0.030674,0.006535,0.006535,0.006535
37.0,0.034533,0.0071367,0.002553,0.73737,0.40033,0.42778,0.20964,0.044472,0.013395,0.029171,0.006436,0.006436,0.006436
38.0,0.033705,0.007021,0.0025415,0.73337,0.38745,0.41881,0.20662,0.044863,0.013745,0.023023,0.006337,0.006337,0.006337
39.0,0.033687,0.0068299,0.0025817,0.75258,0.37644,0.4183,0.21316,0.04386,0.013855,0.026864,0.006238,0.006238,0.006238
40.0,0.03303,0.0067577,0.0019549,0.76183,0.37777,0.4255,0.20877,0.045033,0.012761,0.024227,0.006139,0.006139,0.006139
41.0,0.033213,0.0069114,0.0021925,0.77287,0.3644,0.42125,0.20987,0.044799,0.013571,0.027825,0.00604,0.00604,0.00604
42.0,0.033235,0.0067861,0.0025713,0.76387,0.37326,0.41749,0.21102,0.045546,0.014254,0.026799,0.005941,0.005941,0.005941
43.0,0.033114,0.00685,0.0021794,0.75321,0.37046,0.41558,0.20879,0.045501,0.014302,0.027963,0.005842,0.005842,0.005842
44.0,0.032511,0.0067419,0.002188,0.66254,0.36924,0.374,0.17522,0.049577,0.012942,0.025814,0.005743,0.005743,0.005743
45.0,0.032223,0.0066507,0.0022536,0.72855,0.36115,0.39704,0.19043,0.047994,0.013753,0.029459,0.005644,0.005644,0.005644
46.0,0.031911,0.0067964,0.0024701,0.71365,0.36935,0.39646,0.19527,0.04473,0.014982,0.02787,0.005545,0.005545,0.005545
