               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034051,            0.005375,           0.0013438,             0.77951,             0.37505,             0.42894,             0.21093,            0.048304,            0.012793,            0.025423,            0.070252,           0.0033053,           0.0033053
                   1,            0.031673,           0.0053206,            0.001103,             0.79115,             0.37739,             0.42972,             0.21735,            0.045161,            0.013612,            0.030595,            0.040186,           0.0065729,           0.0065729
                   2,            0.031174,           0.0052643,           0.0014564,             0.71799,               0.321,             0.34152,              0.1589,            0.052339,            0.014898,            0.038798,            0.010055,           0.0097745,           0.0097745
                   3,            0.033834,           0.0058867,           0.0019095,             0.68941,             0.32448,             0.31014,             0.13526,             0.05097,            0.015721,            0.044778,            0.009703,            0.009703,            0.009703
                   4,            0.035217,           0.0062964,           0.0025627,              0.6899,             0.29138,             0.32134,             0.15547,            0.049906,            0.015127,            0.043616,            0.009703,            0.009703,            0.009703
                   5,            0.034795,            0.006234,           0.0022596,             0.67786,             0.32252,             0.33709,             0.15814,            0.048314,            0.017063,            0.030536,            0.009604,            0.009604,            0.009604
                   6,            0.035427,           0.0062454,           0.0031229,             0.69818,             0.32372,             0.34275,             0.16974,            0.048936,            0.015437,            0.032098,            0.009505,            0.009505,            0.009505
                   7,            0.035688,           0.0063254,           0.0028917,             0.72913,             0.33187,             0.37349,             0.16964,            0.049381,            0.014086,            0.033147,            0.009406,            0.009406,            0.009406
                   8,            0.034027,           0.0059762,           0.0019742,             0.67389,             0.33033,             0.35063,             0.15784,            0.049047,            0.015553,            0.034758,            0.009307,            0.009307,            0.009307
                   9,            0.034068,           0.0060918,           0.0022512,                0.74,             0.36186,             0.39234,             0.18694,            0.048368,            0.014924,            0.028338,            0.009208,            0.009208,            0.009208
                  10,            0.033603,           0.0058156,           0.0018985,             0.75876,             0.31998,             0.36634,             0.17611,            0.047317,            0.013999,            0.030859,            0.009109,            0.009109,            0.009109
                  11,            0.033277,           0.0058293,           0.0020095,             0.45273,             0.33695,             0.37536,             0.18263,            0.046585,            0.013858,            0.032911,             0.00901,             0.00901,             0.00901
                  12,            0.032377,            0.005718,           0.0015957,             0.74877,             0.34415,             0.38548,             0.17568,            0.047855,            0.013224,            0.030836,            0.008911,            0.008911,            0.008911
                  13,            0.032004,           0.0055564,             0.00142,             0.71056,             0.36631,             0.37988,             0.18013,            0.048597,            0.014818,            0.037252,            0.008812,            0.008812,            0.008812
                  14,            0.032418,           0.0055674,           0.0018972,             0.72477,             0.31944,             0.36324,             0.16196,            0.052078,            0.014754,            0.030093,            0.008713,            0.008713,            0.008713
                  15,            0.032751,           0.0057407,           0.0020105,             0.71961,             0.29726,             0.33638,             0.14397,            0.051721,            0.013786,            0.034297,            0.008614,            0.008614,            0.008614
                  16,            0.032376,           0.0056325,           0.0019298,             0.65458,             0.33336,             0.34183,              0.1622,            0.048791,            0.014337,            0.030974,            0.008515,            0.008515,            0.008515
                  17,            0.032058,           0.0055567,           0.0017401,             0.75911,             0.33044,             0.38004,             0.17859,            0.049041,            0.014471,            0.027397,            0.008416,            0.008416,            0.008416
                  18,            0.031856,           0.0055601,           0.0014541,             0.72018,             0.34229,              0.3744,             0.18248,            0.048664,            0.013882,            0.031316,            0.008317,            0.008317,            0.008317
                  19,            0.031711,           0.0055913,           0.0018247,             0.51103,             0.35958,               0.402,             0.19743,             0.05027,            0.013367,            0.026616,            0.008218,            0.008218,            0.008218
                  20,            0.031429,           0.0054957,           0.0015832,             0.73951,             0.40164,             0.43337,             0.21335,            0.045591,            0.012336,            0.022314,            0.008119,            0.008119,            0.008119
                  21,            0.030955,           0.0055155,           0.0016452,             0.71855,              0.3711,             0.40056,             0.19989,            0.047034,              0.0142,            0.032166,             0.00802,             0.00802,             0.00802
                  22,            0.030544,           0.0053458,           0.0013633,             0.74564,             0.38763,             0.41737,             0.21164,            0.046751,            0.013791,            0.029822,            0.007921,            0.007921,            0.007921
                  23,            0.030357,           0.0052438,           0.0014219,             0.78087,             0.37942,             0.44337,             0.22287,            0.044321,             0.01403,            0.025574,            0.007822,            0.007822,            0.007822
                  24,            0.030142,           0.0052621,           0.0014672,              0.7858,             0.36806,             0.41629,              0.2078,            0.047705,            0.013849,            0.029041,            0.007723,            0.007723,            0.007723
                  25,            0.029782,           0.0051744,            0.001088,             0.77408,             0.31006,             0.36921,             0.18797,            0.049464,            0.016062,            0.041355,            0.007624,            0.007624,            0.007624
                  26,            0.029765,           0.0051833,           0.0012597,             0.76528,             0.37197,             0.42241,             0.21779,            0.045782,            0.013947,            0.025552,            0.007525,            0.007525,            0.007525
                  27,            0.029654,           0.0051515,           0.0012017,             0.75985,              0.3798,              0.4122,             0.21323,             0.04387,            0.013751,            0.028026,            0.007426,            0.007426,            0.007426
                  28,            0.029362,           0.0051471,           0.0014398,              0.8252,             0.33783,             0.40235,             0.20033,            0.045701,            0.015826,            0.029719,            0.007327,            0.007327,            0.007327
                  29,            0.029418,           0.0051905,           0.0011208,             0.75763,             0.36293,             0.39478,             0.19968,            0.047337,            0.014047,            0.032407,            0.007228,            0.007228,            0.007228
                  30,            0.029004,           0.0050125,           0.0012658,             0.72934,             0.34511,             0.37546,             0.18559,            0.050059,            0.014289,             0.03404,            0.007129,            0.007129,            0.007129
                  31,            0.028674,           0.0051006,           0.0011527,             0.76727,             0.38114,             0.42438,             0.21334,            0.045228,             0.01451,            0.024925,             0.00703,             0.00703,             0.00703
                  32,            0.028651,           0.0050186,           0.0011419,             0.69906,             0.36022,              0.3721,             0.18459,            0.049093,            0.014515,            0.030647,            0.006931,            0.006931,            0.006931
                  33,            0.028437,           0.0049837,           0.0014069,             0.47779,             0.36493,             0.39387,             0.19601,            0.049073,            0.014396,            0.028433,            0.006832,            0.006832,            0.006832
                  34,            0.028675,           0.0049429,           0.0011451,             0.77783,             0.36474,             0.41278,             0.20866,            0.046046,            0.014362,            0.028444,            0.006733,            0.006733,            0.006733
                  35,            0.028151,           0.0048663,           0.0012313,             0.73967,             0.35431,             0.39129,             0.19501,            0.048121,            0.014446,            0.027994,            0.006634,            0.006634,            0.006634
                  36,            0.027917,           0.0049386,            0.001198,             0.77874,             0.34401,             0.39638,             0.19926,            0.048204,             0.01426,            0.030305,            0.006535,            0.006535,            0.006535
                  37,            0.027396,           0.0048175,          0.00087494,              0.7727,             0.35684,             0.40177,             0.20804,             0.04805,            0.014534,            0.033606,            0.006436,            0.006436,            0.006436
                  38,            0.027722,           0.0048199,           0.0012276,             0.48238,             0.37199,             0.40891,             0.20771,             0.04651,            0.014493,            0.027756,            0.006337,            0.006337,            0.006337
                  39,            0.027593,            0.004845,           0.0012401,             0.46466,             0.34421,             0.38376,             0.19892,            0.046135,            0.015553,            0.031126,            0.006238,            0.006238,            0.006238
                  40,            0.027113,           0.0048139,            0.000939,             0.73242,             0.39916,             0.41512,             0.20354,            0.045763,            0.014887,            0.028293,            0.006139,            0.006139,            0.006139
