epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.039815,0.0053755,0.0047584,0.77675,0.38616,0.44363,0.21941,0.045101,0.013616,0.025616,0.0793,0.0023,0.0023
1.0,0.039156,0.0055073,0.0031544,0.78095,0.39364,0.45596,0.21611,0.04538,0.012293,0.024905,0.057653,0.0046535,0.0046535
2.0,0.036908,0.0048955,0.0018725,0.73035,0.38571,0.41934,0.18647,0.047598,0.012677,0.02499,0.035959,0.0069594,0.0069594
3.0,0.037541,0.0048561,0.0022189,0.71512,0.26312,0.31847,0.13136,0.0523,0.016472,0.031934,0.014218,0.0092178,0.0092178
4.0,0.039058,0.0051582,0.0040628,0.63665,0.2685,0.29923,0.13122,0.053399,0.014385,0.036037,0.009604,0.009604,0.009604
5.0,0.03991,0.0052581,0.0029873,0.60392,0.30707,0.30578,0.13061,0.051984,0.016009,0.036263,0.009604,0.009604,0.009604
6.0,0.040046,0.0053596,0.0032116,0.61694,0.30527,0.28997,0.12294,0.052721,0.015798,0.036292,0.009505,0.009505,0.009505
7.0,0.041087,0.0054835,0.0034662,0.54742,0.26879,0.24678,0.10148,0.056327,0.014945,0.030191,0.009406,0.009406,0.009406
8.0,0.039609,0.0054167,0.0023764,0.62329,0.29228,0.28884,0.11825,0.053904,0.015721,0.037096,0.009307,0.009307,0.009307
9.0,0.037873,0.0053407,0.0029349,0.71056,0.21573,0.24349,0.10225,0.054714,0.017313,0.046338,0.009208,0.009208,0.009208
10.0,0.038155,0.0052153,0.0029253,0.6528,0.27723,0.27967,0.117,0.056677,0.015632,0.033839,0.009109,0.009109,0.009109
11.0,0.03733,0.0050348,0.0021711,0.6005,0.18773,0.1758,0.068783,0.057954,0.019403,0.047178,0.00901,0.00901,0.00901
12.0,0.037389,0.0052561,0.0020734,0.64846,0.29027,0.29517,0.12629,0.052828,0.017072,0.044444,0.008911,0.008911,0.008911
13.0,0.036568,0.0048367,0.0019489,0.67513,0.28846,0.31787,0.14418,0.052789,0.017332,0.033835,0.008812,0.008812,0.008812
14.0,0.034396,0.0048192,0.0019067,0.63374,0.28136,0.30302,0.13638,0.054027,0.014585,0.032224,0.008713,0.008713,0.008713
15.0,0.034286,0.0044379,0.001786,0.68153,0.29527,0.33538,0.14989,0.051972,0.015675,0.034084,0.008614,0.008614,0.008614
16.0,0.034601,0.0045926,0.0012791,0.67921,0.29666,0.32682,0.14739,0.053386,0.01467,0.032887,0.008515,0.008515,0.008515
17.0,0.033863,0.0047183,0.0013846,0.63014,0.30228,0.32587,0.14214,0.051944,0.014807,0.035938,0.008416,0.008416,0.008416
18.0,0.033745,0.0043229,0.0013265,0.66581,0.31833,0.34047,0.15438,0.050023,0.014599,0.03029,0.008317,0.008317,0.008317
19.0,0.032917,0.0041914,0.0015565,0.6111,0.32804,0.31539,0.14043,0.050789,0.014843,0.034879,0.008218,0.008218,0.008218
20.0,0.033142,0.0043219,0.0015775,0.63808,0.27468,0.2993,0.13892,0.052074,0.016863,0.048234,0.008119,0.008119,0.008119
21.0,0.032896,0.0044926,0.0017061,0.67034,0.2675,0.29534,0.1284,0.055302,0.016268,0.043028,0.00802,0.00802,0.00802
22.0,0.032928,0.0047464,0.0018334,0.67611,0.31747,0.34043,0.15443,0.050416,0.016514,0.036603,0.007921,0.007921,0.007921
23.0,0.030971,0.0041547,0.0010945,0.67924,0.31488,0.34325,0.15273,0.050242,0.01541,0.034875,0.007822,0.007822,0.007822
24.0,0.031015,0.0044523,0.0012392,0.61015,0.3239,0.31759,0.13434,0.052953,0.014522,0.040487,0.007723,0.007723,0.007723
25.0,0.031033,0.0041734,0.0011166,0.68455,0.30421,0.32944,0.15006,0.050889,0.017502,0.039785,0.007624,0.007624,0.007624
26.0,0.031152,0.0041666,0.0013465,0.41625,0.31298,0.32489,0.14312,0.052078,0.016694,0.036179,0.007525,0.007525,0.007525
27.0,0.030887,0.0040001,0.0011453,0.67673,0.32413,0.35097,0.15778,0.051047,0.015527,0.036219,0.007426,0.007426,0.007426
28.0,0.029704,0.0038304,0.001367,0.67461,0.33365,0.36289,0.1724,0.049859,0.01683,0.03529,0.007327,0.007327,0.007327
29.0,0.029057,0.0040349,0.0010666,0.67603,0.33998,0.36606,0.17077,0.047316,0.015008,0.036492,0.007228,0.007228,0.007228
30.0,0.030129,0.0038135,0.001624,0.61417,0.29633,0.30086,0.14103,0.051658,0.017557,0.037464,0.007129,0.007129,0.007129
31.0,0.029308,0.0040464,0.0010815,0.68329,0.32451,0.33719,0.15519,0.052068,0.01584,0.035512,0.00703,0.00703,0.00703
32.0,0.029758,0.0039566,0.00096873,0.67159,0.28587,0.31966,0.15269,0.051811,0.019097,0.033042,0.006931,0.006931,0.006931
33.0,0.027675,0.0039841,0.00093485,0.66367,0.31797,0.324,0.15473,0.050869,0.017269,0.039244,0.006832,0.006832,0.006832
34.0,0.027886,0.003618,0.00087882,0.69572,0.31614,0.34653,0.15332,0.051107,0.016056,0.042015,0.006733,0.006733,0.006733
35.0,0.027391,0.0036636,0.0014264,0.36963,0.30407,0.31794,0.14499,0.052473,0.016079,0.035555,0.006634,0.006634,0.006634
36.0,0.026694,0.0038873,0.0010152,0.65814,0.30775,0.32807,0.1565,0.052288,0.01664,0.034094,0.006535,0.006535,0.006535
37.0,0.027708,0.0036237,0.0010209,0.68802,0.32409,0.34914,0.1655,0.050253,0.015816,0.036185,0.006436,0.006436,0.006436
38.0,0.02716,0.0037144,0.0014054,0.72925,0.29232,0.3407,0.16404,0.049098,0.017277,0.037273,0.006337,0.006337,0.006337
39.0,0.026535,0.003435,0.0010277,0.72688,0.25544,0.30647,0.14006,0.053104,0.019965,0.046355,0.006238,0.006238,0.006238
40.0,0.026529,0.003605,0.00082903,0.65698,0.29918,0.31051,0.1399,0.052562,0.017198,0.039711,0.006139,0.006139,0.006139
41.0,0.026197,0.003542,0.00077305,0.68022,0.31029,0.32374,0.15049,0.051029,0.017296,0.03694,0.00604,0.00604,0.00604
42.0,0.026169,0.0036787,0.00084617,0.73435,0.26449,0.32239,0.14869,0.051231,0.019003,0.034973,0.005941,0.005941,0.005941
43.0,0.025635,0.0035325,0.00067944,0.70642,0.3001,0.33207,0.14877,0.051631,0.016763,0.039981,0.005842,0.005842,0.005842
44.0,0.025732,0.0035229,0.0011552,0.71776,0.30007,0.32937,0.15323,0.05058,0.015886,0.038983,0.005743,0.005743,0.005743
45.0,0.025408,0.003262,0.0009648,0.66266,0.28932,0.32421,0.15518,0.050829,0.017676,0.040223,0.005644,0.005644,0.005644
46.0,0.025519,0.0032288,0.00078545,0.66404,0.30046,0.32607,0.15568,0.051498,0.018147,0.036629,0.005545,0.005545,0.005545
47.0,0.025399,0.0034549,0.00082786,0.71068,0.31897,0.35359,0.16675,0.050948,0.016629,0.030363,0.005446,0.005446,0.005446
48.0,0.02463,0.0033765,0.00057741,0.61296,0.28693,0.30393,0.14812,0.053358,0.017929,0.037729,0.005347,0.005347,0.005347
49.0,0.024061,0.003385,0.00083109,0.68005,0.28654,0.32438,0.1604,0.051099,0.017765,0.036104,0.005248,0.005248,0.005248
50.0,0.024056,0.0033458,0.00059224,0.64445,0.32754,0.33934,0.16268,0.050153,0.017129,0.034097,0.005149,0.005149,0.005149
51.0,0.024548,0.0032202,0.00077802,0.40049,0.30376,0.31947,0.15591,0.049058,0.017405,0.039178,0.00505,0.00505,0.00505
52.0,0.024654,0.003269,0.00085867,0.67031,0.28431,0.30701,0.14493,0.051772,0.019033,0.042583,0.004951,0.004951,0.004951
53.0,0.024897,0.0033573,0.0006586,0.6512,0.31593,0.32568,0.15772,0.051759,0.017636,0.039259,0.004852,0.004852,0.004852
54.0,0.023925,0.003246,0.00062531,0.67431,0.30787,0.33111,0.15616,0.051872,0.01789,0.035368,0.004753,0.004753,0.004753
55.0,0.023005,0.003209,0.00062,0.70736,0.30398,0.34658,0.16974,0.051598,0.018581,0.030942,0.004654,0.004654,0.004654
56.0,0.023281,0.0032748,0.0006863,0.63357,0.28401,0.31049,0.1485,0.051705,0.018774,0.037173,0.004555,0.004555,0.004555
57.0,0.022396,0.0032542,0.00069519,0.63502,0.31562,0.32894,0.15777,0.052538,0.018064,0.034886,0.004456,0.004456,0.004456
58.0,0.022736,0.0032617,0.00064542,0.66552,0.31208,0.3316,0.15581,0.055309,0.017034,0.035762,0.004357,0.004357,0.004357
59.0,0.022688,0.0031801,0.00064426,0.70776,0.32385,0.35166,0.17111,0.050698,0.01813,0.033324,0.004258,0.004258,0.004258
60.0,0.022265,0.003,0.00075199,0.67802,0.31453,0.3386,0.16147,0.049757,0.018463,0.035558,0.004159,0.004159,0.004159
61.0,0.022366,0.0030863,0.00072738,0.67228,0.32243,0.34292,0.17198,0.048473,0.018011,0.034951,0.00406,0.00406,0.00406
