               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041514,           0.0057348,           0.0045973,             0.76198,             0.42605,             0.46851,             0.23012,            0.043607,            0.012048,            0.022416,              0.0793,              0.0023,              0.0023
                   1,            0.040277,           0.0054118,           0.0020817,             0.74701,             0.40466,             0.45281,              0.2117,            0.046337,            0.012302,            0.023793,            0.057653,           0.0046535,           0.0046535
                   2,             0.03779,           0.0053118,           0.0023668,             0.71973,             0.37022,              0.3961,             0.18573,            0.046998,             0.01287,            0.027149,            0.035959,           0.0069594,           0.0069594
                   3,            0.037525,           0.0049177,           0.0014602,             0.75866,             0.35898,             0.40984,             0.19196,            0.048407,            0.012904,            0.023896,            0.014218,           0.0092178,           0.0092178
                   4,            0.038204,           0.0053119,           0.0023932,             0.61291,             0.31771,             0.31923,             0.14234,              0.0513,            0.015443,            0.042427,            0.009604,            0.009604,            0.009604
                   5,            0.036666,           0.0052495,           0.0025302,             0.57899,             0.32873,              0.3194,             0.14701,            0.050964,            0.013887,            0.048862,            0.009604,            0.009604,            0.009604
                   6,            0.037992,           0.0051979,           0.0028005,             0.60576,             0.17545,             0.19117,            0.075029,            0.058405,            0.018093,            0.036905,            0.009505,            0.009505,            0.009505
                   7,            0.037698,           0.0053549,           0.0019056,              0.7363,             0.20774,             0.26083,             0.10663,            0.053896,            0.017158,            0.039161,            0.009406,            0.009406,            0.009406
                   8,            0.037556,           0.0050491,            0.001753,             0.55503,             0.19188,             0.19086,              0.0831,            0.053767,            0.016191,            0.043147,            0.009307,            0.009307,            0.009307
                   9,            0.036899,           0.0052486,           0.0020822,             0.56591,             0.25307,             0.25859,             0.10983,             0.05759,            0.016393,            0.050957,            0.009208,            0.009208,            0.009208
                  10,            0.034698,           0.0049243,           0.0020744,             0.72209,             0.23295,             0.29576,             0.13248,            0.050418,            0.016157,            0.033681,            0.009109,            0.009109,            0.009109
                  11,            0.036176,           0.0050175,           0.0021291,             0.63293,             0.26062,             0.28241,             0.12116,            0.053493,            0.015029,            0.033002,             0.00901,             0.00901,             0.00901
                  12,            0.035211,           0.0052136,           0.0021736,             0.68877,              0.2147,             0.23721,            0.098887,            0.058067,            0.018317,             0.03502,            0.008911,            0.008911,            0.008911
                  13,            0.033908,           0.0049154,           0.0019263,             0.63789,             0.31223,              0.3117,             0.12933,            0.054955,            0.015315,            0.031109,            0.008812,            0.008812,            0.008812
                  14,            0.033959,           0.0049869,           0.0020371,             0.69479,             0.27774,             0.32568,             0.14255,             0.05193,            0.015478,            0.036098,            0.008713,            0.008713,            0.008713
                  15,            0.033712,            0.004639,            0.001747,              0.6349,             0.25803,             0.28561,             0.12185,            0.053183,            0.015413,            0.035207,            0.008614,            0.008614,            0.008614
                  16,            0.033449,           0.0046658,           0.0014548,             0.50989,             0.22623,             0.29538,             0.13036,            0.052288,            0.015272,            0.039482,            0.008515,            0.008515,            0.008515
                  17,            0.033507,           0.0048724,           0.0017739,             0.61354,             0.26132,             0.28303,             0.11951,            0.053066,            0.017872,            0.041817,            0.008416,            0.008416,            0.008416
                  18,            0.032316,           0.0043055,           0.0010595,              0.7049,             0.28858,             0.31544,             0.13592,            0.053388,            0.016691,            0.033896,            0.008317,            0.008317,            0.008317
                  19,            0.031669,           0.0044338,            0.001746,              0.6018,             0.28793,             0.30118,             0.12329,            0.053118,            0.015733,            0.037881,            0.008218,            0.008218,            0.008218
                  20,            0.031515,           0.0044473,          0.00093566,             0.65204,             0.26977,             0.28809,              0.1185,            0.054612,            0.015822,             0.03717,            0.008119,            0.008119,            0.008119
                  21,            0.030881,            0.004348,           0.0015751,             0.59729,             0.25902,             0.26212,              0.1091,             0.05511,            0.017397,             0.03281,             0.00802,             0.00802,             0.00802
                  22,             0.03026,           0.0044168,          0.00094534,             0.70327,             0.27181,             0.30087,             0.13381,            0.052133,            0.016217,            0.034079,            0.007921,            0.007921,            0.007921
                  23,            0.030144,           0.0040768,          0.00088327,              0.6923,             0.27922,             0.30068,             0.12996,            0.051723,             0.01844,            0.032786,            0.007822,            0.007822,            0.007822
                  24,            0.030578,           0.0042157,          0.00096449,             0.62074,             0.26752,             0.27733,             0.10844,            0.057856,            0.017995,            0.033783,            0.007723,            0.007723,            0.007723
                  25,            0.028719,           0.0040899,          0.00087947,             0.60761,             0.31028,             0.30431,             0.12315,            0.053425,            0.016699,            0.029842,            0.007624,            0.007624,            0.007624
                  26,            0.029778,           0.0041749,           0.0011275,             0.71035,             0.27411,              0.3181,             0.13772,            0.050517,             0.01573,            0.031276,            0.007525,            0.007525,            0.007525
