epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.048155,0.0076745,0.0026943,0.71755,0.40647,0.43457,0.20532,0.046726,0.013123,0.024109,0.0856,0.0016,0.0016
1.0,0.043469,0.0059786,0.0028343,0.73976,0.37908,0.42028,0.19453,0.046189,0.013059,0.02473,0.070267,0.0032673,0.0032673
2.0,0.042219,0.005764,0.0017907,0.78331,0.3477,0.40717,0.17329,0.049883,0.012895,0.026621,0.054901,0.004901,0.004901
3.0,0.039134,0.0054654,0.0011414,0.78091,0.33886,0.40795,0.17899,0.049524,0.012939,0.027186,0.039501,0.006501,0.006501
4.0,0.03855,0.0053902,0.00099386,0.73532,0.32718,0.36285,0.15834,0.053235,0.013358,0.031,0.024067,0.0080674,0.0080674
5.0,0.037779,0.0053494,0.0011903,0.69331,0.29001,0.31126,0.12753,0.055438,0.014543,0.029278,0.009505,0.009505,0.009505
6.0,0.037815,0.0051614,0.00098968,0.67338,0.26958,0.29359,0.12515,0.055688,0.015809,0.044318,0.009505,0.009505,0.009505
7.0,0.036702,0.0050188,0.0010379,0.68835,0.27588,0.30226,0.12542,0.055511,0.015174,0.037961,0.009406,0.009406,0.009406
8.0,0.036492,0.0050071,0.00098063,0.67982,0.27124,0.28606,0.11542,0.058432,0.015743,0.034991,0.009307,0.009307,0.009307
9.0,0.035935,0.004767,0.00079105,0.70755,0.26694,0.2897,0.115,0.060053,0.016159,0.03163,0.009208,0.009208,0.009208
10.0,0.035084,0.0044635,0.0006761,0.65644,0.28255,0.30762,0.12032,0.058934,0.015216,0.031926,0.009109,0.009109,0.009109
11.0,0.033732,0.004659,0.00098418,0.68463,0.24569,0.27105,0.10111,0.062508,0.014889,0.038134,0.00901,0.00901,0.00901
12.0,0.032394,0.004075,0.0009367,0.67532,0.26711,0.29648,0.11969,0.059692,0.016745,0.035968,0.008911,0.008911,0.008911
13.0,0.034132,0.0046427,0.0012304,0.72363,0.17612,0.20776,0.086025,0.062629,0.022854,0.05008,0.008812,0.008812,0.008812
14.0,0.032983,0.0043842,0.00073432,0.702,0.1838,0.21539,0.086502,0.064735,0.019138,0.052131,0.008713,0.008713,0.008713
15.0,0.031774,0.0041913,0.00068203,0.64394,0.20959,0.21599,0.079777,0.070243,0.015643,0.039369,0.008614,0.008614,0.008614
16.0,0.031544,0.0042937,0.00077381,0.68708,0.24303,0.28207,0.12208,0.0563,0.017067,0.039957,0.008515,0.008515,0.008515
17.0,0.031486,0.0040493,0.00067554,0.69731,0.24506,0.29322,0.1347,0.05435,0.019419,0.041924,0.008416,0.008416,0.008416
18.0,0.031792,0.0041751,0.00074397,0.72099,0.22337,0.25957,0.10296,0.062141,0.017754,0.037988,0.008317,0.008317,0.008317
19.0,0.029573,0.0041162,0.00069298,0.70394,0.20235,0.23214,0.090059,0.068872,0.017691,0.042329,0.008218,0.008218,0.008218
20.0,0.029955,0.0039911,0.00078066,0.69948,0.2188,0.23901,0.088985,0.063478,0.019063,0.050078,0.008119,0.008119,0.008119
21.0,0.0305,0.0041474,0.00076176,0.66841,0.23062,0.26498,0.099646,0.06003,0.016929,0.043544,0.00802,0.00802,0.00802
22.0,0.029941,0.0039483,0.00055396,0.70609,0.27196,0.29928,0.12187,0.057738,0.017026,0.036635,0.007921,0.007921,0.007921
23.0,0.029478,0.0040072,0.00073838,0.69976,0.26578,0.29671,0.11711,0.059015,0.01783,0.036814,0.007822,0.007822,0.007822
24.0,0.028399,0.0036181,0.00054956,0.70335,0.25303,0.29983,0.12775,0.057937,0.018168,0.038349,0.007723,0.007723,0.007723
25.0,0.028866,0.0039327,0.00062861,0.70702,0.26292,0.30584,0.12748,0.057777,0.016515,0.039175,0.007624,0.007624,0.007624
26.0,0.028993,0.0037026,0.00060735,0.73723,0.21352,0.27268,0.10875,0.059953,0.017654,0.041374,0.007525,0.007525,0.007525
27.0,0.029329,0.0038374,0.00068606,0.6822,0.24049,0.27706,0.11084,0.06019,0.018907,0.040907,0.007426,0.007426,0.007426
28.0,0.027974,0.0038257,0.00069454,0.67977,0.23063,0.26973,0.1137,0.059937,0.018356,0.041419,0.007327,0.007327,0.007327
29.0,0.027716,0.0037935,0.0007289,0.70352,0.22234,0.26125,0.10872,0.059903,0.019625,0.041132,0.007228,0.007228,0.007228
30.0,0.027148,0.0037934,0.00049844,0.698,0.23453,0.27543,0.12172,0.05764,0.018906,0.042759,0.007129,0.007129,0.007129
31.0,0.027235,0.0036588,0.00081045,0.69611,0.24236,0.28506,0.11139,0.05752,0.018328,0.042616,0.00703,0.00703,0.00703
32.0,0.028103,0.0036507,0.00055555,0.66027,0.25554,0.27436,0.10055,0.060146,0.018341,0.040404,0.006931,0.006931,0.006931
33.0,0.027151,0.0036409,0.00056439,0.66873,0.23881,0.25581,0.097753,0.06234,0.018689,0.043215,0.006832,0.006832,0.006832
34.0,0.026703,0.0035663,0.00043125,0.66393,0.21933,0.24397,0.088843,0.064975,0.018941,0.04083,0.006733,0.006733,0.006733
35.0,0.027188,0.0035083,0.00051317,0.63436,0.20659,0.23906,0.09018,0.0649,0.019254,0.037264,0.006634,0.006634,0.006634
36.0,0.02797,0.0034962,0.00053551,0.71879,0.22936,0.27398,0.11235,0.058512,0.018917,0.038907,0.006535,0.006535,0.006535
37.0,0.025998,0.003383,0.00053627,0.67385,0.23353,0.26976,0.10205,0.062302,0.018331,0.038818,0.006436,0.006436,0.006436
38.0,0.0257,0.0036731,0.00041851,0.6624,0.20179,0.22659,0.089649,0.061828,0.019759,0.042216,0.006337,0.006337,0.006337
39.0,0.026002,0.0032573,0.00048489,0.69686,0.20881,0.24423,0.094743,0.062027,0.01916,0.039901,0.006238,0.006238,0.006238
40.0,0.024567,0.0033801,0.00057047,0.68621,0.2504,0.28247,0.11205,0.057821,0.019012,0.041251,0.006139,0.006139,0.006139
41.0,0.025405,0.0033675,0.00037455,0.68802,0.24332,0.27863,0.11313,0.059334,0.019231,0.043711,0.00604,0.00604,0.00604
42.0,0.025351,0.0032584,0.00059067,0.67429,0.21842,0.26092,0.098251,0.064602,0.01931,0.035865,0.005941,0.005941,0.005941
43.0,0.024918,0.0033033,0.0005232,0.71461,0.23709,0.28259,0.116,0.058881,0.019116,0.039501,0.005842,0.005842,0.005842
44.0,0.02532,0.0036027,0.00044753,0.68683,0.25053,0.28473,0.11897,0.058172,0.018686,0.043301,0.005743,0.005743,0.005743
45.0,0.024791,0.0034137,0.00036951,0.65807,0.23879,0.27253,0.10524,0.061085,0.017478,0.041174,0.005644,0.005644,0.005644
46.0,0.023338,0.0031893,0.00037879,0.68589,0.23645,0.27375,0.11083,0.059881,0.019212,0.039481,0.005545,0.005545,0.005545
47.0,0.024452,0.0031518,0.00033979,0.72642,0.24605,0.29199,0.12679,0.057053,0.020332,0.036968,0.005446,0.005446,0.005446
48.0,0.024579,0.0032771,0.00039583,0.66732,0.20652,0.25551,0.097164,0.065564,0.020111,0.038375,0.005347,0.005347,0.005347
49.0,0.023993,0.0031597,0.00055811,0.66324,0.20775,0.23825,0.087714,0.068698,0.018693,0.044557,0.005248,0.005248,0.005248
50.0,0.023047,0.0033429,0.00044621,0.68875,0.22128,0.26528,0.11094,0.06129,0.019592,0.04301,0.005149,0.005149,0.005149
51.0,0.023603,0.0029876,0.00033647,0.72688,0.21146,0.26397,0.096928,0.063705,0.020335,0.04043,0.00505,0.00505,0.00505
52.0,0.023486,0.0033048,0.00038098,0.69117,0.19832,0.23735,0.094265,0.066819,0.020107,0.044217,0.004951,0.004951,0.004951
53.0,0.023065,0.0035622,0.00032712,0.70785,0.20732,0.24252,0.091963,0.065567,0.020601,0.04326,0.004852,0.004852,0.004852
54.0,0.022778,0.0031995,0.000413,0.72109,0.23166,0.27648,0.1084,0.061818,0.020273,0.038893,0.004753,0.004753,0.004753
55.0,0.023099,0.003119,0.00034797,0.73297,0.23114,0.28514,0.11908,0.060602,0.020969,0.03755,0.004654,0.004654,0.004654
56.0,0.021979,0.0031829,0.00033258,0.70483,0.25348,0.2943,0.11273,0.060469,0.019593,0.037501,0.004555,0.004555,0.004555
57.0,0.022371,0.0029901,0.00034855,0.71927,0.22946,0.27556,0.10998,0.06046,0.020685,0.042445,0.004456,0.004456,0.004456
58.0,0.021545,0.0029672,0.00033899,0.72148,0.21852,0.26442,0.10384,0.063868,0.020265,0.043092,0.004357,0.004357,0.004357
59.0,0.022469,0.0030561,0.00031198,0.71369,0.24919,0.29872,0.11948,0.060558,0.019838,0.039494,0.004258,0.004258,0.004258
60.0,0.021687,0.0029577,0.00027792,0.70191,0.24338,0.28508,0.11111,0.061675,0.019273,0.039072,0.004159,0.004159,0.004159
61.0,0.02135,0.0029356,0.00031246,0.70889,0.23514,0.27723,0.10789,0.06176,0.020324,0.040096,0.00406,0.00406,0.00406
62.0,0.02201,0.0030516,0.0003196,0.70499,0.23204,0.26565,0.10261,0.062031,0.020165,0.042107,0.003961,0.003961,0.003961
63.0,0.021552,0.0029766,0.00029191,0.70107,0.23516,0.28207,0.11413,0.061282,0.020187,0.040852,0.003862,0.003862,0.003862
64.0,0.021268,0.0031388,0.00030651,0.69213,0.23194,0.26537,0.10142,0.064481,0.019787,0.040814,0.003763,0.003763,0.003763
65.0,0.020626,0.0028453,0.00024587,0.71477,0.23825,0.28323,0.10796,0.063419,0.020311,0.037507,0.003664,0.003664,0.003664
66.0,0.021111,0.0029306,0.00022961,0.69001,0.23037,0.2741,0.10758,0.061573,0.021302,0.037784,0.003565,0.003565,0.003565
67.0,0.021257,0.0029558,0.00030212,0.69913,0.22466,0.27132,0.10949,0.060793,0.021769,0.040874,0.003466,0.003466,0.003466
68.0,0.019876,0.0029411,0.00025477,0.6984,0.20506,0.24433,0.088911,0.06598,0.0212,0.043271,0.003367,0.003367,0.003367
69.0,0.020965,0.0031345,0.00030737,0.7263,0.23126,0.28174,0.12126,0.060174,0.020856,0.044174,0.003268,0.003268,0.003268
70.0,0.020881,0.0031769,0.00025328,0.72683,0.23188,0.28744,0.11907,0.059267,0.021654,0.042609,0.003169,0.003169,0.003169
71.0,0.020357,0.0028181,0.00024329,0.71812,0.23096,0.27776,0.11747,0.061055,0.021382,0.041475,0.00307,0.00307,0.00307
