epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.02829,0.00423,0.00089102,0.76953,0.38536,0.42169,0.21849,0.048031,0.016089,0.028552,0.070294,0.0033007,0.0033007
1.0,0.02755,0.0041352,0.00091421,0.75503,0.37461,0.3911,0.19863,0.047752,0.01579,0.030737,0.040228,0.0065683,0.0065683
2.0,0.027651,0.0046291,0.001126,0.72103,0.39742,0.40715,0.18238,0.049138,0.014489,0.025874,0.010097,0.00977,0.00977
3.0,0.031623,0.0056579,0.0025911,0.6906,0.26124,0.29521,0.12414,0.054057,0.014947,0.033634,0.009703,0.009703,0.009703
4.0,0.03321,0.0060497,0.0027008,0.68473,0.30179,0.30124,0.13204,0.052596,0.014361,0.034775,0.009703,0.009703,0.009703
5.0,0.03321,0.0060961,0.0030807,0.71176,0.28462,0.32402,0.14492,0.05221,0.016314,0.031878,0.009604,0.009604,0.009604
6.0,0.033515,0.0061971,0.0026434,0.7347,0.30744,0.34625,0.15123,0.053245,0.014241,0.028568,0.009505,0.009505,0.009505
7.0,0.033163,0.0059564,0.0026285,0.7468,0.30048,0.34587,0.15918,0.051629,0.014074,0.031882,0.009406,0.009406,0.009406
8.0,0.03301,0.0059921,0.0026743,0.71575,0.31262,0.36071,0.16794,0.047377,0.015261,0.033723,0.009307,0.009307,0.009307
9.0,0.033083,0.0061058,0.0028743,0.72989,0.32265,0.34105,0.14854,0.049151,0.013673,0.033268,0.009208,0.009208,0.009208
10.0,0.032292,0.0059309,0.0019915,0.72296,0.32723,0.35481,0.15932,0.050233,0.014568,0.038035,0.009109,0.009109,0.009109
11.0,0.032605,0.0058984,0.0021128,0.6893,0.28957,0.31687,0.15011,0.048769,0.015856,0.040539,0.00901,0.00901,0.00901
12.0,0.03191,0.0058199,0.002073,0.47629,0.27271,0.30759,0.14054,0.05293,0.015517,0.038524,0.008911,0.008911,0.008911
13.0,0.031744,0.0057453,0.0020527,0.46176,0.30566,0.34296,0.16926,0.045432,0.014252,0.031434,0.008812,0.008812,0.008812
14.0,0.03079,0.0056925,0.001995,0.72122,0.35994,0.39175,0.18851,0.047543,0.015557,0.028988,0.008713,0.008713,0.008713
15.0,0.030639,0.0056165,0.0020782,0.50416,0.31667,0.35272,0.16608,0.053256,0.014251,0.032914,0.008614,0.008614,0.008614
16.0,0.030224,0.0054265,0.0015019,0.72395,0.32975,0.36647,0.18114,0.048677,0.014242,0.034402,0.008515,0.008515,0.008515
17.0,0.029866,0.005323,0.0014887,0.74454,0.35583,0.38373,0.18679,0.048535,0.013962,0.029903,0.008416,0.008416,0.008416
18.0,0.029579,0.0052878,0.0017206,0.5491,0.29802,0.37247,0.16046,0.05049,0.014537,0.028728,0.008317,0.008317,0.008317
19.0,0.029818,0.0053482,0.0016999,0.77678,0.29082,0.33093,0.15531,0.051213,0.01582,0.033855,0.008218,0.008218,0.008218
20.0,0.029561,0.0052573,0.0014816,0.74906,0.35764,0.40113,0.18902,0.047492,0.015455,0.023501,0.008119,0.008119,0.008119
21.0,0.028684,0.0052091,0.0013061,0.49701,0.3387,0.37322,0.18087,0.048661,0.015496,0.035356,0.00802,0.00802,0.00802
22.0,0.02883,0.0052215,0.0014758,0.75327,0.38213,0.41355,0.20371,0.048283,0.014125,0.024147,0.007921,0.007921,0.007921
23.0,0.028315,0.0051507,0.0012009,0.78863,0.36508,0.41772,0.21069,0.045816,0.01558,0.026555,0.007822,0.007822,0.007822
24.0,0.028371,0.0049288,0.0015273,0.50563,0.3412,0.39654,0.19882,0.048191,0.014728,0.027315,0.007723,0.007723,0.007723
25.0,0.027984,0.0049791,0.0011496,0.75403,0.34687,0.4015,0.19789,0.046439,0.014834,0.030831,0.007624,0.007624,0.007624
26.0,0.027885,0.0050031,0.0011841,0.75665,0.35598,0.38597,0.17717,0.05122,0.015389,0.032442,0.007525,0.007525,0.007525
27.0,0.027826,0.0049424,0.0012806,0.75904,0.35179,0.39364,0.19221,0.049141,0.015054,0.029601,0.007426,0.007426,0.007426
28.0,0.027631,0.0047938,0.00099796,0.78653,0.34428,0.39811,0.19944,0.046345,0.014238,0.029386,0.007327,0.007327,0.007327
29.0,0.027015,0.0047327,0.0012102,0.77025,0.34004,0.37476,0.17881,0.051195,0.015509,0.030031,0.007228,0.007228,0.007228
30.0,0.027086,0.0049459,0.0011597,0.74214,0.37358,0.39705,0.19018,0.047799,0.015186,0.031651,0.007129,0.007129,0.007129
31.0,0.02639,0.004738,0.0009994,0.72553,0.3928,0.41148,0.21012,0.045316,0.014155,0.03034,0.00703,0.00703,0.00703
32.0,0.02705,0.0048315,0.0012712,0.78288,0.33818,0.39218,0.20601,0.043738,0.015075,0.03175,0.006931,0.006931,0.006931
33.0,0.026232,0.0046927,0.00092714,0.48687,0.36545,0.39596,0.20191,0.046133,0.015419,0.028669,0.006832,0.006832,0.006832
34.0,0.025654,0.004704,0.00094191,0.7835,0.35105,0.38716,0.19061,0.049586,0.015043,0.026862,0.006733,0.006733,0.006733
35.0,0.025789,0.0045632,0.00093637,0.75589,0.34225,0.3793,0.18483,0.047437,0.015891,0.029195,0.006634,0.006634,0.006634
36.0,0.0259,0.0046731,0.0011784,0.7658,0.35126,0.40173,0.20893,0.047329,0.015457,0.027625,0.006535,0.006535,0.006535
37.0,0.02538,0.0045323,0.0008376,0.74025,0.36077,0.39031,0.20424,0.046955,0.015926,0.02852,0.006436,0.006436,0.006436
38.0,0.024942,0.0044177,0.00092017,0.5059,0.35561,0.3987,0.21287,0.046158,0.016362,0.02991,0.006337,0.006337,0.006337
39.0,0.024937,0.0043526,0.00094225,0.74839,0.35282,0.3874,0.20382,0.046984,0.015614,0.033822,0.006238,0.006238,0.006238
40.0,0.025387,0.0045801,0.00081054,0.7897,0.33605,0.40329,0.20264,0.047014,0.015676,0.032497,0.006139,0.006139,0.006139
41.0,0.024831,0.0043783,0.00087406,0.77941,0.3797,0.41291,0.21146,0.045312,0.015266,0.026517,0.00604,0.00604,0.00604
42.0,0.024663,0.00452,0.00086689,0.49294,0.35228,0.39067,0.18756,0.048346,0.01598,0.026823,0.005941,0.005941,0.005941
43.0,0.024358,0.004291,0.00090646,0.46539,0.37712,0.39737,0.20454,0.045736,0.015172,0.034249,0.005842,0.005842,0.005842
44.0,0.024703,0.0043663,0.00091279,0.76433,0.33214,0.3756,0.1896,0.048696,0.016513,0.031051,0.005743,0.005743,0.005743
45.0,0.024269,0.0043926,0.00093538,0.49402,0.36483,0.39329,0.19687,0.047784,0.016395,0.028519,0.005644,0.005644,0.005644
46.0,0.023993,0.0043786,0.00096946,0.75561,0.35721,0.39669,0.20045,0.047001,0.016008,0.029038,0.005545,0.005545,0.005545
47.0,0.023986,0.0043475,0.00094066,0.75748,0.35342,0.39247,0.2015,0.04779,0.016055,0.030916,0.005446,0.005446,0.005446
48.0,0.023396,0.0042555,0.00072752,0.78004,0.38383,0.42057,0.21794,0.045997,0.017251,0.023623,0.005347,0.005347,0.005347
49.0,0.023415,0.0042005,0.00084508,0.75505,0.39068,0.42156,0.21469,0.046676,0.015853,0.026686,0.005248,0.005248,0.005248
50.0,0.023058,0.0042693,0.00070197,0.78363,0.37123,0.4192,0.21497,0.046501,0.015789,0.02461,0.005149,0.005149,0.005149
51.0,0.023037,0.004191,0.00071745,0.83531,0.34902,0.41386,0.20389,0.046945,0.016486,0.024093,0.00505,0.00505,0.00505
52.0,0.022931,0.0040864,0.00064033,0.51949,0.38129,0.41566,0.21566,0.046427,0.016738,0.028446,0.004951,0.004951,0.004951
53.0,0.022794,0.004154,0.00082057,0.56438,0.36974,0.4305,0.22502,0.047025,0.015269,0.023767,0.004852,0.004852,0.004852
54.0,0.022926,0.0041103,0.00065189,0.52915,0.37985,0.4216,0.22214,0.046333,0.016704,0.025356,0.004753,0.004753,0.004753
55.0,0.022237,0.0040673,0.00060317,0.52551,0.35968,0.40942,0.21315,0.04666,0.017409,0.02672,0.004654,0.004654,0.004654
56.0,0.022207,0.0040192,0.0008289,0.7368,0.35866,0.40155,0.21405,0.047684,0.016948,0.029172,0.004555,0.004555,0.004555
57.0,0.022326,0.0040332,0.00065013,0.51371,0.38481,0.41362,0.21322,0.047167,0.015808,0.02487,0.004456,0.004456,0.004456
58.0,0.021965,0.0039906,0.00069271,0.51261,0.37547,0.41926,0.21754,0.04625,0.016492,0.028048,0.004357,0.004357,0.004357
59.0,0.02207,0.0040188,0.00074624,0.51142,0.38443,0.4184,0.21569,0.046173,0.016722,0.026368,0.004258,0.004258,0.004258
60.0,0.021772,0.003919,0.00061484,0.5206,0.37548,0.42447,0.22545,0.045843,0.016028,0.027667,0.004159,0.004159,0.004159
61.0,0.021519,0.0039421,0.00060112,0.50823,0.36952,0.40799,0.21746,0.046678,0.01726,0.030996,0.00406,0.00406,0.00406
62.0,0.021531,0.0038665,0.00063257,0.76478,0.36108,0.40229,0.20794,0.046334,0.016559,0.031676,0.003961,0.003961,0.003961
63.0,0.021482,0.0039442,0.00063942,0.50377,0.36398,0.41343,0.21578,0.04603,0.017056,0.030141,0.003862,0.003862,0.003862
64.0,0.0212,0.0039419,0.00060457,0.79789,0.35726,0.4155,0.21962,0.046438,0.016483,0.027443,0.003763,0.003763,0.003763
65.0,0.020944,0.003894,0.00050269,0.53607,0.37514,0.42377,0.22645,0.046565,0.016421,0.027508,0.003664,0.003664,0.003664
66.0,0.020905,0.0037882,0.00062112,0.53285,0.36776,0.41121,0.22071,0.045707,0.017513,0.028922,0.003565,0.003565,0.003565
67.0,0.020519,0.0038198,0.00042249,0.54502,0.36782,0.41707,0.22134,0.047043,0.017004,0.028855,0.003466,0.003466,0.003466
68.0,0.02079,0.0038162,0.00051076,0.54673,0.35046,0.4057,0.21705,0.046555,0.017269,0.028339,0.003367,0.003367,0.003367
69.0,0.019934,0.0037689,0.00046911,0.52599,0.38064,0.42079,0.22132,0.046263,0.016964,0.027264,0.003268,0.003268,0.003268
70.0,0.020155,0.0037054,0.00050491,0.52959,0.37187,0.41238,0.21957,0.047637,0.017066,0.026677,0.003169,0.003169,0.003169
71.0,0.020192,0.0036871,0.00059405,0.5368,0.36605,0.41718,0.22448,0.047197,0.017496,0.025863,0.00307,0.00307,0.00307
72.0,0.01999,0.0036758,0.00055034,0.50332,0.38234,0.41227,0.21812,0.046608,0.017855,0.027214,0.002971,0.002971,0.002971
73.0,0.019758,0.003624,0.00037905,0.77194,0.35723,0.40567,0.21529,0.046342,0.017674,0.027478,0.002872,0.002872,0.002872
74.0,0.019509,0.0036584,0.00043488,0.80659,0.35298,0.40796,0.21797,0.046113,0.017149,0.028225,0.002773,0.002773,0.002773
75.0,0.019434,0.0037185,0.00054689,0.79879,0.33348,0.40245,0.21513,0.0472,0.01756,0.028103,0.002674,0.002674,0.002674
76.0,0.019001,0.0035526,0.00048311,0.76186,0.36896,0.41257,0.21788,0.046506,0.017575,0.027229,0.002575,0.002575,0.002575
77.0,0.018976,0.003541,0.00061025,0.47848,0.38591,0.40765,0.21994,0.046319,0.017818,0.028191,0.002476,0.002476,0.002476
78.0,0.018805,0.0035019,0.00053249,0.50782,0.38353,0.41709,0.22608,0.04614,0.017457,0.027577,0.002377,0.002377,0.002377
