               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046027,           0.0094702,           0.0037207,             0.66403,              0.3021,             0.30711,             0.13663,            0.053948,            0.016854,            0.038979,              0.0784,              0.0024,              0.0024
                   1,            0.041649,           0.0068141,           0.0019692,             0.67589,             0.26406,             0.29128,             0.13392,            0.051379,            0.016905,            0.041299,            0.055851,           0.0048515,           0.0048515
                   2,            0.038019,           0.0061193,           0.0020927,             0.63707,             0.33554,             0.32814,             0.14696,            0.050976,            0.015134,            0.034378,            0.033253,           0.0072535,           0.0072535
                   3,            0.036665,           0.0060993,           0.0021167,             0.57795,             0.22097,             0.24049,             0.10388,            0.053781,            0.017987,            0.044538,            0.010606,            0.009606,            0.009606
                   4,            0.036754,           0.0058268,           0.0024397,             0.50217,              0.2101,             0.16188,            0.068218,            0.054141,            0.018531,            0.044052,            0.009604,            0.009604,            0.009604
                   5,            0.037569,           0.0063987,           0.0026544,             0.67618,             0.14501,             0.15411,            0.059766,            0.069344,            0.018971,            0.056641,            0.009604,            0.009604,            0.009604
                   6,            0.036581,           0.0057973,            0.002585,             0.69514,             0.22567,             0.24048,            0.098361,            0.055775,            0.017721,            0.038846,            0.009505,            0.009505,            0.009505
                   7,            0.036632,           0.0061799,           0.0021097,             0.65192,             0.12556,             0.15653,             0.06982,            0.064053,            0.022302,            0.062695,            0.009406,            0.009406,            0.009406
                   8,            0.036223,           0.0060836,            0.001633,             0.24715,             0.20328,             0.16619,            0.067057,            0.062683,            0.019323,            0.049961,            0.009307,            0.009307,            0.009307
                   9,            0.034703,           0.0057524,           0.0014387,              0.5836,             0.22804,             0.23396,            0.099956,            0.051982,            0.017484,             0.04435,            0.009208,            0.009208,            0.009208
                  10,             0.03243,            0.005517,           0.0011252,             0.57856,             0.27077,             0.26401,             0.11372,            0.052883,            0.015193,            0.037951,            0.009109,            0.009109,            0.009109
                  11,            0.033647,           0.0055741,           0.0012263,             0.35916,             0.24715,             0.25853,             0.11152,            0.058188,            0.015836,            0.034966,             0.00901,             0.00901,             0.00901
                  12,            0.032166,           0.0051032,          0.00092976,             0.37782,             0.28642,             0.28119,             0.11459,            0.054481,            0.014628,            0.034492,            0.008911,            0.008911,            0.008911
                  13,            0.031583,           0.0050149,          0.00095149,             0.41451,              0.2162,             0.23594,             0.10248,             0.06193,            0.018715,            0.040849,            0.008812,            0.008812,            0.008812
                  14,            0.030734,           0.0048956,          0.00097619,             0.44261,             0.24455,             0.28205,             0.11262,            0.057558,            0.016867,            0.037633,            0.008713,            0.008713,            0.008713
                  15,            0.031102,           0.0049863,           0.0013377,             0.42006,              0.2109,             0.23767,            0.096144,            0.061882,            0.020147,            0.036626,            0.008614,            0.008614,            0.008614
                  16,            0.030435,           0.0046734,          0.00091763,             0.69669,             0.26576,             0.30698,             0.13049,            0.056945,             0.01606,             0.03246,            0.008515,            0.008515,            0.008515
                  17,            0.029561,           0.0047022,          0.00096907,             0.59739,             0.27591,             0.26368,             0.11531,            0.057017,            0.015723,            0.034495,            0.008416,            0.008416,            0.008416
                  18,            0.029654,           0.0043606,          0.00067597,             0.67631,             0.20355,             0.23776,             0.10092,            0.060324,            0.019195,              0.0418,            0.008317,            0.008317,            0.008317
                  19,            0.029546,           0.0047539,          0.00076457,             0.47046,             0.22191,             0.26594,             0.11278,            0.059815,            0.016419,            0.040855,            0.008218,            0.008218,            0.008218
                  20,            0.028393,           0.0045057,          0.00057495,             0.61998,             0.27272,             0.27054,             0.11396,            0.061453,             0.01645,            0.041185,            0.008119,            0.008119,            0.008119
                  21,            0.029012,           0.0046396,          0.00054572,             0.66102,             0.26403,             0.30372,             0.13466,             0.05576,            0.016857,             0.03634,             0.00802,             0.00802,             0.00802
                  22,            0.028543,           0.0042983,          0.00064566,              0.7375,             0.26588,             0.31081,             0.13083,            0.055727,            0.015549,            0.035516,            0.007921,            0.007921,            0.007921
                  23,             0.02922,           0.0046627,           0.0006897,             0.66841,             0.27468,             0.29321,             0.12732,            0.055732,            0.017831,             0.03473,            0.007822,            0.007822,            0.007822
                  24,            0.028174,            0.004208,          0.00076416,             0.46723,             0.28649,             0.32206,              0.1364,            0.053901,            0.016717,            0.031902,            0.007723,            0.007723,            0.007723
                  25,            0.027173,            0.004187,          0.00072106,             0.71432,             0.29297,             0.32064,             0.14176,            0.055124,            0.016137,            0.033247,            0.007624,            0.007624,            0.007624
                  26,            0.027634,           0.0042356,          0.00065575,             0.73602,             0.28647,              0.3317,             0.14454,            0.050542,            0.015904,            0.036967,            0.007525,            0.007525,            0.007525
                  27,            0.026517,           0.0041802,           0.0004805,             0.70074,             0.26008,             0.29116,             0.12701,            0.055886,            0.017662,            0.037904,            0.007426,            0.007426,            0.007426
                  28,            0.026977,           0.0039697,           0.0005267,             0.68746,              0.2636,             0.29576,             0.12433,            0.054701,             0.01807,            0.037707,            0.007327,            0.007327,            0.007327
                  29,            0.026361,           0.0040155,           0.0004884,             0.66982,             0.21844,             0.25374,             0.10992,            0.057213,            0.019891,            0.040604,            0.007228,            0.007228,            0.007228
                  30,            0.026545,           0.0041989,          0.00050173,             0.39148,             0.24271,             0.26564,             0.11765,            0.054018,             0.02152,            0.041348,            0.007129,            0.007129,            0.007129
                  31,            0.025939,           0.0040243,          0.00057452,             0.41149,             0.23866,             0.26825,             0.12205,            0.055179,            0.021261,             0.03715,             0.00703,             0.00703,             0.00703
                  32,            0.026198,           0.0039353,          0.00067631,             0.44295,             0.28481,             0.31486,             0.13042,            0.054207,            0.017725,            0.038226,            0.006931,            0.006931,            0.006931
                  33,            0.025539,           0.0040928,          0.00061453,             0.41906,             0.28712,             0.30487,             0.13234,            0.054667,            0.017683,            0.035453,            0.006832,            0.006832,            0.006832
