epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.092757,0.016606,0.028895,0.53207,0.074022,0.066433,0.020817,0.064918,0.019912,0.041018,0.070349,0.0032946,0.0032946
1.0,0.065994,0.01306,0.013895,0.85448,0.080224,0.16861,0.067327,0.06167,0.016847,0.033711,0.040283,0.0065623,0.0065623
2.0,0.060652,0.010789,0.01202,0.69011,0.12431,0.10966,0.039094,0.068966,0.017253,0.040407,0.010152,0.009764,0.009764
3.0,0.058359,0.0098557,0.01148,0.3705,0.26737,0.11382,0.039609,0.058463,0.023947,0.052077,0.009703,0.009703,0.009703
4.0,0.055342,0.0097358,0.010653,0.70482,0.16982,0.21391,0.082385,0.054218,0.017077,0.03323,0.009703,0.009703,0.009703
5.0,0.053298,0.0094129,0.010179,0.71309,0.17324,0.19892,0.076796,0.055283,0.016097,0.034263,0.009604,0.009604,0.009604
6.0,0.051383,0.0092756,0.0092393,0.71247,0.16453,0.21895,0.09216,0.055012,0.014715,0.040864,0.009505,0.009505,0.009505
7.0,0.050022,0.0087257,0.0088844,0.72665,0.20276,0.23365,0.09515,0.053567,0.014696,0.032079,0.009406,0.009406,0.009406
8.0,0.048971,0.0089131,0.0084787,0.74625,0.21143,0.2645,0.11244,0.050552,0.014179,0.026619,0.009307,0.009307,0.009307
9.0,0.046806,0.0085504,0.0074109,0.77722,0.19774,0.28945,0.12495,0.050028,0.014908,0.023333,0.009208,0.009208,0.009208
10.0,0.047174,0.0083022,0.0073511,0.57708,0.27851,0.28912,0.13182,0.050385,0.01571,0.027533,0.009109,0.009109,0.009109
11.0,0.045893,0.0082806,0.007039,0.58169,0.30907,0.3017,0.13306,0.051329,0.01458,0.024986,0.00901,0.00901,0.00901
12.0,0.04497,0.0081837,0.0063307,0.62097,0.33855,0.31869,0.15065,0.047843,0.01408,0.037252,0.008911,0.008911,0.008911
13.0,0.045045,0.0081449,0.0062968,0.63606,0.27151,0.27595,0.12622,0.049986,0.016855,0.03528,0.008812,0.008812,0.008812
14.0,0.044319,0.0080574,0.006385,0.6562,0.3238,0.35367,0.16884,0.047308,0.012796,0.025321,0.008713,0.008713,0.008713
15.0,0.043057,0.0078678,0.00599,0.68128,0.30574,0.32153,0.15396,0.050508,0.014761,0.028684,0.008614,0.008614,0.008614
16.0,0.042676,0.0078427,0.0057354,0.58902,0.29895,0.27303,0.12795,0.049597,0.017478,0.037226,0.008515,0.008515,0.008515
17.0,0.041637,0.0079091,0.0061434,0.62721,0.3432,0.34145,0.15318,0.047695,0.013367,0.022753,0.008416,0.008416,0.008416
18.0,0.041995,0.0077001,0.005301,0.72703,0.31548,0.36183,0.15723,0.049213,0.014889,0.025403,0.008317,0.008317,0.008317
19.0,0.041482,0.0073862,0.0049112,0.6749,0.3471,0.3787,0.17008,0.048998,0.013871,0.029407,0.008218,0.008218,0.008218
20.0,0.040448,0.0077055,0.0046981,0.70945,0.30582,0.33304,0.14711,0.051971,0.013711,0.032938,0.008119,0.008119,0.008119
21.0,0.040011,0.0074538,0.0043556,0.74389,0.35066,0.39465,0.19358,0.046067,0.013752,0.02871,0.00802,0.00802,0.00802
22.0,0.039287,0.0072333,0.0037553,0.65844,0.36931,0.36778,0.1695,0.04767,0.013169,0.026385,0.007921,0.007921,0.007921
23.0,0.039468,0.0071073,0.0043486,0.72878,0.35068,0.39345,0.1992,0.044896,0.012941,0.028304,0.007822,0.007822,0.007822
24.0,0.038996,0.0072957,0.0041176,0.73847,0.34315,0.39804,0.19251,0.044998,0.013184,0.029422,0.007723,0.007723,0.007723
25.0,0.038558,0.0070721,0.0038347,0.70241,0.32814,0.35222,0.17188,0.046185,0.015185,0.030127,0.007624,0.007624,0.007624
26.0,0.037948,0.0069699,0.0035976,0.76114,0.24937,0.2974,0.14397,0.052037,0.018245,0.047635,0.007525,0.007525,0.007525
27.0,0.037859,0.006995,0.0037418,0.71687,0.3745,0.40411,0.19337,0.045732,0.013143,0.02226,0.007426,0.007426,0.007426
28.0,0.037427,0.007029,0.0039081,0.72417,0.34212,0.38335,0.18442,0.046806,0.01437,0.027332,0.007327,0.007327,0.007327
29.0,0.037121,0.0068636,0.0036091,0.6775,0.35954,0.38291,0.17335,0.049052,0.013292,0.026834,0.007228,0.007228,0.007228
30.0,0.037083,0.0070492,0.0031036,0.71172,0.33229,0.36673,0.16378,0.047636,0.013815,0.029182,0.007129,0.007129,0.007129
31.0,0.036638,0.0069065,0.0034664,0.73334,0.36436,0.39126,0.19543,0.047394,0.014095,0.027099,0.00703,0.00703,0.00703
32.0,0.036288,0.0068068,0.0033064,0.71631,0.36832,0.39684,0.18362,0.047338,0.012984,0.022605,0.006931,0.006931,0.006931
33.0,0.036617,0.0067512,0.0031256,0.75694,0.37941,0.41614,0.19864,0.045685,0.012455,0.022765,0.006832,0.006832,0.006832
34.0,0.035271,0.0066437,0.0027834,0.7504,0.36479,0.41952,0.20253,0.046732,0.013451,0.026299,0.006733,0.006733,0.006733
35.0,0.03513,0.0066736,0.0026825,0.77112,0.34462,0.38292,0.18821,0.046591,0.01391,0.030975,0.006634,0.006634,0.006634
36.0,0.035211,0.0067454,0.0029997,0.78738,0.38366,0.437,0.21718,0.045633,0.013706,0.025191,0.006535,0.006535,0.006535
37.0,0.034263,0.0066416,0.0024795,0.74523,0.3579,0.40755,0.20761,0.047782,0.013137,0.026121,0.006436,0.006436,0.006436
38.0,0.034679,0.0064976,0.0024957,0.71111,0.36017,0.3975,0.19025,0.047638,0.013594,0.027506,0.006337,0.006337,0.006337
39.0,0.034659,0.006635,0.0026179,0.75846,0.40764,0.43585,0.22399,0.043497,0.012247,0.02469,0.006238,0.006238,0.006238
40.0,0.033234,0.0063467,0.0024189,0.70366,0.38262,0.40897,0.20576,0.045535,0.014287,0.031024,0.006139,0.006139,0.006139
41.0,0.033844,0.0064489,0.002162,0.77074,0.32839,0.38486,0.19406,0.047567,0.013779,0.029043,0.00604,0.00604,0.00604
42.0,0.033163,0.0062405,0.0023889,0.74435,0.39067,0.41826,0.20762,0.045392,0.012807,0.030606,0.005941,0.005941,0.005941
43.0,0.03284,0.0062804,0.0021844,0.7524,0.40843,0.4482,0.23737,0.044844,0.012778,0.024967,0.005842,0.005842,0.005842
44.0,0.032661,0.0061048,0.0017961,0.76359,0.37896,0.41574,0.20834,0.046903,0.013361,0.027353,0.005743,0.005743,0.005743
45.0,0.03227,0.0060814,0.001983,0.76827,0.39635,0.43979,0.22432,0.044488,0.012933,0.02652,0.005644,0.005644,0.005644
46.0,0.032573,0.005934,0.0018224,0.73193,0.3606,0.39824,0.19868,0.048215,0.013428,0.033794,0.005545,0.005545,0.005545
47.0,0.032122,0.0059907,0.0018687,0.73445,0.37649,0.39984,0.18962,0.048521,0.01322,0.029571,0.005446,0.005446,0.005446
48.0,0.03165,0.0059295,0.0018324,0.77948,0.40781,0.44073,0.21871,0.044294,0.012726,0.02621,0.005347,0.005347,0.005347
49.0,0.031328,0.0059861,0.0016321,0.7785,0.39552,0.4315,0.22349,0.044621,0.013295,0.026339,0.005248,0.005248,0.005248
50.0,0.031185,0.0059466,0.0015377,0.77347,0.37528,0.40753,0.2028,0.046583,0.013918,0.03053,0.005149,0.005149,0.005149
51.0,0.030996,0.0060018,0.0017726,0.76143,0.40504,0.44541,0.22738,0.044417,0.012841,0.028998,0.00505,0.00505,0.00505
52.0,0.030691,0.0057381,0.0015805,0.81512,0.33156,0.40743,0.19716,0.048466,0.013508,0.030172,0.004951,0.004951,0.004951
53.0,0.030637,0.0058493,0.0018249,0.78567,0.35425,0.39668,0.19779,0.047601,0.013594,0.031126,0.004852,0.004852,0.004852
54.0,0.029947,0.0057889,0.0013507,0.79779,0.34321,0.40819,0.20868,0.047378,0.014334,0.029881,0.004753,0.004753,0.004753
55.0,0.029875,0.0056927,0.0015498,0.78076,0.36023,0.41738,0.20986,0.045563,0.014099,0.028484,0.004654,0.004654,0.004654
56.0,0.029813,0.0057597,0.0015131,0.74075,0.40033,0.42988,0.22588,0.044409,0.013839,0.026945,0.004555,0.004555,0.004555
57.0,0.029276,0.0056167,0.0014594,0.79458,0.3729,0.42485,0.22435,0.044646,0.013238,0.030468,0.004456,0.004456,0.004456
58.0,0.029469,0.0057478,0.0016509,0.7811,0.37073,0.41626,0.20801,0.046661,0.012931,0.026188,0.004357,0.004357,0.004357
59.0,0.028935,0.0053956,0.0014649,0.74642,0.40345,0.42869,0.22153,0.045872,0.014179,0.026144,0.004258,0.004258,0.004258
60.0,0.028838,0.005455,0.0013858,0.78792,0.35914,0.41676,0.21617,0.045823,0.013614,0.030628,0.004159,0.004159,0.004159
61.0,0.028778,0.0054954,0.0012979,0.78866,0.37317,0.42546,0.21971,0.045281,0.013671,0.026995,0.00406,0.00406,0.00406
62.0,0.028683,0.005469,0.0011922,0.7825,0.3861,0.43595,0.22909,0.043644,0.013808,0.02632,0.003961,0.003961,0.003961
63.0,0.02815,0.0053261,0.0011611,0.78292,0.37169,0.42111,0.21875,0.045706,0.013983,0.029755,0.003862,0.003862,0.003862
64.0,0.027958,0.0051982,0.0010374,0.80081,0.37599,0.42289,0.21952,0.044331,0.014131,0.028584,0.003763,0.003763,0.003763
65.0,0.028069,0.0053374,0.0011499,0.76962,0.3668,0.41948,0.21283,0.047052,0.014396,0.027482,0.003664,0.003664,0.003664
66.0,0.027478,0.0052917,0.0011908,0.76896,0.37798,0.42288,0.22132,0.044785,0.014123,0.028549,0.003565,0.003565,0.003565
67.0,0.027359,0.0051319,0.00095662,0.52692,0.36322,0.40024,0.20431,0.046677,0.01469,0.032325,0.003466,0.003466,0.003466
68.0,0.026994,0.0051532,0.0011665,0.75901,0.39235,0.42746,0.21825,0.045848,0.013815,0.028465,0.003367,0.003367,0.003367
69.0,0.026942,0.005118,0.0011278,0.76929,0.38473,0.42269,0.21993,0.045952,0.013894,0.028426,0.003268,0.003268,0.003268
70.0,0.02654,0.0051596,0.00098478,0.77304,0.38499,0.4324,0.22972,0.044126,0.013798,0.029478,0.003169,0.003169,0.003169
71.0,0.026769,0.0051117,0.0010059,0.77442,0.38049,0.41776,0.21977,0.044901,0.013524,0.032393,0.00307,0.00307,0.00307
72.0,0.026392,0.0051039,0.00091099,0.77814,0.37259,0.41739,0.21764,0.045176,0.014065,0.031611,0.002971,0.002971,0.002971
73.0,0.025977,0.0050299,0.00095446,0.75645,0.39898,0.43317,0.22625,0.044863,0.013479,0.027398,0.002872,0.002872,0.002872
74.0,0.025692,0.0050333,0.0010391,0.79858,0.36072,0.42114,0.21867,0.045945,0.013987,0.029007,0.002773,0.002773,0.002773
75.0,0.02539,0.0049056,0.00095317,0.7914,0.37357,0.41435,0.22231,0.044721,0.014276,0.032707,0.002674,0.002674,0.002674
76.0,0.025349,0.004905,0.00093612,0.78152,0.38618,0.42482,0.2252,0.044752,0.013708,0.029421,0.002575,0.002575,0.002575
77.0,0.025172,0.0049124,0.00087817,0.78831,0.36936,0.41192,0.21432,0.045938,0.013927,0.031826,0.002476,0.002476,0.002476
78.0,0.025151,0.0049484,0.00081095,0.75779,0.4009,0.42958,0.22712,0.04432,0.014269,0.029779,0.002377,0.002377,0.002377
79.0,0.024567,0.0047694,0.00074566,0.7886,0.35402,0.41411,0.21947,0.046128,0.014573,0.032316,0.002278,0.002278,0.002278
80.0,0.024381,0.0047301,0.00095546,0.80155,0.36455,0.4297,0.22834,0.044908,0.014369,0.03042,0.002179,0.002179,0.002179
81.0,0.024176,0.0047629,0.00079417,0.78853,0.36716,0.42931,0.2266,0.044311,0.014756,0.029957,0.00208,0.00208,0.00208
82.0,0.024006,0.0047641,0.00078095,0.82755,0.34432,0.42118,0.22652,0.044792,0.014622,0.033407,0.001981,0.001981,0.001981
83.0,0.023874,0.0046623,0.00084487,0.78134,0.38598,0.43357,0.2346,0.044203,0.014351,0.030369,0.001882,0.001882,0.001882
84.0,0.024175,0.0047494,0.00091098,0.77694,0.38689,0.42906,0.22545,0.045408,0.014488,0.029233,0.001783,0.001783,0.001783
85.0,0.02341,0.004593,0.0006938,0.51134,0.39705,0.41961,0.22705,0.044796,0.014899,0.029716,0.001684,0.001684,0.001684
86.0,0.023117,0.0044658,0.00083318,0.77946,0.38291,0.42496,0.22887,0.045338,0.014948,0.029532,0.001585,0.001585,0.001585
87.0,0.023343,0.0044809,0.00066549,0.77,0.39736,0.42829,0.23174,0.044931,0.014658,0.030068,0.001486,0.001486,0.001486
88.0,0.02274,0.0045797,0.0005676,0.75638,0.4002,0.42675,0.22915,0.0449,0.014658,0.030714,0.001387,0.001387,0.001387
89.0,0.022762,0.0045631,0.00062896,0.78217,0.39219,0.42595,0.23305,0.044387,0.014616,0.031273,0.001288,0.001288,0.001288
90.0,0.02231,0.0043933,0.0008334,0.81603,0.36502,0.41834,0.22378,0.045448,0.01479,0.032188,0.001189,0.001189,0.001189
91.0,0.022657,0.0045129,0.00065736,0.81106,0.36453,0.4174,0.22076,0.045742,0.014992,0.03186,0.00109,0.00109,0.00109
92.0,0.021997,0.0044577,0.00059058,0.82295,0.35901,0.4199,0.22183,0.04578,0.014644,0.031046,0.000991,0.000991,0.000991
93.0,0.022045,0.0043881,0.00066474,0.80442,0.3722,0.42409,0.22782,0.045331,0.014978,0.031367,0.000892,0.000892,0.000892
94.0,0.021357,0.0042063,0.00050939,0.81254,0.36827,0.42503,0.22692,0.045348,0.014868,0.031207,0.000793,0.000793,0.000793
95.0,0.021386,0.0043421,0.00047091,0.81156,0.36976,0.42496,0.22609,0.045838,0.015059,0.032046,0.000694,0.000694,0.000694
96.0,0.021471,0.0043904,0.00060775,0.83125,0.36796,0.42451,0.22287,0.046144,0.015247,0.032233,0.000595,0.000595,0.000595
97.0,0.021134,0.0042143,0.00055757,0.80021,0.38039,0.42556,0.22517,0.045857,0.01532,0.031862,0.000496,0.000496,0.000496
98.0,0.021213,0.0042909,0.00058153,0.78341,0.3867,0.42826,0.22787,0.045523,0.01524,0.032008,0.000397,0.000397,0.000397
99.0,0.021128,0.0042818,0.00052989,0.77821,0.3935,0.43145,0.2312,0.045181,0.015128,0.032039,0.000298,0.000298,0.000298
