               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089567,            0.016912,             0.02682,             0.88056,            0.037011,            0.073528,            0.021553,            0.069115,             0.01803,            0.040802,            0.070252,           0.0033053,           0.0033053
                   1,            0.064143,            0.011754,            0.012604,             0.71139,             0.13534,             0.13919,            0.054009,            0.068081,              0.0153,            0.043383,            0.040186,           0.0065729,           0.0065729
                   2,            0.059345,           0.0097354,             0.01011,             0.59889,              0.2157,             0.10378,            0.037107,            0.060083,            0.023225,            0.058947,            0.010055,           0.0097745,           0.0097745
                   3,            0.057349,           0.0093315,            0.010001,             0.67044,            0.061014,            0.065545,            0.023812,            0.067484,            0.020403,            0.068503,            0.009703,            0.009703,            0.009703
                   4,            0.055789,             0.00903,           0.0098498,             0.69985,             0.11989,             0.12303,            0.042211,            0.065665,            0.015652,            0.034949,            0.009703,            0.009703,            0.009703
                   5,            0.053132,           0.0086879,           0.0089888,             0.69623,             0.18665,             0.20474,            0.077479,            0.056461,            0.017042,            0.029636,            0.009604,            0.009604,            0.009604
                   6,             0.05059,           0.0086474,           0.0082214,             0.56487,             0.24279,             0.20146,            0.084014,            0.054245,            0.016562,            0.043185,            0.009505,            0.009505,            0.009505
                   7,            0.048996,           0.0081898,           0.0077716,             0.75498,             0.16654,             0.21493,            0.089728,            0.054547,            0.018271,            0.037323,            0.009406,            0.009406,            0.009406
                   8,             0.04698,            0.008025,           0.0068577,             0.73507,             0.19389,             0.23604,               0.103,             0.05099,            0.015798,             0.03606,            0.009307,            0.009307,            0.009307
                   9,            0.047201,           0.0080588,           0.0070195,             0.74614,             0.21793,             0.25764,             0.11492,             0.04819,            0.014364,            0.028125,            0.009208,            0.009208,            0.009208
                  10,            0.045828,           0.0077536,           0.0063933,              0.7394,             0.19363,             0.26103,             0.11754,            0.052856,            0.016161,             0.03982,            0.009109,            0.009109,            0.009109
                  11,            0.044749,           0.0074502,           0.0062139,             0.82811,             0.21052,             0.34434,             0.16356,            0.048577,            0.014326,            0.025948,             0.00901,             0.00901,             0.00901
                  12,            0.044408,           0.0075949,           0.0059062,             0.74432,              0.2086,             0.28989,             0.12297,            0.052468,            0.016103,            0.028609,            0.008911,            0.008911,            0.008911
                  13,            0.043867,           0.0075041,           0.0056305,             0.79314,             0.23941,             0.32516,             0.14398,            0.049196,            0.014151,            0.029078,            0.008812,            0.008812,            0.008812
                  14,             0.04273,           0.0073617,           0.0054501,             0.54838,             0.37016,             0.33283,             0.14624,            0.048599,             0.01353,            0.027563,            0.008713,            0.008713,            0.008713
                  15,            0.042174,            0.007241,            0.005279,             0.64655,             0.36994,             0.38219,             0.18225,            0.045392,             0.01286,              0.0225,            0.008614,            0.008614,            0.008614
                  16,            0.041849,           0.0071102,           0.0047534,             0.67677,             0.33908,              0.3563,             0.15234,            0.049233,            0.013941,            0.023236,            0.008515,            0.008515,            0.008515
                  17,            0.041608,           0.0069687,           0.0053243,             0.81406,             0.24546,              0.3354,             0.15769,             0.04787,            0.013561,            0.026126,            0.008416,            0.008416,            0.008416
                  18,            0.040399,           0.0071036,           0.0044131,             0.68772,             0.36111,             0.37833,             0.17121,            0.047013,            0.013647,            0.023058,            0.008317,            0.008317,            0.008317
                  19,            0.040392,           0.0069154,           0.0044548,             0.66736,             0.35282,             0.35894,             0.15777,            0.047494,             0.01388,            0.029322,            0.008218,            0.008218,            0.008218
                  20,            0.039785,           0.0067943,           0.0044097,             0.63363,             0.33897,               0.317,             0.14167,            0.051623,            0.013144,            0.030288,            0.008119,            0.008119,            0.008119
                  21,            0.040034,           0.0069868,            0.004143,             0.65236,             0.34031,             0.37287,             0.17723,            0.045672,            0.013978,             0.02453,             0.00802,             0.00802,             0.00802
                  22,            0.039215,           0.0068002,           0.0042365,             0.68291,             0.32991,              0.3485,             0.15592,             0.05107,            0.013659,            0.024043,            0.007921,            0.007921,            0.007921
                  23,            0.038818,           0.0066239,            0.003998,             0.75002,             0.36217,             0.42961,             0.19998,            0.046483,            0.013932,            0.024046,            0.007822,            0.007822,            0.007822
                  24,            0.038131,            0.006545,           0.0038999,             0.68908,             0.33891,             0.35131,             0.15206,            0.049945,             0.01296,             0.02759,            0.007723,            0.007723,            0.007723
                  25,            0.038191,           0.0065617,           0.0032738,             0.69144,             0.36644,             0.39338,             0.18536,            0.046486,            0.012915,            0.025545,            0.007624,            0.007624,            0.007624
                  26,            0.037762,           0.0066086,           0.0037077,             0.68224,             0.35227,             0.38611,             0.18221,            0.048074,            0.014011,            0.023281,            0.007525,            0.007525,            0.007525
                  27,            0.038049,           0.0066167,           0.0035903,             0.69189,              0.3441,             0.36198,              0.1656,            0.048273,            0.014108,            0.025378,            0.007426,            0.007426,            0.007426
                  28,            0.037382,           0.0064802,           0.0029261,              0.6891,             0.36283,             0.38385,             0.18031,            0.047881,            0.013417,            0.024391,            0.007327,            0.007327,            0.007327
                  29,            0.036567,           0.0063922,           0.0035065,             0.73234,             0.36348,             0.41306,             0.21075,            0.044339,              0.0137,            0.027966,            0.007228,            0.007228,            0.007228
                  30,            0.036517,           0.0064328,           0.0033418,              0.6956,             0.40331,             0.42657,             0.19464,            0.044952,            0.012315,             0.02096,            0.007129,            0.007129,            0.007129
                  31,            0.036532,           0.0063643,           0.0030687,             0.71182,             0.36158,             0.37795,             0.16447,            0.047739,            0.012695,            0.029194,             0.00703,             0.00703,             0.00703
                  32,             0.03566,           0.0063101,            0.002912,             0.73986,             0.37829,             0.42788,             0.21708,            0.042884,            0.013152,             0.02366,            0.006931,            0.006931,            0.006931
                  33,            0.035833,           0.0062966,           0.0029783,             0.72807,             0.36874,             0.40432,             0.19079,            0.045917,            0.013279,            0.027436,            0.006832,            0.006832,            0.006832
                  34,            0.035614,           0.0062147,            0.003095,             0.73731,             0.38366,             0.42601,             0.20312,            0.045378,            0.012924,             0.02283,            0.006733,            0.006733,            0.006733
                  35,            0.035736,           0.0061369,           0.0029187,             0.72921,             0.40031,              0.4503,             0.22148,            0.044783,            0.013072,            0.022184,            0.006634,            0.006634,            0.006634
                  36,            0.035036,           0.0062002,           0.0028668,             0.74763,             0.36737,             0.41971,             0.20999,            0.045607,            0.013204,             0.02605,            0.006535,            0.006535,            0.006535
                  37,            0.034723,           0.0061456,           0.0022814,             0.72577,             0.39698,             0.42596,             0.20473,            0.045048,            0.012783,            0.023188,            0.006436,            0.006436,            0.006436
                  38,            0.034422,           0.0060533,           0.0022521,              0.7167,              0.3604,              0.3952,             0.19662,            0.045939,            0.012585,            0.026038,            0.006337,            0.006337,            0.006337
                  39,            0.034231,           0.0058498,           0.0023502,             0.76557,             0.37008,             0.42839,             0.20485,            0.045103,            0.012895,            0.024451,            0.006238,            0.006238,            0.006238
                  40,            0.034571,            0.006139,            0.002464,             0.73196,             0.36284,             0.39048,              0.1921,            0.045764,            0.012385,            0.031004,            0.006139,            0.006139,            0.006139
                  41,            0.033572,           0.0059667,           0.0022484,             0.73261,             0.38458,             0.41125,             0.20354,            0.045473,            0.013705,            0.029276,             0.00604,             0.00604,             0.00604
                  42,            0.032733,            0.005843,           0.0020537,             0.77243,             0.38083,             0.42539,             0.21089,            0.045106,            0.012394,            0.027191,            0.005941,            0.005941,            0.005941
                  43,             0.03259,           0.0057292,           0.0019951,             0.73952,             0.40439,              0.4341,              0.2197,            0.044801,            0.013251,            0.027471,            0.005842,            0.005842,            0.005842
                  44,            0.032337,           0.0057212,           0.0017627,             0.76626,             0.36548,             0.42108,             0.21074,            0.044023,            0.013428,            0.028075,            0.005743,            0.005743,            0.005743
                  45,            0.032313,           0.0056663,           0.0018448,             0.77367,             0.40308,             0.44323,               0.217,            0.044263,            0.012728,            0.024781,            0.005644,            0.005644,            0.005644
                  46,            0.032487,           0.0056836,           0.0018827,              0.7815,             0.35449,             0.42193,             0.21028,            0.044247,            0.013217,            0.026151,            0.005545,            0.005545,            0.005545
                  47,            0.031802,           0.0055838,           0.0016258,             0.70311,             0.36934,             0.40249,             0.19382,            0.046864,            0.013844,            0.026283,            0.005446,            0.005446,            0.005446
                  48,            0.031942,           0.0057696,           0.0018734,             0.69073,             0.40815,             0.42267,             0.21016,            0.044555,            0.012812,            0.028224,            0.005347,            0.005347,            0.005347
                  49,            0.031456,           0.0055269,           0.0017235,             0.75613,               0.378,              0.4278,             0.20906,            0.045118,            0.013396,             0.02621,            0.005248,            0.005248,            0.005248
                  50,            0.031647,           0.0055742,           0.0016285,             0.78415,             0.36978,             0.43768,              0.2262,             0.04503,            0.013459,            0.027668,            0.005149,            0.005149,            0.005149
                  51,            0.030417,           0.0054712,           0.0014676,             0.74438,             0.38266,             0.40834,             0.19457,            0.048374,            0.013285,             0.02696,             0.00505,             0.00505,             0.00505
                  52,             0.03073,           0.0054386,           0.0015213,             0.75868,             0.40565,             0.43616,             0.22471,            0.044479,            0.013224,             0.02467,            0.004951,            0.004951,            0.004951
                  53,            0.030462,           0.0053619,           0.0016296,             0.76255,             0.36782,             0.42571,             0.21144,            0.045742,            0.013546,            0.025128,            0.004852,            0.004852,            0.004852
