epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.094271,0.019313,0.030204,0.78187,0.09567,0.075362,0.022044,0.07311,0.017759,0.041355,0.070423,0.0032864,0.0032864
1.0,0.06753,0.014315,0.014772,0.70621,0.17608,0.1939,0.078131,0.060335,0.016744,0.031499,0.040357,0.0065542,0.0065542
2.0,0.061121,0.01167,0.011478,0.67572,0.13851,0.13695,0.045694,0.065776,0.014689,0.031471,0.010225,0.009756,0.009756
3.0,0.057998,0.010738,0.01162,0.66478,0.16356,0.18242,0.075592,0.058476,0.018336,0.03263,0.009703,0.009703,0.009703
4.0,0.055065,0.010193,0.010427,0.71152,0.14792,0.16235,0.056729,0.057096,0.017254,0.034414,0.009703,0.009703,0.009703
5.0,0.05311,0.010049,0.0092913,0.68484,0.12283,0.13565,0.050982,0.062137,0.016647,0.039404,0.009604,0.009604,0.009604
6.0,0.05062,0.0097179,0.0090307,0.7194,0.19937,0.19599,0.073415,0.060691,0.015256,0.027481,0.009505,0.009505,0.009505
7.0,0.05048,0.0095448,0.0088983,0.71272,0.17762,0.19834,0.082518,0.05173,0.016264,0.02975,0.009406,0.009406,0.009406
8.0,0.048496,0.0095404,0.0079482,0.70154,0.17953,0.22662,0.098151,0.054695,0.015975,0.038004,0.009307,0.009307,0.009307
9.0,0.047968,0.0092813,0.0082191,0.7313,0.20798,0.23806,0.09763,0.049908,0.014625,0.028038,0.009208,0.009208,0.009208
10.0,0.045399,0.0089922,0.006835,0.5724,0.27757,0.29184,0.1251,0.051506,0.015771,0.023953,0.009109,0.009109,0.009109
11.0,0.045425,0.0090069,0.0068069,0.57647,0.27637,0.27424,0.11083,0.056149,0.014295,0.026878,0.00901,0.00901,0.00901
12.0,0.044747,0.0087997,0.0064904,0.61773,0.3395,0.32396,0.14216,0.049963,0.013231,0.031166,0.008911,0.008911,0.008911
13.0,0.043384,0.008705,0.005918,0.62061,0.31798,0.32429,0.14621,0.049352,0.014406,0.030813,0.008812,0.008812,0.008812
