               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055581,            0.010311,           0.0080408,             0.73412,             0.18935,             0.19968,            0.075739,            0.061806,            0.020945,            0.054213,              0.0856,              0.0016,              0.0016
                   1,            0.046215,           0.0078394,           0.0023495,             0.74967,             0.18958,             0.24491,             0.10335,            0.056458,            0.019097,            0.056962,            0.070267,           0.0032673,           0.0032673
                   2,            0.041758,           0.0064492,           0.0029793,             0.71611,             0.20741,             0.21606,            0.092522,             0.05765,            0.018185,             0.05469,            0.054901,            0.004901,            0.004901
                   3,            0.038732,           0.0055809,           0.0016514,             0.73631,             0.21133,             0.23484,            0.097417,            0.055012,            0.017104,            0.046473,            0.039501,            0.006501,            0.006501
                   4,            0.036982,           0.0054995,           0.0012067,             0.75452,             0.17368,             0.19664,            0.080343,            0.059029,            0.018715,             0.05234,            0.024067,           0.0080674,           0.0080674
                   5,            0.034961,            0.005097,          0.00090339,             0.70076,             0.11742,             0.13985,            0.052156,            0.059729,             0.02189,            0.054321,            0.009505,            0.009505,            0.009505
                   6,            0.035865,           0.0051245,           0.0018005,              0.8359,             0.09788,            0.099407,            0.037025,            0.061659,            0.021168,            0.093817,            0.009505,            0.009505,            0.009505
                   7,            0.034691,           0.0053007,           0.0017956,             0.71823,             0.15201,             0.17354,            0.068671,            0.059722,            0.017856,            0.048338,            0.009406,            0.009406,            0.009406
                   8,            0.033749,           0.0051343,          0.00072372,             0.69725,             0.15471,             0.16986,            0.063626,            0.062607,            0.018035,            0.048307,            0.009307,            0.009307,            0.009307
                   9,            0.033096,           0.0047808,            0.000728,             0.70873,             0.15859,             0.16666,            0.068404,            0.058911,            0.019589,            0.061769,            0.009208,            0.009208,            0.009208
                  10,            0.033261,           0.0049672,           0.0012919,             0.72103,             0.15443,             0.16505,            0.064871,            0.061335,            0.021276,            0.049848,            0.009109,            0.009109,            0.009109
                  11,            0.031895,           0.0046182,          0.00099452,             0.74349,              0.1742,             0.19723,            0.077222,            0.058885,             0.01954,            0.047137,             0.00901,             0.00901,             0.00901
                  12,            0.031244,           0.0043987,          0.00067017,             0.74246,             0.17833,             0.19651,            0.073304,            0.062892,            0.017716,            0.044548,            0.008911,            0.008911,            0.008911
