epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.093143,0.018758,0.032201,0.54471,0.055488,0.031553,0.0087336,0.079829,0.011684,0.021238,0.070405,0.0032883,0.0032883
1.0,0.066269,0.015274,0.017256,0.75173,0.18006,0.21238,0.079598,0.056965,0.010252,0.017422,0.04034,0.0065561,0.0065561
2.0,0.060165,0.012314,0.014019,0.49914,0.17666,0.1292,0.0411,0.063243,0.010254,0.019947,0.010208,0.0097578,0.0097578
3.0,0.057076,0.011472,0.013292,0.48023,0.27479,0.18727,0.058379,0.061912,0.012838,0.021867,0.009703,0.009703,0.009703
4.0,0.05431,0.011161,0.011938,0.68869,0.24484,0.27749,0.11663,0.053952,0.010356,0.016563,0.009703,0.009703,0.009703
5.0,0.053063,0.01092,0.01163,0.60982,0.30651,0.30696,0.12489,0.055725,0.0098749,0.017112,0.009604,0.009604,0.009604
6.0,0.051387,0.01065,0.011419,0.70269,0.29662,0.33315,0.14226,0.052514,0.0093177,0.016922,0.009505,0.009505,0.009505
7.0,0.049368,0.010275,0.010162,0.60801,0.27958,0.30052,0.11922,0.052086,0.009273,0.01474,0.009406,0.009406,0.009406
8.0,0.04809,0.010039,0.0084104,0.73997,0.25734,0.30438,0.13315,0.052362,0.010013,0.018287,0.009307,0.009307,0.009307
9.0,0.047387,0.010044,0.0083227,0.71367,0.36053,0.39818,0.18796,0.049649,0.0095449,0.012611,0.009208,0.009208,0.009208
10.0,0.046512,0.0098937,0.0085754,0.64504,0.36752,0.36025,0.15725,0.051564,0.0090602,0.017106,0.009109,0.009109,0.009109
11.0,0.045751,0.0097584,0.0079054,0.68248,0.34222,0.37923,0.17025,0.05069,0.0091166,0.01238,0.00901,0.00901,0.00901
12.0,0.045107,0.0097538,0.0081962,0.67789,0.33132,0.34049,0.15429,0.049802,0.0090016,0.014027,0.008911,0.008911,0.008911
13.0,0.044035,0.0094989,0.0072587,0.706,0.36434,0.39441,0.19583,0.0471,0.0086063,0.015746,0.008812,0.008812,0.008812
14.0,0.043221,0.0094321,0.0064528,0.72897,0.3072,0.34404,0.16321,0.049752,0.0093915,0.016263,0.008713,0.008713,0.008713
15.0,0.042601,0.0092601,0.0072019,0.72109,0.3789,0.40246,0.19911,0.048347,0.0090659,0.014407,0.008614,0.008614,0.008614
16.0,0.042224,0.0091557,0.0061012,0.74369,0.33026,0.3796,0.18808,0.047986,0.0087975,0.01617,0.008515,0.008515,0.008515
17.0,0.041576,0.0093114,0.0067419,0.84229,0.35589,0.43123,0.20741,0.047435,0.008413,0.014561,0.008416,0.008416,0.008416
18.0,0.041157,0.0088571,0.0060706,0.77061,0.33459,0.38652,0.20077,0.046875,0.0085947,0.015745,0.008317,0.008317,0.008317
19.0,0.040712,0.0090066,0.0053882,0.73783,0.34228,0.38989,0.1996,0.046169,0.0093841,0.018967,0.008218,0.008218,0.008218
20.0,0.040613,0.0088324,0.0055474,0.80084,0.35942,0.43814,0.2027,0.047114,0.008123,0.013936,0.008119,0.008119,0.008119
21.0,0.040624,0.0087867,0.0048442,0.76859,0.34718,0.39863,0.18945,0.046347,0.0087195,0.014916,0.00802,0.00802,0.00802
22.0,0.039496,0.0086698,0.0047976,0.81372,0.39348,0.46121,0.23382,0.046451,0.0082756,0.013435,0.007921,0.007921,0.007921
23.0,0.039068,0.008498,0.0050324,0.78982,0.3956,0.44544,0.2253,0.044647,0.008327,0.012673,0.007822,0.007822,0.007822
24.0,0.039259,0.0086447,0.0048665,0.73156,0.41419,0.43907,0.22994,0.045386,0.0082518,0.015275,0.007723,0.007723,0.007723
25.0,0.03835,0.0084649,0.0048748,0.72832,0.39908,0.42098,0.20801,0.047523,0.0083535,0.013255,0.007624,0.007624,0.007624
26.0,0.038198,0.008306,0.0043504,0.7719,0.41955,0.46462,0.23559,0.044006,0.0086629,0.014424,0.007525,0.007525,0.007525
27.0,0.037926,0.0083199,0.0041116,0.74236,0.39486,0.42511,0.21499,0.0468,0.0085053,0.014513,0.007426,0.007426,0.007426
28.0,0.037972,0.0083633,0.0045115,0.77054,0.40309,0.45747,0.2205,0.045105,0.0082373,0.014659,0.007327,0.007327,0.007327
29.0,0.037694,0.0082043,0.0042852,0.80417,0.40539,0.45686,0.23824,0.043888,0.008431,0.014392,0.007228,0.007228,0.007228
30.0,0.037281,0.0081883,0.0037148,0.78733,0.42503,0.47168,0.23768,0.044748,0.0083852,0.011622,0.007129,0.007129,0.007129
31.0,0.036191,0.0080779,0.0038746,0.82345,0.41484,0.46733,0.24221,0.045186,0.0080096,0.013851,0.00703,0.00703,0.00703
32.0,0.036023,0.0080509,0.0034313,0.76618,0.42563,0.46007,0.2402,0.045168,0.0081781,0.012743,0.006931,0.006931,0.006931
33.0,0.035659,0.0077861,0.0035317,0.7435,0.40233,0.43295,0.20477,0.045197,0.0085886,0.014203,0.006832,0.006832,0.006832
34.0,0.035467,0.0080369,0.0037449,0.81431,0.43365,0.47191,0.25576,0.044915,0.0081899,0.012923,0.006733,0.006733,0.006733
35.0,0.035004,0.0078603,0.0031923,0.78633,0.40919,0.45449,0.23864,0.045588,0.0084278,0.016157,0.006634,0.006634,0.006634
36.0,0.03488,0.0077718,0.0032483,0.80795,0.40997,0.45524,0.24193,0.045262,0.0083162,0.014094,0.006535,0.006535,0.006535
37.0,0.035152,0.0076453,0.0033717,0.76598,0.39232,0.42512,0.22032,0.046413,0.008743,0.014022,0.006436,0.006436,0.006436
38.0,0.034463,0.0075139,0.0034278,0.78481,0.42624,0.45252,0.23486,0.046385,0.0084609,0.012159,0.006337,0.006337,0.006337
39.0,0.034533,0.0077956,0.0032737,0.78645,0.44324,0.47154,0.24636,0.044394,0.007991,0.014703,0.006238,0.006238,0.006238
40.0,0.033883,0.0077297,0.0033641,0.81566,0.42037,0.48137,0.25746,0.042741,0.0082233,0.012508,0.006139,0.006139,0.006139
41.0,0.03359,0.0073287,0.002811,0.792,0.45217,0.48325,0.26077,0.044276,0.0080563,0.013516,0.00604,0.00604,0.00604
42.0,0.033432,0.0075335,0.0029316,0.81891,0.42813,0.46313,0.23661,0.045286,0.0083532,0.014381,0.005941,0.005941,0.005941
43.0,0.033166,0.0075715,0.0026987,0.77634,0.43973,0.47244,0.24933,0.043995,0.0082957,0.013527,0.005842,0.005842,0.005842
44.0,0.033118,0.0072501,0.0026832,0.76785,0.40859,0.45224,0.24188,0.043556,0.0084487,0.013762,0.005743,0.005743,0.005743
45.0,0.032831,0.0073056,0.0022692,0.80621,0.40624,0.45709,0.25002,0.043739,0.008568,0.013795,0.005644,0.005644,0.005644
46.0,0.032388,0.0071734,0.0024319,0.7952,0.41504,0.44653,0.24697,0.044656,0.008599,0.014652,0.005545,0.005545,0.005545
47.0,0.031926,0.0073334,0.002145,0.7922,0.46147,0.488,0.26335,0.043159,0.0085843,0.014996,0.005446,0.005446,0.005446
48.0,0.031812,0.0071233,0.0022259,0.75837,0.44718,0.4697,0.25977,0.043311,0.0083252,0.016018,0.005347,0.005347,0.005347
49.0,0.031487,0.0069601,0.0021705,0.51255,0.40847,0.44568,0.23307,0.045291,0.0088542,0.015634,0.005248,0.005248,0.005248
50.0,0.031644,0.0071334,0.0020828,0.82541,0.43659,0.46946,0.26108,0.043953,0.0084124,0.014817,0.005149,0.005149,0.005149
51.0,0.031277,0.0069342,0.0019046,0.78633,0.46781,0.48726,0.26916,0.042601,0.0080268,0.014104,0.00505,0.00505,0.00505
52.0,0.030887,0.0069097,0.0019966,0.80421,0.41221,0.47273,0.256,0.044342,0.0086097,0.015396,0.004951,0.004951,0.004951
53.0,0.030553,0.0069311,0.0022562,0.78683,0.42737,0.47873,0.25577,0.044341,0.0085214,0.014449,0.004852,0.004852,0.004852
54.0,0.030328,0.0070593,0.0020882,0.81627,0.44311,0.48232,0.26925,0.043392,0.0084514,0.015158,0.004753,0.004753,0.004753
55.0,0.030188,0.0066105,0.0017518,0.79122,0.45508,0.50062,0.27444,0.042251,0.0085716,0.012456,0.004654,0.004654,0.004654
56.0,0.029617,0.0065664,0.0017241,0.81181,0.43574,0.48329,0.26717,0.042691,0.0089693,0.013877,0.004555,0.004555,0.004555
57.0,0.029662,0.0067182,0.0015387,0.85076,0.40737,0.47187,0.25421,0.043361,0.0088509,0.013788,0.004456,0.004456,0.004456
58.0,0.029345,0.0065892,0.0016361,0.83219,0.41102,0.48283,0.27239,0.043292,0.0085469,0.013934,0.004357,0.004357,0.004357
59.0,0.02925,0.0066227,0.0017576,0.81511,0.42178,0.49459,0.26991,0.042292,0.0087869,0.012826,0.004258,0.004258,0.004258
60.0,0.028905,0.0064347,0.0016196,0.85931,0.43186,0.50052,0.28294,0.043703,0.0090042,0.012889,0.004159,0.004159,0.004159
61.0,0.029003,0.006503,0.0016227,0.82132,0.39166,0.45464,0.24891,0.045463,0.0087475,0.017183,0.00406,0.00406,0.00406
62.0,0.028986,0.0064446,0.0016111,0.84562,0.44155,0.50863,0.27852,0.042929,0.0084262,0.014771,0.003961,0.003961,0.003961
63.0,0.028351,0.0064417,0.0016009,0.84669,0.4445,0.49861,0.27771,0.042774,0.0082762,0.013972,0.003862,0.003862,0.003862
64.0,0.028487,0.0061061,0.0015262,0.85999,0.41278,0.473,0.25885,0.04361,0.0084666,0.014805,0.003763,0.003763,0.003763
65.0,0.028093,0.0064258,0.0016259,0.82184,0.43521,0.50077,0.28001,0.044118,0.0088455,0.014308,0.003664,0.003664,0.003664
66.0,0.027748,0.00617,0.001337,0.79221,0.43675,0.47273,0.26474,0.044871,0.0085198,0.016348,0.003565,0.003565,0.003565
67.0,0.027608,0.0060647,0.0016351,0.57536,0.41821,0.48243,0.27627,0.04324,0.0088175,0.014988,0.003466,0.003466,0.003466
68.0,0.027186,0.00616,0.0012923,0.77438,0.46282,0.48911,0.27647,0.043692,0.0088682,0.014434,0.003367,0.003367,0.003367
69.0,0.027301,0.0062381,0.0013317,0.80241,0.44133,0.47712,0.26832,0.044697,0.0091683,0.014446,0.003268,0.003268,0.003268
70.0,0.026343,0.0061801,0.0011052,0.85365,0.39823,0.48221,0.27841,0.043065,0.0090965,0.013595,0.003169,0.003169,0.003169
71.0,0.026625,0.0060519,0.0013855,0.82506,0.44177,0.48779,0.28172,0.044097,0.0088188,0.013626,0.00307,0.00307,0.00307
72.0,0.026606,0.0060832,0.0013418,0.57358,0.44024,0.48872,0.27906,0.044334,0.0088647,0.012402,0.002971,0.002971,0.002971
73.0,0.025961,0.0061517,0.00096402,0.82596,0.44331,0.49883,0.28197,0.04434,0.0086459,0.01425,0.002872,0.002872,0.002872
74.0,0.02571,0.005855,0.0011002,0.58692,0.44041,0.49724,0.27809,0.044394,0.0087819,0.013671,0.002773,0.002773,0.002773
75.0,0.025919,0.0059331,0.0010843,0.84092,0.4434,0.48403,0.2761,0.042888,0.0086887,0.014099,0.002674,0.002674,0.002674
76.0,0.025497,0.0058842,0.00095585,0.79189,0.45914,0.4935,0.2878,0.042599,0.0088087,0.015034,0.002575,0.002575,0.002575
77.0,0.024917,0.0056262,0.0010387,0.82392,0.44504,0.50983,0.29995,0.043689,0.0088689,0.01571,0.002476,0.002476,0.002476
78.0,0.025026,0.0057727,0.00098442,0.53008,0.45835,0.48491,0.27693,0.044174,0.0088965,0.015173,0.002377,0.002377,0.002377
79.0,0.024756,0.0057641,0.00095985,0.5646,0.43715,0.47985,0.27907,0.043337,0.0088661,0.016112,0.002278,0.002278,0.002278
80.0,0.024543,0.0055918,0.00097269,0.53933,0.46282,0.49441,0.28852,0.042144,0.0090464,0.01492,0.002179,0.002179,0.002179
81.0,0.024138,0.0057706,0.0010017,0.8265,0.43097,0.48865,0.28699,0.042913,0.0091199,0.015166,0.00208,0.00208,0.00208
82.0,0.024359,0.0055763,0.0010103,0.78176,0.44546,0.48484,0.28758,0.043527,0.0092584,0.015257,0.001981,0.001981,0.001981
83.0,0.024199,0.0056254,0.00097404,0.59757,0.41631,0.48835,0.28289,0.044401,0.0094913,0.014259,0.001882,0.001882,0.001882
84.0,0.02364,0.0055644,0.00087699,0.59109,0.41892,0.48163,0.28476,0.04404,0.0095188,0.014895,0.001783,0.001783,0.001783
85.0,0.023654,0.0055178,0.00077697,0.53927,0.44279,0.49362,0.28633,0.043644,0.0095038,0.014757,0.001684,0.001684,0.001684
86.0,0.023375,0.0053684,0.00077183,0.57174,0.45078,0.50179,0.29051,0.043677,0.0092477,0.015172,0.001585,0.001585,0.001585
87.0,0.023397,0.0054799,0.00076278,0.54623,0.45143,0.48398,0.27933,0.044789,0.0097372,0.014958,0.001486,0.001486,0.001486
88.0,0.023058,0.0055067,0.00079783,0.57035,0.45015,0.50124,0.29655,0.04395,0.0093934,0.015238,0.001387,0.001387,0.001387
89.0,0.023435,0.0053921,0.0009011,0.54283,0.4654,0.49308,0.29103,0.043895,0.0094114,0.015186,0.001288,0.001288,0.001288
90.0,0.022719,0.0053074,0.00072893,0.55402,0.4513,0.49986,0.29249,0.044289,0.0094018,0.014997,0.001189,0.001189,0.001189
91.0,0.02274,0.0053759,0.00084662,0.56964,0.45184,0.50258,0.29162,0.043897,0.0094154,0.015161,0.00109,0.00109,0.00109
92.0,0.02207,0.0052049,0.00078143,0.56536,0.4433,0.50252,0.29377,0.04411,0.009413,0.015119,0.000991,0.000991,0.000991
93.0,0.022194,0.0051804,0.00074666,0.55603,0.44645,0.49153,0.29302,0.043365,0.009593,0.015653,0.000892,0.000892,0.000892
94.0,0.022158,0.0051647,0.00068174,0.55292,0.44715,0.49002,0.28764,0.043726,0.0095823,0.016227,0.000793,0.000793,0.000793
95.0,0.02222,0.0052152,0.00072029,0.53475,0.49891,0.4962,0.2932,0.044059,0.0096127,0.015342,0.000694,0.000694,0.000694
96.0,0.022009,0.0052253,0.00070721,0.54918,0.46522,0.49506,0.29091,0.044192,0.0095772,0.015479,0.000595,0.000595,0.000595
97.0,0.021931,0.0052391,0.00060433,0.56572,0.44541,0.49548,0.2925,0.044451,0.0095762,0.016182,0.000496,0.000496,0.000496
98.0,0.021342,0.0050285,0.00056463,0.57363,0.45389,0.49732,0.29304,0.044269,0.0094948,0.016199,0.000397,0.000397,0.000397
99.0,0.021246,0.0050143,0.00058023,0.58492,0.45058,0.49715,0.29333,0.044193,0.0095538,0.016244,0.000298,0.000298,0.000298
