               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09218,            0.020789,            0.031613,              0.7832,            0.046951,            0.037968,            0.012102,            0.073391,            0.012543,            0.023318,            0.070366,           0.0032927,           0.0032927
                   1,            0.065822,            0.015113,            0.016615,             0.48468,             0.24927,             0.22999,            0.092289,            0.060324,           0.0096265,            0.016725,              0.0403,           0.0065604,           0.0065604
                   2,            0.060342,             0.01237,             0.01323,             0.43293,             0.33981,              0.2184,            0.076282,            0.058683,            0.013649,            0.016952,            0.010169,           0.0097622,           0.0097622
                   3,            0.057427,            0.011874,            0.012772,             0.62174,              0.2472,             0.23359,            0.083581,            0.059677,            0.011846,            0.017096,            0.009703,            0.009703,            0.009703
                   4,            0.054696,              0.0115,            0.012178,             0.60769,             0.25748,              0.2502,            0.097223,            0.055376,            0.010493,            0.020134,            0.009703,            0.009703,            0.009703
                   5,            0.052691,             0.01134,            0.010657,             0.63239,              0.2209,             0.25089,             0.10826,             0.05486,            0.014606,            0.021468,            0.009604,            0.009604,            0.009604
                   6,            0.051295,            0.010726,             0.01066,             0.62874,             0.36824,             0.38148,             0.15817,            0.049806,           0.0088295,            0.014855,            0.009505,            0.009505,            0.009505
                   7,            0.049676,            0.010642,           0.0089058,             0.77704,             0.27726,             0.35391,             0.15162,            0.052019,           0.0095072,            0.014228,            0.009406,            0.009406,            0.009406
                   8,            0.048171,            0.010311,           0.0089415,             0.73876,             0.32961,             0.37125,              0.1592,            0.049386,           0.0090027,            0.015104,            0.009307,            0.009307,            0.009307
                   9,            0.047197,             0.01034,           0.0080104,             0.73101,             0.29189,             0.33893,             0.15503,            0.051994,           0.0096342,             0.01628,            0.009208,            0.009208,            0.009208
                  10,            0.046424,            0.010311,           0.0078896,             0.79224,              0.2604,             0.34318,             0.16735,            0.049569,           0.0098816,            0.016967,            0.009109,            0.009109,            0.009109
                  11,            0.044952,            0.010076,           0.0069192,              0.7731,             0.35177,             0.41341,              0.1912,            0.045791,           0.0086358,            0.014354,             0.00901,             0.00901,             0.00901
                  12,            0.044709,           0.0098809,           0.0069336,             0.68223,             0.34071,             0.36965,             0.17199,             0.05021,            0.009758,            0.015093,            0.008911,            0.008911,            0.008911
                  13,             0.04437,           0.0098219,            0.006786,             0.81846,             0.42158,             0.47338,             0.23077,            0.045534,           0.0082325,            0.012372,            0.008812,            0.008812,            0.008812
                  14,            0.042942,           0.0097693,            0.006702,             0.83668,             0.37458,             0.43942,             0.22945,            0.046582,           0.0088035,            0.014368,            0.008713,            0.008713,            0.008713
                  15,            0.043252,            0.009623,           0.0060334,              0.7855,             0.37864,             0.42042,             0.20389,            0.047665,           0.0085565,            0.013568,            0.008614,            0.008614,            0.008614
                  16,            0.041656,           0.0093849,           0.0056169,             0.75515,             0.40428,             0.44471,              0.2237,            0.044636,           0.0083091,            0.014203,            0.008515,            0.008515,            0.008515
                  17,            0.041265,           0.0093437,           0.0058931,             0.75851,             0.35473,             0.40521,             0.20168,            0.047437,           0.0088836,            0.016025,            0.008416,            0.008416,            0.008416
                  18,            0.041297,           0.0094429,           0.0052011,             0.81561,             0.37954,             0.43597,             0.21547,            0.046693,           0.0082797,            0.014771,            0.008317,            0.008317,            0.008317
                  19,             0.04065,           0.0090371,           0.0051755,              0.7406,             0.44035,             0.45189,             0.20694,            0.044101,            0.008204,            0.012409,            0.008218,            0.008218,            0.008218
                  20,            0.040373,           0.0088892,           0.0053566,             0.87014,              0.3936,             0.48415,             0.23322,            0.044668,           0.0083155,            0.014361,            0.008119,            0.008119,            0.008119
                  21,            0.039888,           0.0089492,           0.0057352,             0.72602,             0.40625,              0.4416,               0.228,             0.04564,           0.0088898,            0.013405,             0.00802,             0.00802,             0.00802
                  22,            0.039268,           0.0088572,           0.0043544,             0.81142,             0.38216,             0.44082,             0.21784,            0.045478,           0.0082168,            0.014775,            0.007921,            0.007921,            0.007921
                  23,            0.038527,           0.0086891,           0.0048832,             0.76769,             0.35188,             0.40406,             0.19913,            0.047634,            0.009148,            0.013816,            0.007822,            0.007822,            0.007822
                  24,            0.039115,           0.0087754,           0.0045144,             0.80357,              0.4395,             0.48738,             0.25213,            0.044419,            0.008622,            0.011097,            0.007723,            0.007723,            0.007723
                  25,            0.038194,           0.0085397,           0.0043492,             0.73457,             0.43225,             0.46587,             0.23737,            0.044321,            0.008043,            0.012138,            0.007624,            0.007624,            0.007624
                  26,            0.038084,            0.008708,           0.0043671,             0.76054,             0.41275,              0.4553,              0.2507,            0.044112,            0.008724,            0.014115,            0.007525,            0.007525,            0.007525
                  27,            0.037654,            0.008718,           0.0040389,             0.81688,             0.42701,             0.47166,             0.24395,            0.045502,           0.0079589,            0.015886,            0.007426,            0.007426,            0.007426
                  28,            0.037155,           0.0084424,           0.0039394,             0.72224,             0.43528,             0.45506,             0.23913,            0.045033,           0.0080903,            0.013037,            0.007327,            0.007327,            0.007327
                  29,            0.037032,           0.0085301,           0.0041978,             0.82228,             0.40757,             0.48203,             0.24987,            0.043507,           0.0081071,            0.011816,            0.007228,            0.007228,            0.007228
                  30,            0.036484,           0.0083497,           0.0036149,             0.81442,             0.40202,             0.48893,             0.26901,            0.043691,           0.0086979,            0.013736,            0.007129,            0.007129,            0.007129
                  31,            0.036595,           0.0084417,           0.0035781,             0.80109,             0.43041,             0.48122,             0.24937,             0.04442,           0.0079283,            0.011179,             0.00703,             0.00703,             0.00703
                  32,            0.036129,           0.0083914,           0.0038323,             0.81934,             0.39621,             0.46785,             0.24244,            0.044527,           0.0086647,            0.012529,            0.006931,            0.006931,            0.006931
                  33,            0.035917,           0.0083523,           0.0035438,             0.81952,             0.41928,             0.48065,             0.25652,            0.042692,           0.0082077,            0.013186,            0.006832,            0.006832,            0.006832
                  34,            0.035864,           0.0083282,           0.0034122,             0.72042,             0.45511,             0.48193,             0.26299,            0.042181,           0.0079674,            0.013182,            0.006733,            0.006733,            0.006733
                  35,            0.035406,           0.0082008,           0.0031782,             0.76183,             0.43198,             0.48893,             0.25027,            0.043238,           0.0077653,            0.014622,            0.006634,            0.006634,            0.006634
                  36,            0.035103,           0.0080735,           0.0029132,             0.77958,             0.43663,             0.49241,             0.27091,            0.043242,           0.0082315,            0.011986,            0.006535,            0.006535,            0.006535
                  37,            0.034253,           0.0079866,           0.0027727,             0.81432,             0.41301,             0.48186,             0.26712,            0.043804,           0.0083137,            0.011834,            0.006436,            0.006436,            0.006436
                  38,            0.034453,           0.0079368,           0.0027145,             0.80901,             0.39895,              0.4705,             0.26393,            0.042959,           0.0088649,            0.012435,            0.006337,            0.006337,            0.006337
