epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.090219,0.019912,0.031751,0.77464,0.068293,0.071242,0.019892,0.067916,0.012423,0.020272,0.07037,0.0032922,0.0032922
1.0,0.06481,0.015139,0.015666,0.69972,0.13018,0.1517,0.055937,0.063873,0.010413,0.024822,0.040305,0.0065599,0.0065599
2.0,0.059291,0.012106,0.012924,0.43276,0.35485,0.21385,0.070304,0.060782,0.01177,0.018843,0.010173,0.0097617,0.0097617
3.0,0.056172,0.011726,0.012953,0.56044,0.26028,0.22726,0.088689,0.058783,0.016634,0.023798,0.009703,0.009703,0.009703
4.0,0.053755,0.01136,0.01178,0.64473,0.26148,0.27844,0.10291,0.05768,0.015018,0.015448,0.009703,0.009703,0.009703
5.0,0.051797,0.011131,0.010621,0.70773,0.3145,0.34434,0.14334,0.053999,0.01037,0.016268,0.009604,0.009604,0.009604
6.0,0.04947,0.01081,0.0096977,0.52797,0.27695,0.21402,0.077171,0.054953,0.014143,0.025479,0.009505,0.009505,0.009505
7.0,0.04818,0.010498,0.0089378,0.62253,0.31482,0.30774,0.12716,0.053274,0.0099732,0.015496,0.009406,0.009406,0.009406
8.0,0.047237,0.010452,0.0085793,0.71369,0.33591,0.36982,0.16374,0.051431,0.0087384,0.015166,0.009307,0.009307,0.009307
9.0,0.046191,0.010175,0.0079896,0.66499,0.33593,0.33136,0.14323,0.052445,0.008866,0.015003,0.009208,0.009208,0.009208
10.0,0.045127,0.010092,0.0081568,0.72793,0.32341,0.37018,0.17215,0.04859,0.0089465,0.014542,0.009109,0.009109,0.009109
11.0,0.044559,0.0099469,0.0078185,0.74361,0.31661,0.38123,0.1803,0.047461,0.0085758,0.012585,0.00901,0.00901,0.00901
12.0,0.043526,0.009644,0.0067156,0.75373,0.3625,0.39656,0.19351,0.047178,0.0090525,0.014222,0.008911,0.008911,0.008911
