               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091038,            0.021105,            0.030533,             0.81539,            0.040854,            0.041312,            0.012562,            0.077797,            0.011691,            0.023094,            0.070345,            0.003295,            0.003295
                   1,            0.065251,            0.015421,            0.015186,             0.43832,             0.16812,             0.15784,            0.049865,            0.064086,           0.0093589,            0.016296,            0.040279,           0.0065627,           0.0065627
                   2,            0.060183,            0.012588,            0.012617,             0.48955,             0.31165,             0.22768,            0.072404,            0.059628,              0.0206,            0.017105,            0.010148,           0.0097644,           0.0097644
                   3,            0.056043,            0.011933,            0.011534,             0.64598,             0.21639,             0.21485,            0.082497,            0.060008,            0.010709,            0.020644,            0.009703,            0.009703,            0.009703
                   4,            0.053505,            0.011721,            0.010677,             0.58695,             0.22377,             0.23213,            0.092641,            0.055185,            0.011438,            0.018222,            0.009703,            0.009703,            0.009703
                   5,            0.050737,            0.011397,           0.0098079,             0.64306,             0.27189,               0.281,            0.093762,            0.058111,            0.010038,             0.01822,            0.009604,            0.009604,            0.009604
                   6,            0.048856,            0.011091,           0.0083112,             0.72825,             0.32868,             0.34191,             0.15909,            0.052932,           0.0093179,            0.015931,            0.009505,            0.009505,            0.009505
                   7,            0.047954,            0.010973,           0.0084349,             0.63305,             0.29225,             0.26448,             0.11903,             0.05192,           0.0096655,            0.019401,            0.009406,            0.009406,            0.009406
                   8,            0.046296,             0.01061,           0.0076609,             0.73682,             0.34447,             0.36838,             0.17539,             0.05352,           0.0089863,            0.015172,            0.009307,            0.009307,            0.009307
                   9,            0.045556,            0.010338,           0.0075669,             0.84717,             0.30543,             0.40766,             0.18588,            0.047636,           0.0083648,            0.015603,            0.009208,            0.009208,            0.009208
                  10,            0.044045,            0.010397,           0.0069397,             0.77316,             0.36495,              0.4166,             0.20417,            0.046986,           0.0081073,            0.014417,            0.009109,            0.009109,            0.009109
                  11,            0.043754,            0.010013,           0.0066294,             0.67238,             0.33452,             0.34987,             0.14086,            0.050621,           0.0094241,            0.015913,             0.00901,             0.00901,             0.00901
                  12,            0.043268,            0.010255,            0.006427,             0.68873,             0.33802,             0.36787,              0.1744,            0.048055,           0.0091214,            0.015945,            0.008911,            0.008911,            0.008911
                  13,            0.042748,             0.01005,           0.0060346,             0.77574,             0.34723,             0.40805,             0.18776,            0.047552,           0.0085828,            0.013635,            0.008812,            0.008812,            0.008812
                  14,            0.042159,           0.0098268,           0.0055726,             0.77394,             0.31973,             0.37856,             0.18478,            0.048282,           0.0090754,            0.014722,            0.008713,            0.008713,            0.008713
                  15,            0.040716,           0.0097408,           0.0056745,             0.76816,              0.3637,              0.4237,             0.22506,            0.045731,           0.0092255,            0.014759,            0.008614,            0.008614,            0.008614
                  16,            0.040592,           0.0096083,            0.005307,             0.71249,             0.39157,             0.41522,             0.20503,            0.046846,           0.0085527,            0.013962,            0.008515,            0.008515,            0.008515
                  17,            0.040156,           0.0095561,           0.0055236,             0.79417,             0.37127,             0.43436,             0.21568,            0.045147,           0.0082635,            0.013151,            0.008416,            0.008416,            0.008416
                  18,            0.039931,           0.0094314,           0.0049996,             0.76854,             0.37344,             0.42011,             0.20129,            0.046837,           0.0083106,            0.015353,            0.008317,            0.008317,            0.008317
                  19,            0.039574,           0.0094101,            0.005005,             0.74288,             0.40611,             0.43402,             0.22024,            0.046497,           0.0085335,            0.014476,            0.008218,            0.008218,            0.008218
