               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042126,            0.014623,            0.005841,             0.57758,             0.47772,             0.54159,             0.29332,            0.042486,           0.0086427,            0.012063,              0.0964,              0.0004,              0.0004
                   1,            0.041766,            0.013856,           0.0064341,             0.85795,             0.45368,             0.53715,             0.29625,            0.042168,           0.0086969,            0.012447,            0.091891,          0.00089109,          0.00089109
                   2,            0.040474,            0.012841,           0.0072426,             0.83379,             0.46439,             0.52778,             0.29569,            0.041389,           0.0087498,            0.012964,            0.087372,           0.0013723,           0.0013723
                   3,             0.03731,            0.011274,            0.003104,             0.82418,             0.45161,             0.51774,             0.28104,            0.041743,           0.0085534,            0.013506,            0.082844,           0.0018436,           0.0018436
                   4,            0.037984,            0.010937,           0.0023847,             0.81901,              0.4505,              0.5114,             0.26618,            0.043098,           0.0086641,            0.013709,            0.078305,            0.002305,            0.002305
                   5,            0.038408,            0.010157,           0.0043777,             0.82074,             0.45548,             0.51175,             0.26323,            0.045104,           0.0085241,            0.013341,            0.073756,           0.0027564,           0.0027564
                   6,            0.037798,            0.010502,           0.0025797,              0.8351,             0.43377,             0.51604,             0.27851,            0.042629,           0.0085117,            0.013583,            0.069198,            0.003198,            0.003198
                   7,            0.037004,             0.01057,           0.0027513,             0.81724,              0.4413,             0.51501,             0.28886,            0.041794,           0.0082596,            0.013675,             0.06463,           0.0036297,           0.0036297
                   8,            0.035481,           0.0095411,           0.0027874,             0.81463,             0.44105,             0.50583,             0.27227,            0.042919,           0.0083474,            0.013911,            0.060052,           0.0040515,           0.0040515
                   9,            0.034405,            0.009627,           0.0021493,              0.8255,              0.4226,             0.48605,             0.26373,            0.043419,            0.008699,            0.014663,            0.055463,           0.0044634,           0.0044634
                  10,            0.035394,           0.0097091,           0.0025056,             0.81914,             0.41614,             0.48142,             0.25678,            0.044001,           0.0085216,            0.014782,            0.050865,           0.0048654,           0.0048654
                  11,            0.033963,           0.0092054,           0.0019361,             0.54525,              0.4171,             0.48334,             0.25222,            0.044414,           0.0085646,            0.014548,            0.046257,           0.0052575,           0.0052575
                  12,            0.033609,           0.0084057,           0.0013415,             0.84018,             0.39659,             0.47734,             0.24073,            0.046506,           0.0082419,            0.014466,             0.04164,           0.0056397,           0.0056397
                  13,            0.033608,           0.0087863,           0.0022058,             0.52769,             0.48526,             0.49457,             0.26242,            0.044427,           0.0085934,            0.014171,            0.037012,            0.006012,            0.006012
                  14,            0.034651,           0.0082756,           0.0020439,             0.60138,             0.39649,             0.48336,             0.24807,             0.04514,           0.0084687,            0.014481,            0.032374,           0.0063744,           0.0063744
                  15,            0.033488,           0.0094113,           0.0014666,             0.68302,             0.40485,             0.49083,             0.26045,            0.043404,           0.0086133,             0.01498,            0.027727,           0.0067268,           0.0067268
                  16,            0.033969,           0.0083932,           0.0011526,             0.58315,             0.46623,             0.47574,             0.24936,            0.045003,           0.0087571,            0.015834,            0.023069,           0.0070694,           0.0070694
                  17,            0.031217,           0.0088659,           0.0016971,             0.55152,             0.47706,             0.46863,             0.22777,            0.046458,            0.008738,            0.014785,            0.018402,           0.0074021,           0.0074021
                  18,            0.031983,           0.0077814,           0.0011928,             0.50581,             0.47644,             0.45356,             0.24623,             0.04613,           0.0093067,            0.014868,            0.013725,           0.0077249,           0.0077249
                  19,            0.031723,           0.0078835,           0.0011368,             0.45464,             0.45385,             0.44055,              0.2124,            0.047286,           0.0091452,            0.014792,           0.0090378,           0.0080378,           0.0080378
                  20,            0.031243,           0.0079264,           0.0011839,             0.56334,             0.39747,             0.44621,             0.22286,             0.04595,           0.0093672,            0.015053,             0.00802,             0.00802,             0.00802
                  21,            0.031459,            0.007562,           0.0010089,             0.46589,             0.48811,             0.44463,             0.21828,            0.045997,           0.0088668,            0.014359,             0.00802,             0.00802,             0.00802
                  22,            0.030734,           0.0080868,           0.0013926,             0.46656,             0.49647,             0.45141,             0.22343,            0.045662,           0.0090998,            0.014801,            0.007921,            0.007921,            0.007921
                  23,            0.029101,           0.0076942,           0.0015081,              0.5431,             0.45898,             0.43752,             0.20521,            0.048437,           0.0094409,            0.016472,            0.007822,            0.007822,            0.007822
                  24,            0.028509,           0.0075328,           0.0011333,              0.4664,             0.47461,              0.4377,             0.22293,             0.04766,             0.00941,            0.015545,            0.007723,            0.007723,            0.007723
                  25,              0.0284,           0.0076469,            0.001063,             0.59378,             0.32926,             0.41499,             0.21217,            0.048245,           0.0093347,             0.01759,            0.007624,            0.007624,            0.007624
                  26,            0.028726,           0.0075433,           0.0010997,             0.48637,              0.3468,             0.39452,             0.20221,            0.047415,           0.0095188,            0.018885,            0.007525,            0.007525,            0.007525
                  27,            0.028242,           0.0072053,           0.0013106,             0.50931,             0.30542,             0.37373,             0.19866,            0.047552,            0.009561,            0.017403,            0.007426,            0.007426,            0.007426
                  28,            0.027079,           0.0069394,            0.001344,             0.50389,             0.34527,             0.38771,             0.19586,            0.047559,           0.0095457,            0.018269,            0.007327,            0.007327,            0.007327
                  29,            0.027471,             0.00663,          0.00099323,             0.50542,             0.41656,             0.36663,             0.17539,            0.048777,           0.0098566,            0.018029,            0.007228,            0.007228,            0.007228
                  30,            0.028676,           0.0069004,           0.0009145,              0.5516,             0.40742,             0.39293,             0.18766,            0.049178,           0.0099758,            0.017981,            0.007129,            0.007129,            0.007129
                  31,            0.026831,           0.0070567,           0.0010525,             0.54282,             0.37665,             0.37882,             0.18831,            0.050111,           0.0096502,            0.018432,             0.00703,             0.00703,             0.00703
                  32,            0.024662,           0.0064825,            0.001444,              0.5525,             0.38387,             0.39248,             0.19585,             0.04946,           0.0098366,            0.017943,            0.006931,            0.006931,            0.006931
                  33,            0.026196,           0.0068223,          0.00094132,             0.55044,             0.32664,             0.38228,             0.19805,            0.048363,            0.010088,            0.018702,            0.006832,            0.006832,            0.006832
                  34,            0.027023,           0.0072186,          0.00070636,             0.52517,             0.37255,             0.39894,             0.20004,            0.048134,            0.010152,            0.019821,            0.006733,            0.006733,            0.006733
                  35,            0.025023,           0.0067466,          0.00075264,              0.4608,             0.35463,             0.39713,             0.19892,            0.048094,            0.010155,            0.019262,            0.006634,            0.006634,            0.006634
                  36,            0.024745,           0.0067487,          0.00072106,             0.58669,             0.29799,             0.38421,             0.18742,            0.049199,            0.010142,            0.018837,            0.006535,            0.006535,            0.006535
                  37,            0.025292,           0.0067834,            0.001059,             0.44863,             0.33201,             0.37598,             0.19067,            0.048842,            0.011187,            0.018175,            0.006436,            0.006436,            0.006436
                  38,            0.025394,           0.0065898,           0.0010481,             0.50531,             0.31396,             0.38358,              0.1881,            0.048743,            0.011051,            0.016509,            0.006337,            0.006337,            0.006337
                  39,            0.024604,           0.0066089,          0.00077034,             0.48128,             0.35515,             0.40499,              0.1927,            0.047349,            0.010445,            0.017418,            0.006238,            0.006238,            0.006238
                  40,            0.023607,           0.0065337,            0.001073,             0.49384,             0.34256,             0.39598,             0.19461,            0.048064,            0.010173,            0.019086,            0.006139,            0.006139,            0.006139
                  41,            0.024542,           0.0063378,           0.0010001,             0.83683,             0.31935,             0.39495,             0.19626,            0.047522,            0.010503,            0.018118,             0.00604,             0.00604,             0.00604
                  42,            0.023969,           0.0065039,          0.00087809,              0.5593,             0.32559,             0.39763,             0.19588,            0.047261,            0.010589,            0.017242,            0.005941,            0.005941,            0.005941
                  43,             0.02303,           0.0065868,          0.00089361,             0.50965,             0.34684,             0.38841,              0.1847,            0.047715,            0.010564,            0.019482,            0.005842,            0.005842,            0.005842
                  44,             0.02402,           0.0064976,          0.00092911,             0.56178,             0.32275,             0.39617,             0.19082,             0.04698,            0.010981,            0.020415,            0.005743,            0.005743,            0.005743
                  45,             0.02258,           0.0062946,          0.00074753,             0.54491,             0.33334,             0.39217,             0.18481,            0.047875,            0.010981,            0.019469,            0.005644,            0.005644,            0.005644
                  46,            0.023595,           0.0063425,          0.00071277,             0.52926,              0.3303,             0.38954,             0.19628,            0.046828,            0.011031,            0.019136,            0.005545,            0.005545,            0.005545
                  47,            0.022743,           0.0062471,          0.00081127,             0.52836,             0.33365,             0.38748,             0.20059,             0.04763,            0.010687,            0.019277,            0.005446,            0.005446,            0.005446
