epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.049221,0.023108,0.0048679,0.81196,0.48028,0.54038,0.28431,0.044134,0.0085434,0.012313,0.0955,0.0005,0.0005
1.0,0.046889,0.019835,0.0039002,0.81007,0.46547,0.52526,0.24566,0.048954,0.0094542,0.012758,0.090089,0.0010891,0.0010891
2.0,0.044606,0.016387,0.0034435,0.78106,0.45434,0.50692,0.2525,0.048979,0.011537,0.013443,0.084666,0.0016663,0.0016663
3.0,0.042545,0.015221,0.002099,0.7701,0.43575,0.47194,0.23055,0.05233,0.011555,0.013965,0.079232,0.0022317,0.0022317
4.0,0.040308,0.015073,0.0021258,0.82785,0.40658,0.48362,0.24915,0.05119,0.010745,0.01393,0.073785,0.0027852,0.0027852
5.0,0.040145,0.01419,0.0013664,0.76934,0.44049,0.47694,0.2416,0.052585,0.0099335,0.013479,0.068327,0.0033267,0.0033267
6.0,0.040279,0.013184,0.0012675,0.76312,0.45445,0.49646,0.25522,0.050054,0.0097308,0.012767,0.062856,0.0038565,0.0038565
7.0,0.038994,0.014181,0.001479,0.50471,0.43955,0.47352,0.23168,0.051122,0.0098761,0.015227,0.057374,0.0043743,0.0043743
8.0,0.037297,0.013697,0.00083726,0.8099,0.39519,0.46685,0.22441,0.050829,0.0093714,0.014274,0.05188,0.0048802,0.0048802
9.0,0.039389,0.011887,0.00094751,0.82359,0.39731,0.47106,0.22635,0.052695,0.0088971,0.013398,0.046374,0.0053743,0.0053743
10.0,0.037152,0.012386,0.0012786,0.55017,0.40604,0.47486,0.22765,0.05267,0.0088775,0.013717,0.040857,0.0058565,0.0058565
11.0,0.036271,0.012062,0.0011608,0.54058,0.38753,0.44958,0.22777,0.053863,0.0089167,0.015587,0.035327,0.0063268,0.0063268
12.0,0.035925,0.011992,0.00095117,0.53775,0.34373,0.41067,0.1826,0.05897,0.0091452,0.017231,0.029785,0.0067852,0.0067852
13.0,0.034635,0.011781,0.0009727,0.53883,0.4024,0.46222,0.23417,0.05184,0.0090883,0.013671,0.024232,0.0072318,0.0072318
14.0,0.033599,0.01193,0.00084592,0.485,0.41966,0.457,0.21436,0.054961,0.0089782,0.012483,0.018666,0.0076665,0.0076665
15.0,0.035219,0.011251,0.00085703,0.46681,0.44248,0.45768,0.22147,0.056272,0.0091867,0.012463,0.013089,0.0080892,0.0080892
16.0,0.03331,0.010565,0.00091102,0.50889,0.39005,0.45823,0.2226,0.054091,0.0092042,0.012678,0.008416,0.008416,0.008416
17.0,0.033224,0.010783,0.00084179,0.80178,0.34714,0.42819,0.20406,0.053937,0.0092114,0.013986,0.008416,0.008416,0.008416
18.0,0.032331,0.011222,0.0010356,0.77148,0.35646,0.42581,0.19914,0.055554,0.0090877,0.013424,0.008317,0.008317,0.008317
19.0,0.031926,0.010293,0.00076515,0.78994,0.28948,0.37342,0.16175,0.060027,0.0091984,0.01514,0.008218,0.008218,0.008218
20.0,0.032343,0.010219,0.00083875,0.72853,0.32285,0.36939,0.16225,0.059471,0.0093048,0.015772,0.008119,0.008119,0.008119
21.0,0.032283,0.0099802,0.00094122,0.78737,0.32336,0.39593,0.17391,0.056593,0.0094728,0.016782,0.00802,0.00802,0.00802
22.0,0.029863,0.010124,0.0010987,0.76456,0.35394,0.4281,0.19497,0.056169,0.009624,0.01452,0.007921,0.007921,0.007921
23.0,0.030119,0.010208,0.00082488,0.77871,0.3562,0.44439,0.21021,0.054909,0.0098774,0.013311,0.007822,0.007822,0.007822
24.0,0.029604,0.010484,0.00084306,0.73194,0.34642,0.3969,0.18458,0.055176,0.010066,0.014144,0.007723,0.007723,0.007723
25.0,0.029936,0.0094416,0.00076772,0.77161,0.31733,0.37402,0.168,0.057745,0.0099486,0.014781,0.007624,0.007624,0.007624
26.0,0.029303,0.0091525,0.0016104,0.77113,0.30481,0.37071,0.15824,0.059053,0.010022,0.014956,0.007525,0.007525,0.007525
27.0,0.028752,0.0098589,0.00084282,0.78191,0.28434,0.32902,0.14403,0.059812,0.010255,0.017743,0.007426,0.007426,0.007426
