epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.091548,0.018635,0.029805,0.76286,0.064024,0.03544,0.0092252,0.074167,0.011797,0.020834,0.070319,0.0032979,0.0032979
1.0,0.064118,0.013339,0.015401,0.6999,0.1885,0.20342,0.079562,0.058965,0.010457,0.016389,0.040253,0.0065656,0.0065656
2.0,0.059873,0.010852,0.012861,0.69468,0.10828,0.095704,0.032626,0.07016,0.010091,0.019711,0.010122,0.0097672,0.0097672
3.0,0.056911,0.010297,0.012971,0.47165,0.28085,0.20456,0.083107,0.059143,0.01836,0.017081,0.009703,0.009703,0.009703
4.0,0.055553,0.010141,0.012679,0.60501,0.23472,0.24747,0.094611,0.056585,0.016234,0.019209,0.009703,0.009703,0.009703
5.0,0.053248,0.0098383,0.011708,0.69033,0.29892,0.32539,0.13271,0.054051,0.0095004,0.015735,0.009604,0.009604,0.009604
6.0,0.051788,0.0093256,0.010588,0.69555,0.30936,0.3346,0.15817,0.051713,0.0099344,0.016016,0.009505,0.009505,0.009505
7.0,0.050148,0.0092911,0.0091292,0.64388,0.26184,0.27471,0.10743,0.055162,0.0097861,0.014878,0.009406,0.009406,0.009406
8.0,0.048402,0.0092073,0.0094335,0.70967,0.331,0.34953,0.1429,0.051609,0.0093752,0.018852,0.009307,0.009307,0.009307
9.0,0.047635,0.009002,0.009273,0.71404,0.32155,0.36347,0.17636,0.049434,0.0091401,0.013357,0.009208,0.009208,0.009208
10.0,0.04627,0.0085116,0.0080707,0.68205,0.32609,0.36012,0.16183,0.048168,0.0098587,0.015328,0.009109,0.009109,0.009109
11.0,0.045345,0.008656,0.0079684,0.75304,0.35803,0.4031,0.19085,0.047711,0.008666,0.014973,0.00901,0.00901,0.00901
12.0,0.04461,0.0085251,0.0075328,0.76869,0.40101,0.43649,0.21583,0.047436,0.0086817,0.012705,0.008911,0.008911,0.008911
13.0,0.043838,0.0084617,0.0070434,0.84497,0.31118,0.39819,0.18567,0.047644,0.0091834,0.013461,0.008812,0.008812,0.008812
14.0,0.043038,0.0082717,0.0062884,0.68945,0.36322,0.39081,0.18082,0.047117,0.0086513,0.013268,0.008713,0.008713,0.008713
15.0,0.04308,0.0080098,0.0066928,0.73282,0.37096,0.4144,0.20006,0.045648,0.008678,0.016125,0.008614,0.008614,0.008614
16.0,0.042726,0.0081506,0.0066354,0.74357,0.39691,0.42437,0.20624,0.046419,0.0083888,0.015203,0.008515,0.008515,0.008515
17.0,0.042307,0.0078947,0.006321,0.71844,0.38582,0.43025,0.21135,0.046408,0.0083731,0.01332,0.008416,0.008416,0.008416
18.0,0.041604,0.0080464,0.006196,0.73987,0.41401,0.44201,0.217,0.044818,0.0083936,0.012755,0.008317,0.008317,0.008317
19.0,0.040798,0.007966,0.0060261,0.80792,0.37263,0.42912,0.21393,0.044166,0.0086648,0.015141,0.008218,0.008218,0.008218
20.0,0.040492,0.0076544,0.0054787,0.79007,0.38556,0.44461,0.2103,0.04625,0.0084673,0.01293,0.008119,0.008119,0.008119
21.0,0.040116,0.0076846,0.0056455,0.72642,0.40256,0.42965,0.20531,0.045662,0.0082058,0.012365,0.00802,0.00802,0.00802
22.0,0.040502,0.0078215,0.0049889,0.7479,0.38703,0.41628,0.21222,0.045247,0.0088784,0.015147,0.007921,0.007921,0.007921
