               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095694,            0.015143,            0.027709,             0.79452,            0.043902,             0.02233,           0.0061283,              0.0792,            0.011977,            0.029146,            0.070417,            0.003287,            0.003287
                   1,            0.068548,            0.011744,            0.013321,             0.81948,             0.04878,            0.099815,            0.033999,            0.072118,            0.011208,            0.024006,            0.040351,           0.0065548,           0.0065548
                   2,            0.061985,            0.010138,             0.01091,             0.67599,             0.12143,            0.078865,            0.028044,            0.064881,            0.016025,             0.03243,             0.01022,           0.0097566,           0.0097566
                   3,            0.059097,           0.0090545,           0.0098659,             0.60745,              0.1665,            0.075658,            0.024168,            0.068313,            0.018793,            0.030223,            0.009703,            0.009703,            0.009703
                   4,               0.058,           0.0087499,            0.008951,             0.70376,             0.13662,             0.16357,            0.056631,             0.06225,            0.012802,            0.026087,            0.009703,            0.009703,            0.009703
                   5,            0.055144,           0.0086294,           0.0090602,             0.62186,             0.12921,             0.10967,            0.038929,            0.060799,            0.016965,             0.02378,            0.009604,            0.009604,            0.009604
                   6,            0.054046,           0.0084121,           0.0079784,             0.68329,             0.12055,             0.11479,            0.038279,            0.064589,            0.010382,            0.025556,            0.009505,            0.009505,            0.009505
                   7,            0.051528,           0.0079402,           0.0070078,              0.6523,             0.15327,             0.12415,            0.052597,            0.059985,            0.011433,            0.025739,            0.009406,            0.009406,            0.009406
                   8,            0.050102,           0.0080128,            0.007459,             0.68874,             0.16012,              0.1556,            0.058746,            0.058676,            0.011062,            0.022106,            0.009307,            0.009307,            0.009307
                   9,             0.04888,           0.0078118,           0.0065757,             0.70661,             0.14604,             0.15279,            0.063115,            0.059968,            0.010024,            0.024605,            0.009208,            0.009208,            0.009208
                  10,             0.04853,           0.0075357,           0.0063601,             0.70655,             0.16403,             0.15995,            0.061542,            0.056839,            0.010428,            0.023729,            0.009109,            0.009109,            0.009109
                  11,            0.047547,           0.0074333,           0.0069336,             0.71181,             0.18988,              0.2095,            0.077994,            0.057487,           0.0096282,            0.019705,             0.00901,             0.00901,             0.00901
                  12,            0.046144,           0.0073065,           0.0059241,             0.48992,             0.23824,             0.21593,            0.093394,            0.052999,           0.0096845,            0.020352,            0.008911,            0.008911,            0.008911
                  13,            0.044656,           0.0071056,           0.0056769,             0.75993,             0.17379,             0.19414,            0.082493,            0.057466,           0.0098069,            0.023733,            0.008812,            0.008812,            0.008812
                  14,            0.044408,           0.0072883,           0.0050315,             0.76427,             0.19076,             0.22115,            0.092624,            0.056247,           0.0093999,            0.020307,            0.008713,            0.008713,            0.008713
                  15,            0.043627,           0.0067644,           0.0049953,             0.47136,             0.20511,             0.20177,             0.08329,             0.05508,            0.010768,            0.022499,            0.008614,            0.008614,            0.008614
                  16,            0.043074,            0.006889,            0.004176,             0.52142,             0.20809,             0.22291,             0.10259,            0.054043,              0.0106,            0.019561,            0.008515,            0.008515,            0.008515
                  17,            0.041485,           0.0067267,           0.0047751,             0.78832,              0.1327,              0.1892,            0.085697,            0.053966,             0.01102,            0.023163,            0.008416,            0.008416,            0.008416
                  18,            0.040932,           0.0066528,           0.0045399,             0.79425,             0.20074,             0.26513,              0.1165,            0.050671,            0.010193,            0.023848,            0.008317,            0.008317,            0.008317
                  19,            0.041319,           0.0066838,           0.0048457,             0.58143,             0.26062,             0.27062,             0.11595,            0.051458,           0.0098661,            0.020497,            0.008218,            0.008218,            0.008218
                  20,            0.040868,           0.0063635,            0.004147,              0.4743,             0.18348,             0.19189,            0.074463,            0.055512,            0.010557,            0.029008,            0.008119,            0.008119,            0.008119
                  21,            0.040272,           0.0068379,            0.004898,               0.797,             0.20173,             0.24476,             0.10131,            0.055549,            0.010064,            0.020193,             0.00802,             0.00802,             0.00802
                  22,            0.040389,           0.0063592,           0.0044627,             0.55573,             0.23092,             0.22554,            0.097214,            0.052267,           0.0095984,            0.028423,            0.007921,            0.007921,            0.007921
                  23,            0.039017,           0.0064625,           0.0042497,             0.58443,             0.23368,             0.23368,            0.099254,            0.053186,           0.0095413,            0.023204,            0.007822,            0.007822,            0.007822
                  24,            0.038615,           0.0061405,           0.0034203,              0.5475,             0.28961,             0.26818,             0.11975,             0.05277,           0.0094355,            0.019708,            0.007723,            0.007723,            0.007723
                  25,            0.037837,           0.0060742,           0.0035471,             0.51157,             0.33335,             0.25196,             0.10046,            0.052095,            0.009654,            0.020117,            0.007624,            0.007624,            0.007624
                  26,             0.03764,           0.0060372,           0.0030186,             0.64011,             0.19176,              0.2288,            0.089994,            0.055622,           0.0096637,            0.020225,            0.007525,            0.007525,            0.007525
                  27,            0.037235,           0.0061685,            0.003735,             0.63591,             0.24744,             0.29357,              0.1244,            0.051328,           0.0088094,            0.029185,            0.007426,            0.007426,            0.007426
                  28,            0.036951,           0.0060267,           0.0033742,             0.56536,             0.30361,             0.28837,             0.12509,            0.051167,           0.0093691,            0.019954,            0.007327,            0.007327,            0.007327
                  29,            0.037392,            0.006046,           0.0030435,             0.57863,             0.27032,              0.2802,             0.12523,            0.050564,           0.0090453,            0.022321,            0.007228,            0.007228,            0.007228
