epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.093361,0.017261,0.027784,0.50241,0.14573,0.02224,0.0071234,0.07487,0.012067,0.02467,0.070341,0.0032955,0.0032955
1.0,0.066319,0.012168,0.013679,0.62744,0.10758,0.094256,0.029986,0.070971,0.009938,0.022524,0.040275,0.0065632,0.0065632
2.0,0.060842,0.0099665,0.010839,0.74022,0.074549,0.077254,0.032347,0.063995,0.015635,0.037937,0.010144,0.0097649,0.0097649
3.0,0.059566,0.0095664,0.010952,0.64042,0.13398,0.11829,0.040995,0.066864,0.017795,0.026823,0.009703,0.009703,0.009703
4.0,0.056162,0.0094331,0.010531,0.65484,0.11346,0.079595,0.022108,0.061179,0.023093,0.024947,0.009703,0.009703,0.009703
5.0,0.054379,0.0089508,0.0097795,0.69043,0.16061,0.16931,0.057845,0.062607,0.012163,0.022347,0.009604,0.009604,0.009604
6.0,0.051999,0.0083802,0.0084295,0.72698,0.11784,0.10844,0.043221,0.062494,0.011483,0.032302,0.009505,0.009505,0.009505
7.0,0.051491,0.0081296,0.0088205,0.71751,0.20669,0.20909,0.081937,0.054356,0.0096486,0.017988,0.009406,0.009406,0.009406
8.0,0.048616,0.0081596,0.0080928,0.76438,0.15586,0.20262,0.087366,0.056274,0.010521,0.021674,0.009307,0.009307,0.009307
9.0,0.048752,0.0078892,0.0080326,0.7526,0.16594,0.21049,0.084768,0.05695,0.010564,0.020905,0.009208,0.009208,0.009208
10.0,0.047746,0.0078254,0.0074148,0.81924,0.17066,0.22642,0.086804,0.058722,0.0092403,0.021529,0.009109,0.009109,0.009109
11.0,0.046095,0.007371,0.0066172,0.7888,0.20539,0.25609,0.10957,0.055632,0.0096168,0.019386,0.00901,0.00901,0.00901
12.0,0.045715,0.0076093,0.0063343,0.8104,0.19305,0.28073,0.1223,0.052641,0.009287,0.019043,0.008911,0.008911,0.008911
13.0,0.04475,0.0075908,0.0059849,0.75804,0.17612,0.23932,0.087722,0.055128,0.0096053,0.01728,0.008812,0.008812,0.008812
14.0,0.044249,0.0072285,0.005507,0.61883,0.2943,0.30993,0.13862,0.05464,0.00946,0.01792,0.008713,0.008713,0.008713
15.0,0.043557,0.0072523,0.0056142,0.83697,0.21925,0.31919,0.13485,0.051904,0.0094131,0.01834,0.008614,0.008614,0.008614
16.0,0.042403,0.0073311,0.0049632,0.6216,0.33844,0.34262,0.13767,0.050324,0.0094544,0.018091,0.008515,0.008515,0.008515
17.0,0.042456,0.007188,0.0054346,0.66066,0.32744,0.31552,0.1409,0.05289,0.0093338,0.017635,0.008416,0.008416,0.008416
18.0,0.041363,0.0070668,0.005122,0.71553,0.29403,0.31574,0.12986,0.052676,0.0091671,0.017259,0.008317,0.008317,0.008317
19.0,0.040652,0.0069336,0.004508,0.71282,0.29758,0.3528,0.15023,0.050222,0.0088098,0.019082,0.008218,0.008218,0.008218
20.0,0.040103,0.0068348,0.0049159,0.66558,0.29412,0.34166,0.14652,0.050041,0.0091295,0.016152,0.008119,0.008119,0.008119
21.0,0.040701,0.0068522,0.0043037,0.67681,0.23148,0.29237,0.12915,0.052259,0.0097339,0.019618,0.00802,0.00802,0.00802
22.0,0.040266,0.0067081,0.0038291,0.73656,0.28677,0.34239,0.16262,0.050854,0.0091774,0.015238,0.007921,0.007921,0.007921
23.0,0.039477,0.0067283,0.0038077,0.80418,0.28247,0.32986,0.14679,0.054533,0.0093417,0.018023,0.007822,0.007822,0.007822
24.0,0.039813,0.0066682,0.0038396,0.72165,0.25947,0.30621,0.13358,0.053693,0.0096832,0.021054,0.007723,0.007723,0.007723
25.0,0.039342,0.0066305,0.0035858,0.65174,0.31176,0.33618,0.14753,0.048131,0.0091708,0.016211,0.007624,0.007624,0.007624
26.0,0.038847,0.0066026,0.0045282,0.70343,0.29999,0.31629,0.14781,0.049315,0.0098539,0.01983,0.007525,0.007525,0.007525
27.0,0.038177,0.0063937,0.00371,0.72858,0.29747,0.35888,0.16419,0.049072,0.0089229,0.016561,0.007426,0.007426,0.007426
28.0,0.03777,0.0064405,0.0033171,0.69965,0.3331,0.34603,0.15017,0.051006,0.0085633,0.015424,0.007327,0.007327,0.007327
29.0,0.037404,0.0063333,0.0031087,0.73205,0.2699,0.29836,0.12122,0.054004,0.0088935,0.018965,0.007228,0.007228,0.007228
30.0,0.037094,0.0062554,0.0029053,0.72747,0.31322,0.34743,0.15727,0.050311,0.0091641,0.017047,0.007129,0.007129,0.007129
31.0,0.036657,0.0061605,0.0030939,0.75665,0.32402,0.37872,0.17825,0.046058,0.0090282,0.018006,0.00703,0.00703,0.00703
32.0,0.03676,0.0060739,0.0027291,0.74081,0.33464,0.38895,0.18446,0.047989,0.008999,0.019501,0.006931,0.006931,0.006931
33.0,0.036341,0.0059943,0.0029649,0.74542,0.30708,0.35541,0.17205,0.050165,0.0089067,0.019254,0.006832,0.006832,0.006832
34.0,0.036059,0.0062115,0.0032102,0.67987,0.33061,0.35747,0.17159,0.049583,0.0091462,0.019442,0.006733,0.006733,0.006733
35.0,0.035602,0.0061112,0.0028741,0.72322,0.32981,0.36274,0.16471,0.048805,0.0089837,0.018349,0.006634,0.006634,0.006634
36.0,0.03518,0.0058993,0.0025224,0.75185,0.28946,0.33669,0.16875,0.049065,0.0090294,0.01972,0.006535,0.006535,0.006535
37.0,0.034959,0.0059181,0.0025358,0.72132,0.30276,0.34363,0.14677,0.049769,0.0090512,0.019488,0.006436,0.006436,0.006436
38.0,0.035041,0.0058,0.0021369,0.79923,0.27294,0.32947,0.14365,0.049543,0.010014,0.021276,0.006337,0.006337,0.006337
39.0,0.034731,0.006015,0.0020937,0.7555,0.31362,0.36415,0.16687,0.048579,0.0088457,0.017793,0.006238,0.006238,0.006238
40.0,0.033608,0.0057838,0.0024663,0.78433,0.32392,0.36087,0.18116,0.048189,0.0093556,0.018623,0.006139,0.006139,0.006139
41.0,0.034279,0.0057143,0.002188,0.75724,0.3276,0.37681,0.1718,0.047608,0.0088402,0.019662,0.00604,0.00604,0.00604
42.0,0.033141,0.0057665,0.0021639,0.7584,0.34932,0.40693,0.19723,0.045181,0.0087058,0.014771,0.005941,0.005941,0.005941
43.0,0.032885,0.0057297,0.0020905,0.80753,0.28706,0.34965,0.16263,0.04892,0.0086001,0.021144,0.005842,0.005842,0.005842
