epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.096091,0.017819,0.032229,0.0013657,0.36671,0.014407,0.0032144,0.080394,0.01151,0.023522,0.070469,0.0032813,0.0032813
1.0,0.068492,0.013162,0.017485,0.73704,0.1148,0.14593,0.052421,0.067198,0.010693,0.020155,0.040447,0.0065928,0.0065928
2.0,0.062671,0.01113,0.01377,0.68052,0.14409,0.13541,0.050613,0.062613,0.010697,0.018355,0.010403,0.0098823,0.0098823
3.0,0.059931,0.010141,0.01391,0.63541,0.090471,0.084407,0.02914,0.062661,0.020518,0.019413,0.009901,0.009901,0.009901
4.0,0.058279,0.0098339,0.0131,0.65164,0.12063,0.098134,0.033984,0.062211,0.014851,0.02774,0.009901,0.009901,0.009901
5.0,0.055683,0.0097082,0.013156,0.66111,0.1145,0.11881,0.046731,0.05846,0.012129,0.022042,0.009868,0.009868,0.009868
6.0,0.054553,0.0093942,0.011732,0.49463,0.23948,0.22972,0.10155,0.055555,0.010237,0.016626,0.009835,0.009835,0.009835
7.0,0.05277,0.0091855,0.011056,0.47595,0.30462,0.22267,0.087835,0.055272,0.011972,0.017177,0.009802,0.009802,0.009802
8.0,0.052104,0.0088653,0.010683,0.56669,0.28753,0.25799,0.1103,0.056591,0.010304,0.020214,0.009769,0.009769,0.009769
9.0,0.050742,0.0090015,0.010214,0.63277,0.25163,0.27132,0.10846,0.05297,0.010343,0.016104,0.009736,0.009736,0.009736
10.0,0.049696,0.0086691,0.0092759,0.60657,0.34015,0.33566,0.16161,0.052084,0.0096033,0.018155,0.009703,0.009703,0.009703
11.0,0.048969,0.0085136,0.0092993,0.5788,0.19012,0.19641,0.089068,0.055499,0.011086,0.021876,0.00967,0.00967,0.00967
12.0,0.047957,0.0085415,0.0090074,0.66976,0.29964,0.33696,0.14525,0.054102,0.009022,0.015426,0.009637,0.009637,0.009637
13.0,0.04737,0.0083604,0.0085935,0.64668,0.2596,0.29447,0.13135,0.049917,0.0090552,0.016514,0.009604,0.009604,0.009604
14.0,0.046513,0.0085525,0.0076953,0.70783,0.30205,0.33137,0.13041,0.055354,0.0088204,0.015435,0.009571,0.009571,0.009571
15.0,0.047148,0.0083269,0.0076534,0.72593,0.33085,0.37157,0.1734,0.048907,0.009519,0.015023,0.009538,0.009538,0.009538
16.0,0.045734,0.0083691,0.007691,0.62181,0.30454,0.3477,0.15222,0.049179,0.0089464,0.014074,0.009505,0.009505,0.009505
17.0,0.045215,0.0081154,0.0073288,0.69144,0.36714,0.39526,0.18732,0.049659,0.0090297,0.014079,0.009472,0.009472,0.009472
18.0,0.045822,0.008406,0.0072551,0.68735,0.30551,0.32869,0.13258,0.051493,0.0089579,0.01805,0.009439,0.009439,0.009439
19.0,0.044539,0.0081847,0.0074247,0.66707,0.35255,0.36756,0.17857,0.048834,0.0089738,0.01571,0.009406,0.009406,0.009406
20.0,0.043776,0.0080165,0.0066884,0.76813,0.3153,0.38353,0.17728,0.04958,0.0091859,0.017355,0.009373,0.009373,0.009373
21.0,0.043575,0.0081171,0.0064635,0.78248,0.29065,0.36056,0.16753,0.048515,0.0092526,0.016758,0.00934,0.00934,0.00934
22.0,0.043833,0.0078937,0.0063958,0.72373,0.29983,0.34885,0.15227,0.050767,0.0093127,0.012912,0.009307,0.009307,0.009307
23.0,0.043999,0.0078111,0.0071009,0.74894,0.37104,0.41181,0.18081,0.049227,0.0089182,0.012228,0.009274,0.009274,0.009274
24.0,0.042584,0.0079358,0.0065095,0.7432,0.37277,0.40379,0.1859,0.046353,0.009067,0.013784,0.009241,0.009241,0.009241
25.0,0.042187,0.0076214,0.0054307,0.76199,0.33778,0.39602,0.1769,0.049999,0.0086679,0.012564,0.009208,0.009208,0.009208
26.0,0.041984,0.0078592,0.0057428,0.74738,0.35842,0.39861,0.17621,0.051529,0.0093596,0.013275,0.009175,0.009175,0.009175
27.0,0.041871,0.0076095,0.0058353,0.76573,0.3281,0.39066,0.18899,0.047551,0.0087115,0.017941,0.009142,0.009142,0.009142
28.0,0.042154,0.0076625,0.0057429,0.74183,0.36215,0.39769,0.19474,0.049257,0.0088829,0.015011,0.009109,0.009109,0.009109
29.0,0.041457,0.0074906,0.005175,0.68686,0.37473,0.39575,0.18879,0.04973,0.0088614,0.014866,0.009076,0.009076,0.009076
30.0,0.040786,0.0074983,0.0053095,0.73957,0.35909,0.40026,0.19224,0.048037,0.0086328,0.013055,0.009043,0.009043,0.009043
31.0,0.040204,0.0074207,0.0046947,0.76037,0.33557,0.38186,0.17738,0.046992,0.0091299,0.014305,0.00901,0.00901,0.00901
32.0,0.040807,0.0075817,0.0052913,0.70256,0.32711,0.37721,0.17621,0.04776,0.0088212,0.013187,0.008977,0.008977,0.008977
33.0,0.040255,0.0074928,0.004691,0.75963,0.24773,0.29841,0.13635,0.049401,0.0097745,0.022766,0.008944,0.008944,0.008944
34.0,0.039821,0.0072895,0.0047007,0.74385,0.36315,0.38876,0.18954,0.047534,0.0084842,0.016043,0.008911,0.008911,0.008911
35.0,0.040093,0.0074763,0.0049855,0.77767,0.36684,0.42291,0.21455,0.045805,0.009037,0.014879,0.008878,0.008878,0.008878
36.0,0.039633,0.0073116,0.0045873,0.72934,0.38933,0.41816,0.20047,0.047619,0.0096709,0.015331,0.008845,0.008845,0.008845
37.0,0.039272,0.0072319,0.0047611,0.77839,0.4006,0.43631,0.2167,0.047208,0.008399,0.013458,0.008812,0.008812,0.008812
38.0,0.038848,0.0070763,0.0038096,0.72775,0.3741,0.41448,0.21144,0.048669,0.0095757,0.015367,0.008779,0.008779,0.008779
39.0,0.038441,0.0071106,0.0038008,0.72483,0.33239,0.38349,0.18357,0.049734,0.0087252,0.01592,0.008746,0.008746,0.008746
40.0,0.038772,0.0073737,0.004088,0.7489,0.35238,0.38423,0.1732,0.050312,0.0087606,0.013882,0.008713,0.008713,0.008713
41.0,0.037875,0.0066448,0.0035994,0.75444,0.40419,0.42107,0.20121,0.0479,0.0090618,0.012638,0.00868,0.00868,0.00868
42.0,0.03802,0.0068871,0.003721,0.76386,0.35092,0.39228,0.18524,0.047571,0.0086325,0.017587,0.008647,0.008647,0.008647
43.0,0.038044,0.0068797,0.0036833,0.79477,0.36198,0.40874,0.20915,0.045997,0.0088189,0.017634,0.008614,0.008614,0.008614
44.0,0.037322,0.0068047,0.0038966,0.77262,0.36212,0.40753,0.20639,0.046199,0.0094039,0.016078,0.008581,0.008581,0.008581
45.0,0.037808,0.0069098,0.0034899,0.71719,0.39002,0.41561,0.20359,0.046722,0.0085573,0.015698,0.008548,0.008548,0.008548
46.0,0.037158,0.0070054,0.0037217,0.74136,0.38564,0.40929,0.20208,0.045945,0.0086267,0.015178,0.008515,0.008515,0.008515
47.0,0.036465,0.0069394,0.0035343,0.74976,0.33383,0.39594,0.20998,0.048105,0.0085233,0.018035,0.008482,0.008482,0.008482
48.0,0.036847,0.0069462,0.0036311,0.77453,0.37723,0.42171,0.20596,0.046677,0.0094096,0.01343,0.008449,0.008449,0.008449
49.0,0.03725,0.0068803,0.0036231,0.78248,0.38888,0.42285,0.20745,0.046497,0.008353,0.014719,0.008416,0.008416,0.008416
50.0,0.035761,0.0068754,0.0032481,0.74085,0.36351,0.39028,0.18665,0.047248,0.0089408,0.017802,0.008383,0.008383,0.008383
51.0,0.035589,0.0066145,0.0028701,0.75892,0.35124,0.38463,0.1905,0.046394,0.0090228,0.016285,0.00835,0.00835,0.00835
52.0,0.035667,0.0065738,0.0031051,0.79725,0.3776,0.4298,0.21958,0.047206,0.0086443,0.014397,0.008317,0.008317,0.008317
53.0,0.036392,0.0068548,0.00366,0.77657,0.38624,0.41367,0.22313,0.045213,0.0091656,0.015658,0.008284,0.008284,0.008284
54.0,0.035916,0.0066549,0.0031407,0.77962,0.38286,0.42045,0.21141,0.044542,0.0086342,0.015725,0.008251,0.008251,0.008251
55.0,0.035432,0.0068747,0.003258,0.73363,0.35177,0.39101,0.19978,0.045795,0.0090684,0.016794,0.008218,0.008218,0.008218
56.0,0.035141,0.0064179,0.0030127,0.74343,0.3763,0.39936,0.20995,0.046486,0.0096358,0.016827,0.008185,0.008185,0.008185
57.0,0.035261,0.0065165,0.0031648,0.74495,0.42817,0.43962,0.23101,0.044747,0.0083375,0.015228,0.008152,0.008152,0.008152
58.0,0.035378,0.006543,0.0035732,0.8203,0.36473,0.43232,0.22605,0.046815,0.0084274,0.016202,0.008119,0.008119,0.008119
59.0,0.034738,0.0064867,0.0026522,0.74946,0.39037,0.40955,0.20932,0.045778,0.0089476,0.016918,0.008086,0.008086,0.008086
60.0,0.033914,0.0065717,0.0030834,0.7045,0.39664,0.3981,0.20876,0.046531,0.0086027,0.015629,0.008053,0.008053,0.008053
61.0,0.034953,0.006585,0.0029569,0.79988,0.35326,0.40691,0.21474,0.045551,0.0088195,0.015617,0.00802,0.00802,0.00802
62.0,0.034258,0.0063758,0.0029985,0.7673,0.37629,0.41231,0.22165,0.045614,0.0087754,0.01607,0.007987,0.007987,0.007987
63.0,0.034013,0.0063073,0.0027687,0.84329,0.34491,0.41979,0.23212,0.045405,0.0089763,0.015164,0.007954,0.007954,0.007954
64.0,0.034293,0.0063442,0.0028871,0.74326,0.35682,0.40327,0.21978,0.046189,0.0092659,0.014109,0.007921,0.007921,0.007921
65.0,0.034011,0.0061945,0.0026135,0.71107,0.3856,0.39056,0.20115,0.044955,0.0089072,0.01718,0.007888,0.007888,0.007888
66.0,0.033752,0.0063765,0.0025396,0.73329,0.40895,0.43033,0.23146,0.044774,0.0082762,0.017175,0.007855,0.007855,0.007855
67.0,0.033958,0.0062734,0.0024865,0.77808,0.34919,0.41237,0.21886,0.044895,0.0092083,0.016299,0.007822,0.007822,0.007822
68.0,0.03326,0.0061871,0.0025368,0.77163,0.38152,0.42215,0.22215,0.047128,0.008964,0.013699,0.007789,0.007789,0.007789
69.0,0.032832,0.0061764,0.0026638,0.7861,0.35543,0.40914,0.21011,0.047141,0.0085755,0.014657,0.007756,0.007756,0.007756
70.0,0.032736,0.0059955,0.0020251,0.7723,0.3939,0.42586,0.22302,0.046049,0.0091374,0.016591,0.007723,0.007723,0.007723
71.0,0.032723,0.006008,0.0023187,0.7753,0.39686,0.42503,0.23466,0.042185,0.0085854,0.015187,0.00769,0.00769,0.00769
72.0,0.032672,0.0062803,0.0026361,0.78847,0.35876,0.40655,0.21605,0.04721,0.009418,0.017274,0.007657,0.007657,0.007657
73.0,0.033187,0.0059572,0.0021687,0.70814,0.39255,0.41237,0.21622,0.046208,0.0089084,0.014504,0.007624,0.007624,0.007624
74.0,0.031977,0.0059269,0.0020107,0.75294,0.37384,0.39901,0.20078,0.047652,0.0093077,0.013998,0.007591,0.007591,0.007591
75.0,0.031854,0.0061014,0.0019251,0.80469,0.35532,0.41981,0.22374,0.045218,0.0091308,0.016584,0.007558,0.007558,0.007558
76.0,0.031752,0.0059204,0.0026025,0.77343,0.36647,0.40173,0.20075,0.046421,0.0094888,0.014058,0.007525,0.007525,0.007525
77.0,0.032367,0.0058814,0.0022316,0.7476,0.36042,0.39534,0.21123,0.045641,0.0092789,0.015916,0.007492,0.007492,0.007492
78.0,0.032155,0.005894,0.0021402,0.75263,0.38468,0.42035,0.23426,0.045116,0.0090297,0.014181,0.007459,0.007459,0.007459
79.0,0.031513,0.0060458,0.0017991,0.79453,0.38985,0.42906,0.23298,0.045734,0.0090829,0.014694,0.007426,0.007426,0.007426
80.0,0.03132,0.0060099,0.0019823,0.79809,0.41454,0.44498,0.24013,0.044466,0.0087066,0.014231,0.007393,0.007393,0.007393
81.0,0.031149,0.0058812,0.0021272,0.84455,0.35041,0.4008,0.20476,0.047566,0.0096141,0.015926,0.00736,0.00736,0.00736
82.0,0.03122,0.005809,0.0018031,0.78646,0.37968,0.41716,0.22052,0.045483,0.0090778,0.014998,0.007327,0.007327,0.007327
83.0,0.031317,0.0059358,0.0018523,0.80573,0.37457,0.42105,0.2257,0.04392,0.0095035,0.016596,0.007294,0.007294,0.007294
84.0,0.030623,0.0057431,0.0017585,0.78774,0.39153,0.42034,0.22985,0.045224,0.009386,0.014398,0.007261,0.007261,0.007261
85.0,0.030535,0.0056354,0.0019462,0.80177,0.35795,0.41597,0.22357,0.044408,0.0096484,0.013839,0.007228,0.007228,0.007228
86.0,0.030837,0.0057507,0.001836,0.82937,0.40905,0.45548,0.25159,0.043798,0.0092001,0.014073,0.007195,0.007195,0.007195
87.0,0.030076,0.0057362,0.001895,0.79866,0.3856,0.44535,0.23854,0.045447,0.0087009,0.01568,0.007162,0.007162,0.007162
88.0,0.03045,0.0059166,0.0019345,0.78631,0.40864,0.43139,0.23768,0.045497,0.0093673,0.014672,0.007129,0.007129,0.007129
89.0,0.030539,0.0057706,0.0020788,0.74079,0.41564,0.41903,0.21575,0.045771,0.0089133,0.013567,0.007096,0.007096,0.007096
90.0,0.030158,0.0056069,0.001749,0.78142,0.36063,0.40983,0.20685,0.045362,0.0096033,0.013684,0.007063,0.007063,0.007063
91.0,0.03032,0.0055099,0.0014342,0.77975,0.41724,0.45107,0.24595,0.043485,0.0090006,0.015434,0.00703,0.00703,0.00703
92.0,0.029528,0.0055736,0.0018815,0.77927,0.42342,0.44513,0.2297,0.044433,0.0093412,0.015538,0.006997,0.006997,0.006997
93.0,0.029539,0.0056829,0.0019607,0.79994,0.39741,0.43715,0.23321,0.043951,0.0089926,0.013645,0.006964,0.006964,0.006964
94.0,0.029351,0.005618,0.0017031,0.83394,0.4174,0.45519,0.24712,0.044115,0.0091847,0.015307,0.006931,0.006931,0.006931
95.0,0.029365,0.0055482,0.0014024,0.80023,0.4146,0.44543,0.2507,0.044032,0.0090806,0.015936,0.006898,0.006898,0.006898
96.0,0.029316,0.005536,0.0016614,0.81487,0.39207,0.43456,0.23355,0.0455,0.0092811,0.015614,0.006865,0.006865,0.006865
97.0,0.029602,0.0056509,0.0017804,0.84684,0.37446,0.44,0.24436,0.044721,0.0089962,0.015911,0.006832,0.006832,0.006832
98.0,0.029487,0.0055415,0.001847,0.77608,0.42777,0.44342,0.24048,0.04443,0.0091972,0.015168,0.006799,0.006799,0.006799
99.0,0.028815,0.0056012,0.0016685,0.73183,0.42816,0.43444,0.22408,0.046079,0.0093461,0.014253,0.006766,0.006766,0.006766
100.0,0.029,0.0055967,0.00192,0.81477,0.38091,0.43152,0.22713,0.045302,0.0088458,0.014181,0.006733,0.006733,0.006733
101.0,0.028694,0.0054524,0.0013671,0.80266,0.41487,0.44881,0.24875,0.044391,0.0091845,0.013691,0.0067,0.0067,0.0067
102.0,0.02842,0.0054528,0.0017955,0.82643,0.37847,0.42684,0.24001,0.045534,0.010014,0.015415,0.006667,0.006667,0.006667
103.0,0.028889,0.0053799,0.0014674,0.79817,0.39801,0.43768,0.25028,0.043286,0.009427,0.014594,0.006634,0.006634,0.006634
104.0,0.029408,0.0055413,0.0013909,0.79586,0.42448,0.44516,0.24596,0.044509,0.0092347,0.013456,0.006601,0.006601,0.006601
105.0,0.028685,0.0054361,0.0014948,0.82766,0.38889,0.44451,0.25006,0.044532,0.0088141,0.015948,0.006568,0.006568,0.006568
106.0,0.028605,0.0052839,0.0014674,0.82146,0.38149,0.42964,0.23967,0.044958,0.0091917,0.014917,0.006535,0.006535,0.006535
107.0,0.028336,0.0052111,0.0014213,0.80214,0.40125,0.43839,0.24005,0.044348,0.009256,0.014184,0.006502,0.006502,0.006502
108.0,0.02857,0.0051902,0.0013239,0.79033,0.40901,0.44407,0.24448,0.043859,0.0090767,0.01491,0.006469,0.006469,0.006469
109.0,0.027963,0.0051058,0.0013185,0.82008,0.36502,0.42523,0.22898,0.043824,0.0094006,0.015276,0.006436,0.006436,0.006436
110.0,0.028651,0.0054098,0.001639,0.78533,0.35886,0.40808,0.22746,0.043444,0.0094752,0.016951,0.006403,0.006403,0.006403
111.0,0.028671,0.0053082,0.0018611,0.80389,0.38536,0.43434,0.23282,0.043542,0.0094269,0.016508,0.00637,0.00637,0.00637
112.0,0.027989,0.0054216,0.0017883,0.78639,0.39601,0.42851,0.2307,0.04405,0.0099866,0.015578,0.006337,0.006337,0.006337
113.0,0.027946,0.0053148,0.0015145,0.76025,0.39071,0.41835,0.22766,0.044353,0.0095802,0.014963,0.006304,0.006304,0.006304
114.0,0.027517,0.0052096,0.0016718,0.80944,0.37357,0.42977,0.23482,0.043878,0.0097184,0.014569,0.006271,0.006271,0.006271
115.0,0.027972,0.0051326,0.0015629,0.83661,0.34097,0.42111,0.23503,0.044108,0.010078,0.016186,0.006238,0.006238,0.006238
116.0,0.027197,0.0052227,0.0014652,0.83356,0.34423,0.43124,0.24247,0.044265,0.0099522,0.01553,0.006205,0.006205,0.006205
117.0,0.027832,0.0050921,0.0017257,0.76755,0.40716,0.47353,0.26423,0.044527,0.0096809,0.013424,0.006172,0.006172,0.006172
118.0,0.027178,0.0051887,0.0011988,0.50968,0.42212,0.44324,0.2502,0.043513,0.0096951,0.014791,0.006139,0.006139,0.006139
119.0,0.026795,0.0049465,0.0011713,0.83412,0.371,0.43004,0.23858,0.043667,0.0096311,0.014011,0.006106,0.006106,0.006106
120.0,0.027081,0.0050161,0.001128,0.80559,0.36685,0.41971,0.22803,0.043987,0.0098713,0.015173,0.006073,0.006073,0.006073
121.0,0.027258,0.0049968,0.0010798,0.78066,0.37316,0.42474,0.23651,0.0429,0.0099583,0.015272,0.00604,0.00604,0.00604
122.0,0.026744,0.0052176,0.0016093,0.80905,0.40407,0.43969,0.24455,0.04285,0.0096278,0.015528,0.006007,0.006007,0.006007
123.0,0.026756,0.0049718,0.001188,0.7925,0.40621,0.44,0.24237,0.043797,0.0095584,0.015455,0.005974,0.005974,0.005974
124.0,0.027016,0.0049599,0.0011953,0.79971,0.36981,0.42787,0.23352,0.044266,0.0095959,0.014171,0.005941,0.005941,0.005941
125.0,0.026766,0.0049078,0.001279,0.81108,0.36969,0.43276,0.23444,0.043829,0.010097,0.014696,0.005908,0.005908,0.005908
126.0,0.026574,0.0050882,0.0013872,0.83232,0.36012,0.42573,0.23511,0.045023,0.0097752,0.014655,0.005875,0.005875,0.005875
127.0,0.026789,0.0049425,0.0010153,0.80966,0.37652,0.43125,0.23928,0.043861,0.0095208,0.015118,0.005842,0.005842,0.005842
128.0,0.026452,0.0049983,0.0014133,0.75836,0.40046,0.42026,0.24237,0.043728,0.009731,0.016078,0.005809,0.005809,0.005809
129.0,0.025908,0.004878,0.0012475,0.78624,0.38236,0.45151,0.24217,0.04412,0.0097271,0.015154,0.005776,0.005776,0.005776
130.0,0.026315,0.004911,0.0013002,0.76617,0.38968,0.4266,0.23207,0.044131,0.0097725,0.015317,0.005743,0.005743,0.005743
131.0,0.02615,0.0049474,0.0012478,0.78037,0.39357,0.43069,0.23246,0.044201,0.0096695,0.014302,0.00571,0.00571,0.00571
132.0,0.026344,0.0049881,0.0011279,0.78019,0.38159,0.41636,0.23607,0.044682,0.0098077,0.015224,0.005677,0.005677,0.005677
133.0,0.025506,0.0048088,0.0012706,0.71915,0.39726,0.4102,0.23652,0.044383,0.0099224,0.01622,0.005644,0.005644,0.005644
134.0,0.025743,0.004844,0.0012225,0.74591,0.39195,0.40863,0.22862,0.045095,0.010282,0.016585,0.005611,0.005611,0.005611
135.0,0.025773,0.0049825,0.0013406,0.80458,0.38952,0.42733,0.24174,0.044302,0.0099078,0.016041,0.005578,0.005578,0.005578
136.0,0.025935,0.0049561,0.0015285,0.80582,0.37099,0.43252,0.24341,0.044014,0.0099173,0.015825,0.005545,0.005545,0.005545
137.0,0.025623,0.0048119,0.0010352,0.83225,0.35239,0.42407,0.23192,0.044257,0.010013,0.016015,0.005512,0.005512,0.005512
138.0,0.025441,0.004834,0.0012996,0.83927,0.36397,0.43226,0.24379,0.043904,0.010234,0.015089,0.005479,0.005479,0.005479
139.0,0.025235,0.0048398,0.0013358,0.85281,0.34958,0.43035,0.23499,0.044018,0.010292,0.014998,0.005446,0.005446,0.005446
140.0,0.025061,0.0047266,0.00096092,0.82226,0.35551,0.42722,0.23332,0.044367,0.010103,0.014999,0.005413,0.005413,0.005413
141.0,0.024789,0.0047428,0.00096411,0.75879,0.37046,0.42271,0.22793,0.04447,0.0099034,0.014539,0.00538,0.00538,0.00538
142.0,0.024637,0.0046893,0.0010766,0.81028,0.35904,0.42473,0.22821,0.044606,0.010125,0.015216,0.005347,0.005347,0.005347
143.0,0.024778,0.0047968,0.001032,0.76375,0.36532,0.42723,0.2374,0.044189,0.010026,0.016098,0.005314,0.005314,0.005314
144.0,0.024726,0.0047542,0.00099385,0.86259,0.33552,0.425,0.2347,0.044152,0.010132,0.016026,0.005281,0.005281,0.005281
145.0,0.024747,0.0046011,0.0011844,0.81465,0.36366,0.42637,0.2379,0.044119,0.010097,0.016291,0.005248,0.005248,0.005248
146.0,0.024882,0.0047324,0.0011445,0.82466,0.3679,0.42949,0.23904,0.044166,0.01026,0.016506,0.005215,0.005215,0.005215
147.0,0.024599,0.0046615,0.00097773,0.84969,0.35343,0.42923,0.23755,0.044223,0.010296,0.016169,0.005182,0.005182,0.005182
148.0,0.024264,0.0046835,0.00092036,0.85052,0.3532,0.43066,0.24093,0.044146,0.010063,0.016762,0.005149,0.005149,0.005149
149.0,0.024525,0.0046486,0.0012873,0.83794,0.35292,0.45233,0.25655,0.043762,0.010213,0.016502,0.005116,0.005116,0.005116
150.0,0.025047,0.0045954,0.0012427,0.71323,0.39977,0.4454,0.25504,0.043086,0.010218,0.01635,0.005083,0.005083,0.005083
151.0,0.024492,0.0047583,0.00096424,0.75922,0.36339,0.44365,0.25718,0.042886,0.010302,0.016049,0.00505,0.00505,0.00505
152.0,0.023933,0.0045436,0.0010891,0.82224,0.36302,0.44622,0.25648,0.042899,0.010291,0.015883,0.005017,0.005017,0.005017
153.0,0.023549,0.0046568,0.0009349,0.60682,0.44892,0.44473,0.25504,0.043076,0.010259,0.015981,0.004984,0.004984,0.004984
154.0,0.024034,0.0045846,0.001149,0.82459,0.35385,0.44573,0.25874,0.043423,0.010403,0.016321,0.004951,0.004951,0.004951
155.0,0.023578,0.0047109,0.0010744,0.84272,0.35117,0.44842,0.25717,0.043866,0.010357,0.01655,0.004918,0.004918,0.004918
156.0,0.023835,0.0044941,0.00092514,0.59463,0.45139,0.4486,0.25794,0.043619,0.010212,0.01657,0.004885,0.004885,0.004885
157.0,0.023608,0.0044913,0.0008606,0.67708,0.45086,0.45513,0.25861,0.043448,0.010116,0.016175,0.004852,0.004852,0.004852
158.0,0.02311,0.0045032,0.00091318,0.72363,0.42683,0.45199,0.25368,0.043888,0.010164,0.015605,0.004819,0.004819,0.004819
159.0,0.023149,0.0043121,0.00099798,0.66233,0.44383,0.45222,0.24974,0.04413,0.010345,0.015455,0.004786,0.004786,0.004786
160.0,0.023253,0.0044258,0.00083395,0.80833,0.36514,0.44607,0.24557,0.044224,0.010391,0.015536,0.004753,0.004753,0.004753
161.0,0.022928,0.0042296,0.00085158,0.82287,0.37168,0.42745,0.23705,0.044076,0.010507,0.015458,0.00472,0.00472,0.00472
162.0,0.023445,0.0043228,0.00096462,0.80452,0.38033,0.42518,0.23702,0.044174,0.010668,0.015958,0.004687,0.004687,0.004687
163.0,0.023068,0.0042314,0.00076281,0.81637,0.37926,0.42552,0.23562,0.044239,0.010696,0.016166,0.004654,0.004654,0.004654
164.0,0.023318,0.0043429,0.0008977,0.80659,0.37576,0.42079,0.2331,0.044345,0.01069,0.016298,0.004621,0.004621,0.004621
165.0,0.022999,0.0044222,0.0010106,0.81567,0.37175,0.42121,0.23613,0.044438,0.010761,0.015948,0.004588,0.004588,0.004588
166.0,0.023078,0.0043252,0.0010712,0.79133,0.37689,0.42366,0.23571,0.044285,0.010606,0.015144,0.004555,0.004555,0.004555
167.0,0.022699,0.0044126,0.00091122,0.8221,0.37201,0.42998,0.23796,0.044348,0.010555,0.015004,0.004522,0.004522,0.004522
168.0,0.022575,0.0044429,0.00076351,0.82326,0.37171,0.43672,0.23983,0.044439,0.010615,0.015057,0.004489,0.004489,0.004489
169.0,0.023035,0.0043355,0.00094335,0.78529,0.38841,0.4298,0.2368,0.044559,0.010647,0.015296,0.004456,0.004456,0.004456
170.0,0.022154,0.0043089,0.00083607,0.80478,0.38495,0.43565,0.24032,0.044427,0.010605,0.015526,0.004423,0.004423,0.004423
171.0,0.022509,0.0041522,0.00078015,0.81323,0.3894,0.43753,0.24116,0.04435,0.010639,0.015507,0.00439,0.00439,0.00439
172.0,0.022388,0.0042394,0.00074123,0.84306,0.3818,0.44147,0.24412,0.044359,0.010736,0.015647,0.004357,0.004357,0.004357
