               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095948,            0.018226,            0.032247,           0.0018555,             0.45817,            0.030709,           0.0065443,            0.075628,            0.012077,            0.023351,            0.070469,           0.0032813,           0.0032813
                   1,            0.068249,            0.013642,            0.017506,              0.6619,              0.1283,             0.10778,            0.035907,            0.067593,             0.01056,            0.021338,            0.040447,           0.0065928,           0.0065928
                   2,            0.062691,            0.011511,            0.014156,             0.70192,             0.12369,             0.14376,            0.050978,            0.062983,            0.011328,            0.020331,            0.010403,           0.0098823,           0.0098823
                   3,             0.05863,            0.010329,            0.013544,             0.65847,              0.1491,             0.13224,            0.046419,            0.060859,            0.015727,            0.024573,            0.009901,            0.009901,            0.009901
                   4,            0.057719,            0.010188,            0.013236,             0.65629,             0.12442,             0.12283,            0.044689,             0.05934,            0.011093,            0.019964,            0.009901,            0.009901,            0.009901
                   5,            0.055349,           0.0098948,            0.012993,             0.42009,             0.17336,             0.13395,            0.055229,            0.060254,            0.011272,             0.03355,            0.009868,            0.009868,            0.009868
                   6,            0.054308,           0.0097427,            0.011619,             0.57451,             0.23732,             0.21967,            0.091205,            0.056956,            0.011379,            0.018074,            0.009835,            0.009835,            0.009835
                   7,            0.052191,           0.0096353,             0.01045,             0.50119,             0.28298,             0.22059,            0.088771,             0.05689,            0.010753,            0.022265,            0.009802,            0.009802,            0.009802
                   8,            0.051606,           0.0091729,             0.01037,             0.58369,              0.2877,             0.30832,             0.12349,            0.056516,            0.013012,            0.014878,            0.009769,            0.009769,            0.009769
                   9,            0.050583,           0.0092564,            0.010114,             0.61213,             0.33913,              0.3357,             0.13849,            0.052511,           0.0094254,            0.014425,            0.009736,            0.009736,            0.009736
                  10,            0.049415,           0.0089768,           0.0093561,             0.60202,             0.28471,             0.28766,             0.13557,            0.053893,            0.011574,            0.018393,            0.009703,            0.009703,            0.009703
                  11,            0.048786,           0.0089267,           0.0090276,             0.75433,             0.22295,             0.31397,             0.14069,            0.051478,           0.0087489,            0.019333,             0.00967,             0.00967,             0.00967
                  12,            0.047973,           0.0089567,           0.0087834,             0.65472,             0.26388,             0.31824,             0.14871,            0.055821,            0.010273,            0.015772,            0.009637,            0.009637,            0.009637
                  13,            0.047124,           0.0088066,           0.0089621,             0.64524,             0.30588,             0.30015,             0.10925,             0.05399,           0.0088077,            0.013717,            0.009604,            0.009604,            0.009604
                  14,            0.046149,           0.0087034,           0.0077309,             0.64527,             0.23572,             0.28858,             0.12122,            0.050214,           0.0096745,            0.016638,            0.009571,            0.009571,            0.009571
                  15,            0.046163,           0.0086157,           0.0080317,             0.70308,              0.3225,             0.34709,             0.15541,            0.050227,           0.0093882,             0.01348,            0.009538,            0.009538,            0.009538
                  16,            0.045558,           0.0085876,           0.0074469,             0.59085,              0.3112,             0.27721,             0.11977,            0.051393,            0.010821,            0.018561,            0.009505,            0.009505,            0.009505
                  17,            0.045279,           0.0083912,           0.0077028,             0.71591,             0.30727,             0.35311,             0.16446,             0.04897,            0.010274,            0.016633,            0.009472,            0.009472,            0.009472
                  18,            0.045126,           0.0087236,           0.0076242,             0.66189,             0.30034,             0.32808,             0.15618,            0.050678,           0.0092674,            0.016451,            0.009439,            0.009439,            0.009439
