               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090621,            0.019278,            0.029875,             0.80391,            0.059756,            0.049771,            0.015224,            0.067488,            0.012316,            0.022181,            0.070326,           0.0032971,           0.0032971
                   1,            0.064893,            0.014763,            0.015279,             0.74393,             0.15244,             0.23614,             0.10106,            0.063409,           0.0096046,            0.016538,            0.040304,           0.0066086,           0.0066086
                   2,            0.059288,            0.012117,            0.012704,             0.72044,             0.17032,             0.19205,            0.067293,            0.063162,           0.0099843,            0.017314,             0.01026,            0.009898,            0.009898
                   3,            0.056686,            0.011294,             0.01144,             0.43402,             0.24335,             0.18374,            0.064865,             0.06378,             0.01359,             0.01771,            0.009901,            0.009901,            0.009901
                   4,            0.053289,            0.011374,            0.011089,             0.62768,             0.29322,             0.29755,             0.11854,            0.056337,            0.010403,            0.016439,            0.009901,            0.009901,            0.009901
                   5,            0.051699,            0.010855,            0.010307,             0.69133,             0.29781,             0.33522,             0.13938,            0.051509,            0.010055,            0.014769,            0.009868,            0.009868,            0.009868
                   6,            0.049381,            0.010593,           0.0089723,             0.62102,             0.35029,              0.3484,             0.15069,             0.05089,            0.009043,            0.017025,            0.009835,            0.009835,            0.009835
                   7,            0.048171,            0.010254,           0.0085561,             0.57814,              0.2557,             0.25972,             0.10946,            0.052431,            0.010724,            0.017054,            0.009802,            0.009802,            0.009802
                   8,            0.046806,            0.010349,           0.0081173,             0.63784,             0.34831,             0.35212,             0.15204,            0.049092,            0.008901,            0.015398,            0.009769,            0.009769,            0.009769
                   9,            0.045867,            0.010103,           0.0077264,               0.794,             0.30659,             0.38266,             0.17496,            0.050912,            0.009144,            0.015267,            0.009736,            0.009736,            0.009736
                  10,             0.04551,           0.0098737,           0.0071375,             0.65947,             0.32426,             0.31869,             0.14333,            0.050308,           0.0093619,            0.017243,            0.009703,            0.009703,            0.009703
                  11,            0.044769,           0.0097406,           0.0071587,             0.70395,             0.34788,             0.38481,             0.17507,            0.046828,           0.0086491,            0.019116,             0.00967,             0.00967,             0.00967
                  12,            0.044105,           0.0099501,           0.0066014,             0.70956,             0.35544,             0.40441,             0.19308,            0.048469,           0.0083766,            0.015214,            0.009637,            0.009637,            0.009637
                  13,            0.043938,           0.0096972,           0.0073181,              0.7953,             0.40605,             0.46859,             0.21722,            0.047327,            0.008499,            0.012557,            0.009604,            0.009604,            0.009604
                  14,            0.042974,           0.0094752,           0.0064521,             0.71488,             0.34675,             0.38275,             0.18659,            0.049989,           0.0094611,            0.013065,            0.009571,            0.009571,            0.009571
                  15,            0.042555,            0.009304,           0.0062686,             0.74075,             0.35012,             0.40207,             0.19508,            0.048986,            0.009201,            0.013076,            0.009538,            0.009538,            0.009538
                  16,            0.041882,           0.0092604,           0.0059489,             0.76494,             0.39713,             0.43535,             0.21168,            0.045061,           0.0085272,            0.013916,            0.009505,            0.009505,            0.009505
                  17,            0.041338,           0.0092431,           0.0059386,             0.77087,             0.40387,             0.45626,             0.24045,            0.045378,           0.0082069,            0.012328,            0.009472,            0.009472,            0.009472
                  18,            0.040783,           0.0092545,           0.0055164,              0.8107,             0.39541,             0.44018,             0.21219,            0.046528,           0.0085877,             0.01295,            0.009439,            0.009439,            0.009439
                  19,            0.040436,           0.0091551,           0.0049995,             0.77937,             0.35806,             0.43799,             0.21665,             0.04672,           0.0081379,            0.013049,            0.009406,            0.009406,            0.009406
                  20,            0.039848,           0.0090215,           0.0051534,             0.74872,             0.39716,             0.42285,             0.20681,            0.045423,           0.0081945,            0.014011,            0.009373,            0.009373,            0.009373
                  21,            0.039655,           0.0088145,           0.0047107,             0.74101,             0.39882,             0.43499,             0.22013,            0.045375,           0.0082834,            0.013944,             0.00934,             0.00934,             0.00934
                  22,            0.039123,           0.0088564,           0.0047782,             0.79005,             0.36161,             0.43623,             0.23319,            0.044862,           0.0082368,             0.01437,            0.009307,            0.009307,            0.009307
                  23,            0.038642,           0.0087434,           0.0045816,             0.77101,             0.38949,               0.433,             0.22285,            0.044734,           0.0082731,            0.012611,            0.009274,            0.009274,            0.009274
                  24,            0.038368,           0.0086643,           0.0044337,             0.76492,             0.39705,             0.43408,             0.20728,            0.044825,           0.0083419,            0.013903,            0.009241,            0.009241,            0.009241
                  25,            0.038306,           0.0086541,           0.0045357,             0.78213,              0.3682,             0.42121,             0.21036,            0.044888,           0.0086998,            0.014162,            0.009208,            0.009208,            0.009208
                  26,            0.038398,           0.0086814,           0.0044414,             0.81926,             0.38638,             0.46741,             0.24138,             0.04421,           0.0081826,            0.014608,            0.009175,            0.009175,            0.009175
                  27,            0.037644,           0.0085369,           0.0043576,             0.83091,             0.41013,             0.45692,             0.23756,            0.043592,           0.0082646,            0.012048,            0.009142,            0.009142,            0.009142
                  28,            0.037809,           0.0083712,           0.0041143,             0.78989,             0.40086,             0.45086,             0.23263,            0.044756,           0.0085774,            0.012247,            0.009109,            0.009109,            0.009109
                  29,            0.037449,           0.0085575,           0.0043182,             0.72171,              0.3898,             0.41276,             0.19204,            0.046402,            0.008465,            0.013109,            0.009076,            0.009076,            0.009076
                  30,            0.037266,           0.0084897,            0.003846,             0.80952,             0.37712,              0.4516,             0.24121,            0.043733,           0.0092254,            0.013481,            0.009043,            0.009043,            0.009043
                  31,            0.037052,           0.0083678,           0.0036452,             0.77045,             0.41741,             0.46417,             0.23447,            0.043841,           0.0082384,            0.012615,             0.00901,             0.00901,             0.00901
                  32,            0.036816,           0.0082307,            0.003686,             0.77699,             0.40491,             0.45046,              0.2543,            0.043681,             0.00821,            0.013906,            0.008977,            0.008977,            0.008977
                  33,            0.036763,           0.0082084,           0.0039408,             0.74732,              0.4073,              0.4535,             0.23697,            0.044881,           0.0081418,            0.013383,            0.008944,            0.008944,            0.008944
                  34,            0.035851,           0.0081209,           0.0032235,             0.82066,             0.37729,             0.43729,             0.23129,            0.045684,           0.0079942,            0.014232,            0.008911,            0.008911,            0.008911
                  35,            0.035732,           0.0080494,           0.0038927,             0.77857,             0.43021,              0.4749,             0.25345,            0.042165,           0.0081082,            0.011652,            0.008878,            0.008878,            0.008878
                  36,             0.03579,           0.0082173,           0.0035694,             0.76205,             0.44355,             0.46901,             0.25294,            0.045368,           0.0082661,            0.014264,            0.008845,            0.008845,            0.008845
                  37,            0.035337,           0.0081485,           0.0032968,             0.78873,             0.42673,             0.47627,             0.26339,            0.042343,           0.0081319,            0.013075,            0.008812,            0.008812,            0.008812
                  38,             0.03545,           0.0081722,           0.0031259,             0.76931,             0.42344,             0.46582,             0.22955,            0.044304,           0.0082928,            0.013466,            0.008779,            0.008779,            0.008779
                  39,            0.035385,           0.0079472,           0.0032094,             0.79536,             0.38785,             0.45198,             0.23621,            0.045073,           0.0083666,            0.013546,            0.008746,            0.008746,            0.008746
                  40,             0.03514,           0.0080621,           0.0033865,             0.79933,              0.4428,             0.47709,             0.24929,            0.043067,           0.0082795,            0.011877,            0.008713,            0.008713,            0.008713
                  41,            0.034857,           0.0079061,           0.0028987,             0.76655,             0.39267,             0.43701,              0.2234,            0.047501,           0.0085164,             0.01467,             0.00868,             0.00868,             0.00868
                  42,            0.034571,            0.007774,            0.003325,             0.83041,             0.41574,              0.4749,             0.24733,            0.043359,           0.0080393,            0.013547,            0.008647,            0.008647,            0.008647
                  43,            0.034523,           0.0078129,           0.0031416,             0.81823,             0.39712,             0.45969,             0.23702,            0.046437,           0.0084734,            0.012977,            0.008614,            0.008614,            0.008614
                  44,            0.034269,           0.0078121,           0.0029945,              0.7814,             0.44471,             0.48632,             0.25278,            0.044095,           0.0082534,            0.012235,            0.008581,            0.008581,            0.008581
                  45,            0.034143,           0.0078629,           0.0029134,             0.79124,             0.38954,              0.4694,             0.24772,            0.042815,           0.0082481,            0.014976,            0.008548,            0.008548,            0.008548
                  46,            0.033853,           0.0077117,           0.0026805,             0.81633,             0.43108,             0.47886,             0.26077,            0.042296,           0.0084816,            0.012165,            0.008515,            0.008515,            0.008515
                  47,            0.033571,           0.0075606,           0.0026796,             0.76697,              0.4328,              0.4611,             0.25096,            0.045894,           0.0081488,            0.014195,            0.008482,            0.008482,            0.008482
                  48,            0.033148,            0.007505,           0.0029283,             0.81841,             0.41279,             0.46915,             0.24561,            0.043934,           0.0084818,            0.011204,            0.008449,            0.008449,            0.008449
                  49,            0.033389,           0.0074327,           0.0024451,             0.77217,             0.43683,             0.46773,             0.24611,            0.045822,           0.0081249,            0.012203,            0.008416,            0.008416,            0.008416
                  50,            0.032975,           0.0075261,            0.002288,             0.78357,             0.41699,             0.46065,              0.2368,             0.04689,           0.0083893,            0.013552,            0.008383,            0.008383,            0.008383
                  51,            0.032728,           0.0072659,            0.002274,             0.77729,             0.46215,             0.50191,             0.27353,            0.042707,           0.0086801,            0.013372,             0.00835,             0.00835,             0.00835
                  52,            0.032963,           0.0075938,           0.0023651,             0.79763,             0.45993,             0.50064,             0.26775,            0.042054,           0.0083501,            0.012072,            0.008317,            0.008317,            0.008317
                  53,            0.032731,           0.0072899,           0.0024282,              0.8225,             0.41543,             0.47775,             0.26035,            0.043012,            0.008328,            0.012789,            0.008284,            0.008284,            0.008284
                  54,            0.032659,           0.0075022,           0.0026825,             0.79352,             0.42803,             0.47558,             0.26722,            0.042151,           0.0083685,            0.012192,            0.008251,            0.008251,            0.008251
                  55,            0.032731,           0.0074484,           0.0023843,             0.73202,             0.45331,              0.4723,             0.26313,             0.04306,           0.0081563,            0.013745,            0.008218,            0.008218,            0.008218
                  56,            0.032427,           0.0074169,           0.0024795,             0.86488,             0.42296,              0.5163,             0.26744,            0.044329,           0.0083872,            0.013484,            0.008185,            0.008185,            0.008185
                  57,            0.032109,           0.0075286,           0.0022679,             0.81536,             0.43557,             0.49278,             0.26579,            0.042629,           0.0080948,            0.012961,            0.008152,            0.008152,            0.008152
                  58,            0.032794,           0.0075854,            0.002259,             0.77874,             0.43017,             0.48978,             0.26615,            0.042699,           0.0081064,            0.011898,            0.008119,            0.008119,            0.008119
                  59,            0.032295,           0.0074583,           0.0022678,             0.81091,             0.43135,             0.48362,              0.2499,            0.044545,           0.0082038,            0.011636,            0.008086,            0.008086,            0.008086
                  60,             0.03234,           0.0074965,           0.0024934,             0.80433,             0.46492,             0.50285,             0.26781,            0.043742,           0.0081491,            0.012302,            0.008053,            0.008053,            0.008053
                  61,            0.031641,           0.0074457,           0.0020627,             0.84122,              0.4255,             0.50328,             0.27417,            0.043523,           0.0087382,            0.012402,             0.00802,             0.00802,             0.00802
                  62,            0.031836,           0.0072421,            0.002264,             0.56779,             0.44739,             0.50463,             0.27222,             0.04409,           0.0082158,            0.011198,            0.007987,            0.007987,            0.007987
                  63,            0.031571,           0.0073061,           0.0021142,             0.82822,             0.43677,             0.49733,             0.27622,            0.044027,           0.0079994,            0.011565,            0.007954,            0.007954,            0.007954
                  64,            0.031379,           0.0070143,           0.0019676,             0.84582,              0.4075,             0.49812,             0.26592,            0.042278,           0.0084499,            0.011819,            0.007921,            0.007921,            0.007921
                  65,            0.031109,           0.0072379,           0.0022525,             0.81865,             0.45453,             0.51556,             0.27409,            0.041775,           0.0082534,            0.012519,            0.007888,            0.007888,            0.007888
                  66,             0.03088,           0.0071157,           0.0018625,             0.80064,              0.4403,             0.51168,             0.28009,            0.042252,           0.0086193,            0.013036,            0.007855,            0.007855,            0.007855
                  67,            0.031094,           0.0071986,           0.0021653,             0.77427,             0.46171,             0.48064,             0.25677,            0.042882,           0.0082853,            0.012929,            0.007822,            0.007822,            0.007822
                  68,             0.03115,           0.0072983,           0.0020936,             0.80372,              0.4359,             0.47201,             0.25196,            0.044184,           0.0082844,            0.015084,            0.007789,            0.007789,            0.007789
                  69,            0.030994,           0.0071324,           0.0020959,             0.56788,             0.52138,             0.51637,             0.29441,            0.041903,           0.0087229,            0.011255,            0.007756,            0.007756,            0.007756
                  70,            0.030667,           0.0068416,           0.0016513,             0.83063,              0.3979,             0.46541,             0.25292,            0.043685,           0.0087042,            0.014095,            0.007723,            0.007723,            0.007723
                  71,            0.030152,            0.006811,            0.001794,             0.79891,             0.44089,             0.46043,              0.2575,            0.043617,           0.0089594,            0.013902,             0.00769,             0.00769,             0.00769
                  72,            0.030411,           0.0068465,           0.0019966,             0.84705,             0.43038,             0.47173,             0.25244,            0.043142,            0.008298,             0.01218,            0.007657,            0.007657,            0.007657
