epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.095273,0.0261,0.031912,0.79749,0.045122,0.028367,0.0075875,0.076551,0.01343,0.024038,0.070508,0.0032768,0.0032768
1.0,0.068997,0.020548,0.016927,0.72653,0.16272,0.1871,0.063223,0.060031,0.010295,0.01752,0.040487,0.0065884,0.0065884
2.0,0.061833,0.016953,0.012671,0.66651,0.18214,0.16888,0.06536,0.06668,0.0093915,0.019405,0.010443,0.0098779,0.0098779
3.0,0.055574,0.016085,0.011407,0.72718,0.18932,0.28254,0.11969,0.058381,0.015943,0.022975,0.009901,0.009901,0.009901
4.0,0.051917,0.015468,0.010342,0.56347,0.33755,0.32095,0.13184,0.053368,0.010532,0.014018,0.009901,0.009901,0.009901
5.0,0.050233,0.014869,0.0090704,0.64334,0.32515,0.32762,0.13903,0.052563,0.010871,0.015683,0.009868,0.009868,0.009868
6.0,0.04805,0.014737,0.0082923,0.57396,0.338,0.28238,0.11461,0.051024,0.0096524,0.01883,0.009835,0.009835,0.009835
7.0,0.046925,0.014539,0.0080787,0.74717,0.35177,0.38821,0.17954,0.049764,0.011897,0.015166,0.009802,0.009802,0.009802
8.0,0.045616,0.014211,0.0074754,0.70117,0.38336,0.42139,0.20264,0.046951,0.0091,0.012274,0.009769,0.009769,0.009769
9.0,0.044659,0.014355,0.0072124,0.70707,0.37192,0.41694,0.19137,0.048116,0.0086596,0.015626,0.009736,0.009736,0.009736
10.0,0.04431,0.013661,0.0068997,0.72951,0.35967,0.40388,0.18075,0.050703,0.0092448,0.015613,0.009703,0.009703,0.009703
11.0,0.043796,0.014,0.0068028,0.71623,0.352,0.37997,0.17174,0.048067,0.0086212,0.014656,0.00967,0.00967,0.00967
12.0,0.042389,0.013663,0.0063721,0.72998,0.34695,0.39025,0.16642,0.049197,0.0089906,0.015087,0.009637,0.009637,0.009637
13.0,0.042312,0.013378,0.0057283,0.70238,0.35498,0.37146,0.16963,0.049817,0.010024,0.016144,0.009604,0.009604,0.009604
