epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.093883,0.018332,0.033034,0.78933,0.035976,0.025346,0.0065455,0.084208,0.012006,0.021624,0.070476,0.0032804,0.0032804
1.0,0.067945,0.015288,0.01802,0.66418,0.15426,0.13774,0.045709,0.071068,0.0099332,0.016075,0.040411,0.0065483,0.0065483
2.0,0.061572,0.012647,0.015271,0.66615,0.17836,0.16987,0.064466,0.061255,0.011153,0.020361,0.010279,0.0097501,0.0097501
3.0,0.058023,0.011495,0.014132,0.47075,0.18236,0.14643,0.051572,0.063315,0.011134,0.021003,0.009703,0.009703,0.009703
4.0,0.055163,0.011675,0.013052,0.51872,0.18149,0.14819,0.046681,0.062432,0.012441,0.025365,0.009703,0.009703,0.009703
5.0,0.054494,0.01114,0.012655,0.59144,0.22948,0.24635,0.10371,0.056378,0.012446,0.021974,0.009604,0.009604,0.009604
6.0,0.051951,0.011158,0.011058,0.68191,0.28237,0.30925,0.12226,0.057248,0.010324,0.01717,0.009505,0.009505,0.009505
7.0,0.049914,0.010588,0.0098117,0.70595,0.31694,0.34517,0.15553,0.050456,0.0088193,0.017549,0.009406,0.009406,0.009406
8.0,0.048982,0.010399,0.009382,0.70182,0.28425,0.35768,0.16152,0.049302,0.0092732,0.015425,0.009307,0.009307,0.009307
9.0,0.047982,0.010127,0.0096975,0.6475,0.33492,0.35023,0.15281,0.050912,0.0089604,0.012994,0.009208,0.009208,0.009208
10.0,0.04691,0.010327,0.0092166,0.74969,0.35747,0.41155,0.18543,0.050182,0.0085743,0.012708,0.009109,0.009109,0.009109
11.0,0.046502,0.010233,0.0087632,0.73523,0.34682,0.3893,0.18491,0.051049,0.0093034,0.015159,0.00901,0.00901,0.00901
12.0,0.045932,0.010094,0.0083184,0.60901,0.17376,0.18342,0.077986,0.05719,0.01443,0.023789,0.008911,0.008911,0.008911
13.0,0.044859,0.0096291,0.0074279,0.70164,0.34708,0.40278,0.18081,0.049043,0.0087993,0.015401,0.008812,0.008812,0.008812
14.0,0.044115,0.0098533,0.007808,0.68436,0.35603,0.37199,0.16161,0.051135,0.0088955,0.014668,0.008713,0.008713,0.008713
15.0,0.043938,0.0098028,0.0070334,0.72368,0.31233,0.38068,0.18332,0.047431,0.0085942,0.014704,0.008614,0.008614,0.008614
16.0,0.043187,0.009626,0.0071742,0.79487,0.37132,0.42167,0.19054,0.047529,0.008602,0.013048,0.008515,0.008515,0.008515
17.0,0.042806,0.0096251,0.0068239,0.64786,0.39297,0.39057,0.17151,0.048231,0.0086608,0.015373,0.008416,0.008416,0.008416
18.0,0.042356,0.009369,0.0070199,0.78356,0.39449,0.44883,0.23218,0.046217,0.0086135,0.016049,0.008317,0.008317,0.008317
19.0,0.042171,0.0092516,0.0062134,0.76111,0.38011,0.42815,0.20981,0.047127,0.0088275,0.013754,0.008218,0.008218,0.008218
20.0,0.040872,0.0090605,0.0060749,0.74282,0.35808,0.38016,0.17939,0.04732,0.0088799,0.014302,0.008119,0.008119,0.008119
21.0,0.040512,0.0090725,0.0058722,0.7451,0.38696,0.43712,0.21068,0.046135,0.0083175,0.013723,0.00802,0.00802,0.00802
22.0,0.041208,0.0090237,0.0061121,0.72536,0.40467,0.45529,0.22,0.04588,0.0080454,0.01222,0.007921,0.007921,0.007921
23.0,0.040265,0.0088697,0.005413,0.72248,0.38967,0.41943,0.18651,0.049738,0.0085735,0.014483,0.007822,0.007822,0.007822
24.0,0.03953,0.0088949,0.0056725,0.73733,0.36329,0.40775,0.20977,0.046961,0.009281,0.012345,0.007723,0.007723,0.007723
25.0,0.039698,0.0086663,0.0054625,0.77931,0.37527,0.42139,0.1981,0.045436,0.0087453,0.012547,0.007624,0.007624,0.007624
26.0,0.03913,0.0088773,0.0053514,0.76337,0.40395,0.45593,0.22119,0.046243,0.0082525,0.01259,0.007525,0.007525,0.007525
27.0,0.03876,0.0086431,0.0044245,0.79389,0.39532,0.45111,0.23113,0.045223,0.0086021,0.014898,0.007426,0.007426,0.007426
28.0,0.038448,0.008618,0.0047508,0.76865,0.42711,0.46049,0.24437,0.043679,0.008251,0.012458,0.007327,0.007327,0.007327
29.0,0.038196,0.0083788,0.0047166,0.81547,0.39661,0.45966,0.23943,0.044585,0.0081372,0.013002,0.007228,0.007228,0.007228
30.0,0.038017,0.0084072,0.004563,0.74752,0.39286,0.44819,0.23658,0.046074,0.0081795,0.013458,0.007129,0.007129,0.007129
31.0,0.037105,0.0083551,0.0041414,0.75244,0.40921,0.43115,0.22569,0.044204,0.0085811,0.01404,0.00703,0.00703,0.00703
32.0,0.036819,0.0081913,0.0041738,0.74998,0.40143,0.4343,0.22016,0.046213,0.0085467,0.014403,0.006931,0.006931,0.006931
33.0,0.036838,0.0078265,0.0038554,0.84953,0.36851,0.43208,0.22047,0.042967,0.0084246,0.015305,0.006832,0.006832,0.006832
34.0,0.036549,0.0083357,0.0042005,0.73578,0.40799,0.43591,0.22895,0.044769,0.0086892,0.013875,0.006733,0.006733,0.006733
35.0,0.036986,0.0082413,0.0040726,0.73254,0.41257,0.4387,0.22077,0.045676,0.0079796,0.015801,0.006634,0.006634,0.006634
36.0,0.035933,0.0081578,0.0038284,0.76008,0.41015,0.44551,0.23575,0.044958,0.0083917,0.013402,0.006535,0.006535,0.006535
37.0,0.036041,0.0080024,0.0035898,0.75933,0.40738,0.44701,0.22537,0.045904,0.0086441,0.012757,0.006436,0.006436,0.006436
38.0,0.035872,0.0081339,0.0039705,0.78772,0.39516,0.45168,0.23536,0.044534,0.0085268,0.01344,0.006337,0.006337,0.006337
39.0,0.035387,0.0079565,0.0032005,0.80213,0.40901,0.46861,0.23423,0.044855,0.0082454,0.012814,0.006238,0.006238,0.006238
40.0,0.034771,0.007845,0.0030994,0.77397,0.35353,0.42426,0.23402,0.044149,0.0094178,0.015808,0.006139,0.006139,0.006139
41.0,0.03454,0.0075933,0.0033038,0.7683,0.42491,0.44426,0.22896,0.044079,0.0087669,0.013515,0.00604,0.00604,0.00604
42.0,0.033936,0.0076398,0.0031304,0.81245,0.41188,0.44956,0.23378,0.043987,0.008347,0.015527,0.005941,0.005941,0.005941
43.0,0.033922,0.0077815,0.0029416,0.7999,0.38366,0.45604,0.23819,0.043002,0.0080906,0.014836,0.005842,0.005842,0.005842
44.0,0.03373,0.0075478,0.0031292,0.78015,0.46077,0.47414,0.25928,0.043767,0.0082082,0.013773,0.005743,0.005743,0.005743
45.0,0.033344,0.007738,0.0029143,0.77762,0.41253,0.44213,0.23706,0.045074,0.0087448,0.014488,0.005644,0.005644,0.005644
46.0,0.0331,0.0075114,0.0027671,0.78466,0.41135,0.45472,0.23142,0.044715,0.0085231,0.016034,0.005545,0.005545,0.005545
