               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094539,            0.020507,            0.032017,           0.0053567,             0.52746,            0.020501,           0.0055196,            0.071626,            0.012483,            0.022289,            0.070429,           0.0032857,           0.0032857
                   1,             0.06684,            0.014659,            0.016975,             0.71183,             0.17078,             0.20051,            0.072613,            0.062865,             0.01013,            0.017349,            0.040363,           0.0065535,           0.0065535
                   2,            0.061015,            0.011996,            0.014607,             0.43399,             0.17001,             0.14353,             0.04382,            0.063115,            0.010161,            0.017576,            0.010232,           0.0097553,           0.0097553
                   3,             0.05764,            0.011158,            0.013669,             0.52755,             0.28858,             0.24101,             0.10294,            0.058632,            0.014622,            0.021738,            0.009703,            0.009703,            0.009703
                   4,            0.055265,            0.010674,            0.013083,             0.56295,              0.2926,             0.24061,            0.087794,            0.056086,            0.014629,            0.017436,            0.009703,            0.009703,            0.009703
                   5,             0.05468,             0.01052,            0.011771,             0.62141,             0.15198,             0.15179,            0.055398,             0.05898,             0.01158,             0.02404,            0.009604,            0.009604,            0.009604
                   6,            0.051961,            0.010536,            0.011434,             0.55622,             0.21163,             0.17639,            0.067849,            0.059829,            0.010738,            0.024029,            0.009505,            0.009505,            0.009505
                   7,             0.05129,            0.010201,            0.010797,             0.58698,             0.28585,             0.27644,             0.11969,            0.055608,            0.010082,            0.017118,            0.009406,            0.009406,            0.009406
                   8,            0.049997,            0.010255,           0.0098892,             0.66606,             0.30082,             0.30775,             0.13411,            0.053965,           0.0094858,            0.015666,            0.009307,            0.009307,            0.009307
                   9,            0.048694,            0.010015,           0.0091599,             0.66467,             0.35983,             0.36636,             0.16425,            0.049502,           0.0091348,            0.014909,            0.009208,            0.009208,            0.009208
                  10,            0.047581,           0.0099134,           0.0090265,             0.67065,             0.34051,             0.34966,             0.16275,             0.04949,           0.0086848,            0.012282,            0.009109,            0.009109,            0.009109
                  11,            0.046279,           0.0098604,           0.0086418,             0.72735,              0.3729,              0.3983,             0.17364,            0.049052,           0.0087149,            0.014839,             0.00901,             0.00901,             0.00901
                  12,            0.046012,           0.0091039,           0.0081325,             0.75208,             0.38486,              0.4379,             0.21583,            0.047439,           0.0084988,            0.012789,            0.008911,            0.008911,            0.008911
                  13,            0.045173,           0.0091614,           0.0079772,             0.69166,             0.35326,             0.38241,             0.16961,            0.049685,           0.0085712,            0.014666,            0.008812,            0.008812,            0.008812
                  14,            0.044898,           0.0092933,           0.0077771,             0.73113,             0.33947,             0.37122,             0.17403,            0.049534,            0.008251,            0.020637,            0.008713,            0.008713,            0.008713
                  15,            0.043642,           0.0091914,           0.0074967,             0.73366,             0.32505,             0.34433,             0.15276,            0.050046,           0.0096359,            0.020212,            0.008614,            0.008614,            0.008614
                  16,            0.042814,           0.0091762,            0.006634,             0.78078,             0.34788,              0.4129,             0.19421,            0.046096,           0.0084998,            0.013627,            0.008515,            0.008515,            0.008515
                  17,            0.043329,           0.0088921,           0.0065555,              0.6523,             0.37401,             0.40282,             0.19545,            0.051455,           0.0088844,            0.014318,            0.008416,            0.008416,            0.008416
                  18,            0.042923,           0.0091203,           0.0070921,             0.76374,             0.36968,             0.42946,             0.21865,            0.046783,           0.0082591,            0.013813,            0.008317,            0.008317,            0.008317
                  19,            0.041454,           0.0087879,           0.0061819,             0.78544,             0.38476,             0.44714,             0.22837,            0.045167,           0.0081157,            0.017587,            0.008218,            0.008218,            0.008218
                  20,            0.041383,           0.0086493,           0.0064651,              0.7773,             0.35929,             0.40149,             0.18434,            0.049417,            0.008492,            0.014781,            0.008119,            0.008119,            0.008119
                  21,            0.040887,           0.0086666,           0.0060184,             0.72027,             0.40502,             0.43429,             0.20948,            0.046567,           0.0086187,            0.014075,             0.00802,             0.00802,             0.00802
                  22,            0.040984,           0.0085679,           0.0057681,             0.82796,             0.33717,             0.42735,             0.22824,            0.046696,           0.0083524,            0.013646,            0.007921,            0.007921,            0.007921
                  23,            0.041008,           0.0084499,           0.0058174,             0.78853,             0.39672,             0.45539,             0.22248,            0.046261,           0.0079846,            0.014387,            0.007822,            0.007822,            0.007822
