               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11566,            0.026126,             0.04722,           0.0005804,             0.28029,           0.0045376,           0.0011112,             0.10212,            0.013349,            0.035233,              0.0865,              0.0015,              0.0015
                   1,            0.088383,            0.026823,            0.034683,            0.017221,            0.044162,            0.013145,           0.0033584,             0.08637,            0.012603,            0.026562,            0.072069,           0.0030693,           0.0030693
                   2,            0.075617,            0.026689,            0.028113,             0.77383,             0.02439,            0.022339,           0.0053897,            0.091458,             0.01453,            0.021424,            0.057607,           0.0046069,           0.0046069
                   3,            0.070865,            0.023232,            0.023399,             0.35785,             0.22661,             0.11173,             0.03137,            0.081882,            0.012128,            0.017341,            0.043113,           0.0061129,           0.0061129
                   4,            0.067901,            0.020851,            0.020191,             0.45699,             0.27701,             0.20468,            0.065219,            0.073024,            0.010105,             0.01551,            0.028587,           0.0075872,           0.0075872
                   5,            0.064781,             0.01908,            0.018569,             0.47999,             0.26028,             0.17818,            0.065631,             0.06932,           0.0095603,            0.014841,             0.01403,           0.0090297,           0.0090297
                   6,            0.062363,            0.017097,            0.015678,             0.55735,             0.26743,             0.19685,            0.077507,            0.065186,            0.010079,            0.015175,            0.009406,            0.009406,            0.009406
                   7,            0.058408,             0.01826,            0.013586,             0.71117,             0.28785,             0.29889,             0.12088,            0.060383,            0.010972,            0.015901,            0.009406,            0.009406,            0.009406
                   8,            0.054669,            0.016769,            0.012338,             0.57745,             0.30016,             0.24392,            0.098381,            0.058135,             0.01004,            0.013866,            0.009307,            0.009307,            0.009307
                   9,            0.052273,            0.015999,            0.012181,             0.65726,             0.29752,             0.29932,             0.11921,            0.058945,            0.010938,            0.013863,            0.009208,            0.009208,            0.009208
                  10,            0.052653,            0.016304,            0.010777,             0.70356,             0.31966,             0.35623,             0.15914,            0.057433,            0.020926,            0.017499,            0.009109,            0.009109,            0.009109
                  11,             0.05164,            0.016009,           0.0099095,             0.69002,             0.33601,             0.34836,             0.14899,            0.054089,           0.0094267,            0.015345,             0.00901,             0.00901,             0.00901
                  12,             0.04932,            0.016114,            0.010573,             0.66799,             0.33656,             0.33363,             0.15937,            0.053829,            0.014143,            0.021321,            0.008911,            0.008911,            0.008911
                  13,            0.048866,            0.015272,           0.0089549,             0.73791,             0.36321,             0.38121,             0.18382,            0.053262,           0.0098635,            0.016083,            0.008812,            0.008812,            0.008812
                  14,            0.048719,            0.016204,           0.0092181,             0.67131,             0.37732,             0.36185,             0.15778,            0.056542,           0.0097063,            0.016434,            0.008713,            0.008713,            0.008713
                  15,            0.047215,            0.015213,           0.0089715,             0.75685,              0.3338,             0.35608,             0.14824,            0.058586,            0.011571,            0.022471,            0.008614,            0.008614,            0.008614
                  16,            0.046775,            0.015154,            0.008225,             0.66014,             0.25225,             0.24384,            0.095973,            0.064607,            0.009771,            0.018491,            0.008515,            0.008515,            0.008515
                  17,            0.046282,            0.014661,           0.0074306,              0.7375,              0.3333,             0.37392,             0.17494,            0.052448,           0.0093843,            0.016056,            0.008416,            0.008416,            0.008416
                  18,            0.045571,            0.015209,           0.0076869,             0.80151,             0.32432,             0.39781,             0.19717,            0.051632,           0.0097884,            0.017161,            0.008317,            0.008317,            0.008317
                  19,            0.044897,            0.014694,           0.0070142,             0.71359,             0.38963,              0.4068,             0.18015,            0.051448,           0.0096233,             0.01304,            0.008218,            0.008218,            0.008218
                  20,            0.043665,             0.01413,           0.0075064,             0.76295,             0.37729,             0.40772,             0.18746,            0.053337,            0.009363,            0.015699,            0.008119,            0.008119,            0.008119
                  21,            0.043659,            0.014865,           0.0072553,             0.78243,             0.39062,             0.40143,             0.19193,            0.053565,           0.0088801,            0.017482,             0.00802,             0.00802,             0.00802
                  22,             0.04252,            0.014757,           0.0068344,             0.69577,             0.36637,             0.37254,              0.1754,            0.054009,           0.0099192,            0.014636,            0.007921,            0.007921,            0.007921
                  23,            0.042448,            0.013816,           0.0058546,             0.68717,             0.36989,             0.37419,             0.17785,            0.052507,           0.0090801,            0.015155,            0.007822,            0.007822,            0.007822
                  24,            0.042387,            0.014037,           0.0070588,             0.70894,             0.36723,             0.37366,              0.1769,             0.05252,           0.0093428,            0.019035,            0.007723,            0.007723,            0.007723
                  25,            0.041005,            0.013658,           0.0064615,             0.76769,             0.36084,             0.40702,             0.18546,            0.052227,           0.0091266,            0.013186,            0.007624,            0.007624,            0.007624
                  26,            0.040713,            0.013564,           0.0055704,             0.82931,             0.38176,             0.44962,             0.22348,            0.049142,           0.0086879,            0.013251,            0.007525,            0.007525,            0.007525
                  27,            0.040552,            0.013961,           0.0053842,             0.74985,              0.3794,             0.40088,             0.17967,            0.052819,           0.0094888,            0.014267,            0.007426,            0.007426,            0.007426
                  28,            0.040511,             0.01376,           0.0049577,             0.73801,             0.37973,             0.40501,             0.18084,            0.053602,           0.0088901,            0.013822,            0.007327,            0.007327,            0.007327
                  29,            0.039907,             0.01274,           0.0051294,             0.70801,             0.26857,             0.28201,             0.12133,            0.058899,            0.009788,            0.016947,            0.007228,            0.007228,            0.007228
                  30,            0.039168,            0.012998,           0.0053501,             0.72134,             0.37753,              0.3823,             0.17191,            0.055646,           0.0092993,            0.017182,            0.007129,            0.007129,            0.007129
                  31,            0.038013,            0.012676,           0.0061371,             0.75208,             0.39871,             0.41752,             0.20256,            0.049283,           0.0090905,            0.017463,             0.00703,             0.00703,             0.00703
                  32,            0.038761,            0.013405,           0.0059147,             0.79326,             0.33092,             0.37749,             0.17515,            0.055023,           0.0090787,            0.014661,            0.006931,            0.006931,            0.006931
                  33,            0.037762,            0.012823,           0.0051786,              0.8207,             0.35332,             0.40238,              0.2027,            0.056722,           0.0089167,            0.016683,            0.006832,            0.006832,            0.006832
                  34,            0.038083,            0.013018,           0.0053076,             0.82803,             0.34964,             0.42014,             0.20364,            0.050444,            0.010247,            0.016478,            0.006733,            0.006733,            0.006733
                  35,            0.037462,            0.012461,           0.0044776,             0.78626,             0.40514,             0.44367,             0.22595,            0.050189,           0.0095512,            0.015573,            0.006634,            0.006634,            0.006634
                  36,            0.036372,            0.012459,           0.0044224,              0.7578,             0.40857,             0.42766,             0.20639,            0.052077,           0.0089869,            0.016384,            0.006535,            0.006535,            0.006535
                  37,            0.036552,            0.012709,           0.0040132,             0.74954,              0.3895,             0.41785,             0.21214,             0.05158,            0.008918,            0.016193,            0.006436,            0.006436,            0.006436
                  38,            0.036337,            0.012218,           0.0034482,             0.72694,             0.40449,             0.41895,             0.19538,             0.05254,           0.0087006,            0.014909,            0.006337,            0.006337,            0.006337
                  39,            0.035909,            0.012056,           0.0037138,             0.71265,             0.39044,             0.40018,             0.18402,            0.054773,           0.0092856,            0.013928,            0.006238,            0.006238,            0.006238
                  40,            0.034594,            0.011914,           0.0034526,             0.75279,             0.36891,             0.40911,             0.19008,            0.051578,           0.0095344,             0.01466,            0.006139,            0.006139,            0.006139
                  41,            0.034791,            0.012543,           0.0032336,             0.81766,              0.3949,             0.45005,             0.22485,            0.049665,           0.0095941,             0.01541,             0.00604,             0.00604,             0.00604
                  42,            0.034421,            0.011771,           0.0033296,             0.79241,              0.4008,             0.44213,             0.21336,            0.048475,           0.0091451,            0.014816,            0.005941,            0.005941,            0.005941
                  43,            0.034221,            0.011726,           0.0032333,             0.76484,             0.40049,             0.44827,             0.22502,            0.047295,           0.0089607,            0.015177,            0.005842,            0.005842,            0.005842
                  44,            0.033891,            0.011514,           0.0035876,             0.74185,             0.40249,             0.43422,              0.2173,             0.04987,           0.0099714,            0.015144,            0.005743,            0.005743,            0.005743
                  45,            0.033635,            0.011672,           0.0033357,             0.75346,              0.4094,             0.44403,             0.21705,             0.05033,           0.0099029,             0.01561,            0.005644,            0.005644,            0.005644
                  46,            0.033139,            0.011222,           0.0029359,             0.78278,             0.40542,             0.44103,             0.21831,            0.052994,           0.0090299,            0.015597,            0.005545,            0.005545,            0.005545
                  47,            0.032667,            0.011042,           0.0031457,             0.74792,             0.42555,             0.43341,             0.21306,            0.049246,           0.0091441,            0.015198,            0.005446,            0.005446,            0.005446
                  48,            0.032645,            0.011611,           0.0035632,             0.72716,             0.43178,             0.44915,             0.23025,            0.049508,           0.0090628,            0.014364,            0.005347,            0.005347,            0.005347
                  49,            0.032247,            0.010684,           0.0027962,             0.75872,             0.40907,             0.44711,             0.22969,            0.050218,           0.0089871,            0.015759,            0.005248,            0.005248,            0.005248
                  50,            0.030856,            0.010955,           0.0023617,             0.75377,             0.41288,             0.44279,             0.23601,            0.048129,           0.0088478,            0.015513,            0.005149,            0.005149,            0.005149
                  51,            0.031638,            0.011007,           0.0030965,             0.82634,              0.3722,             0.44964,             0.23478,            0.049068,           0.0090539,            0.015258,             0.00505,             0.00505,             0.00505
                  52,            0.031205,            0.010985,           0.0025648,             0.77179,              0.4237,             0.46681,             0.23694,            0.050631,           0.0088259,            0.013651,            0.004951,            0.004951,            0.004951
                  53,            0.030616,            0.010554,           0.0022355,             0.77855,             0.39553,             0.45444,             0.24624,            0.050823,           0.0092466,            0.013994,            0.004852,            0.004852,            0.004852
                  54,            0.030698,             0.01051,           0.0028824,             0.77882,              0.4329,             0.46555,             0.24187,            0.050248,           0.0093468,            0.014168,            0.004753,            0.004753,            0.004753
                  55,            0.030081,             0.01044,           0.0026576,             0.79227,             0.39821,             0.43982,             0.23235,             0.05049,           0.0096837,            0.016522,            0.004654,            0.004654,            0.004654
                  56,            0.030505,             0.01062,            0.002802,             0.74698,             0.40615,             0.43659,             0.20645,            0.051843,            0.010157,            0.014215,            0.004555,            0.004555,            0.004555
                  57,            0.030275,            0.010448,           0.0023683,              0.7997,             0.37741,             0.44205,             0.20754,            0.050541,           0.0098581,            0.014042,            0.004456,            0.004456,            0.004456
                  58,            0.029268,            0.010125,           0.0021287,             0.77306,             0.40018,             0.44952,             0.22468,            0.050156,           0.0095256,             0.01454,            0.004357,            0.004357,            0.004357
                  59,            0.029358,            0.010096,           0.0024468,             0.79034,             0.42233,             0.47056,             0.24746,            0.048656,           0.0093404,            0.013911,            0.004258,            0.004258,            0.004258
                  60,            0.029106,            0.010369,            0.002046,             0.78454,             0.43469,             0.47676,             0.23831,            0.050787,           0.0097055,            0.014198,            0.004159,            0.004159,            0.004159
                  61,            0.028876,            0.010185,           0.0022722,             0.79401,             0.41518,             0.47248,              0.2412,            0.048508,           0.0095938,            0.014235,             0.00406,             0.00406,             0.00406
                  62,            0.027878,           0.0098049,           0.0022975,             0.80466,             0.40882,             0.45706,             0.23236,            0.048988,            0.010126,            0.013886,            0.003961,            0.003961,            0.003961
                  63,            0.028195,           0.0095672,           0.0020363,             0.81845,             0.40896,             0.45717,             0.22957,            0.048239,           0.0098253,             0.01579,            0.003862,            0.003862,            0.003862
                  64,            0.027207,            0.010027,           0.0020366,             0.80729,              0.4216,             0.45737,             0.23638,            0.049846,            0.010038,            0.013811,            0.003763,            0.003763,            0.003763
                  65,            0.028086,           0.0098734,            0.001924,             0.82359,             0.38489,             0.44581,              0.2239,             0.05145,            0.010129,            0.014391,            0.003664,            0.003664,            0.003664
                  66,            0.027208,           0.0098628,           0.0019249,             0.80847,             0.38245,             0.45113,             0.22896,             0.05202,            0.010181,            0.014057,            0.003565,            0.003565,            0.003565
                  67,            0.026716,           0.0095011,            0.001952,             0.78762,             0.39817,             0.44577,             0.21944,            0.049864,            0.010528,            0.013734,            0.003466,            0.003466,            0.003466
                  68,            0.026685,             0.00974,           0.0020661,             0.76287,              0.4239,             0.45846,             0.23542,            0.049781,           0.0098402,            0.014691,            0.003367,            0.003367,            0.003367
                  69,            0.026859,           0.0092481,           0.0019466,             0.76907,             0.43382,              0.4609,             0.22947,            0.050832,           0.0096303,            0.014314,            0.003268,            0.003268,            0.003268
                  70,            0.026063,            0.009294,            0.001689,             0.49222,             0.49368,             0.48364,             0.26159,            0.049096,           0.0096427,            0.015061,            0.003169,            0.003169,            0.003169
                  71,            0.025826,           0.0094704,           0.0018983,             0.63836,             0.47661,             0.48622,             0.25283,            0.051139,           0.0096004,            0.015276,             0.00307,             0.00307,             0.00307
                  72,            0.026377,           0.0093574,            0.001534,             0.78795,             0.40146,             0.45172,             0.23037,            0.051541,             0.01022,            0.015443,            0.002971,            0.002971,            0.002971
                  73,            0.025134,            0.009294,           0.0014894,             0.79943,             0.39406,             0.47507,             0.25312,            0.049338,            0.010093,            0.016101,            0.002872,            0.002872,            0.002872
                  74,            0.025316,           0.0093299,           0.0016004,             0.53905,             0.51242,             0.50966,             0.27189,            0.049532,            0.010077,            0.016866,            0.002773,            0.002773,            0.002773
                  75,            0.024923,           0.0093428,           0.0016226,             0.82891,             0.40286,             0.49643,             0.25963,            0.047903,           0.0095262,            0.015239,            0.002674,            0.002674,            0.002674
                  76,            0.024753,           0.0089827,           0.0014035,             0.55141,             0.51793,             0.49675,              0.2632,            0.048676,           0.0099561,            0.014987,            0.002575,            0.002575,            0.002575
                  77,             0.02456,           0.0092446,           0.0016522,             0.58426,             0.48398,             0.49569,             0.26071,            0.048481,            0.010324,            0.014174,            0.002476,            0.002476,            0.002476
                  78,            0.023871,           0.0089131,           0.0012916,             0.56423,             0.48154,             0.49613,             0.25577,            0.048901,           0.0098887,            0.014214,            0.002377,            0.002377,            0.002377
                  79,            0.024186,           0.0090081,            0.001955,              0.6069,             0.46205,             0.49411,             0.25497,            0.049746,           0.0099083,            0.014552,            0.002278,            0.002278,            0.002278
                  80,            0.024376,           0.0092479,           0.0014736,             0.60306,             0.50213,             0.49549,             0.25999,            0.051049,            0.010357,            0.014357,            0.002179,            0.002179,            0.002179
                  81,            0.023427,           0.0090809,           0.0012825,             0.64017,             0.50107,             0.50752,             0.27099,            0.049763,            0.010479,            0.014801,             0.00208,             0.00208,             0.00208
                  82,            0.023184,           0.0086834,           0.0013843,              0.5757,             0.49088,             0.50239,             0.26727,            0.049554,            0.010227,            0.014595,            0.001981,            0.001981,            0.001981
                  83,            0.023084,           0.0087008,           0.0012965,             0.63503,             0.47879,             0.49748,             0.26736,            0.050201,            0.010471,            0.014096,            0.001882,            0.001882,            0.001882
                  84,            0.022711,           0.0084177,           0.0011845,             0.60766,              0.4434,             0.48357,             0.25672,            0.051024,            0.010444,            0.014318,            0.001783,            0.001783,            0.001783
                  85,            0.022496,           0.0087932,           0.0013079,             0.64867,              0.4359,             0.50276,             0.26626,             0.04969,            0.010692,            0.014909,            0.001684,            0.001684,            0.001684
                  86,            0.022247,           0.0082073,           0.0012627,             0.61566,             0.49462,              0.5156,             0.27325,            0.049486,            0.010495,            0.014935,            0.001585,            0.001585,            0.001585
                  87,            0.022362,           0.0084316,           0.0013961,             0.63319,             0.45172,             0.50962,             0.27212,            0.047769,            0.010649,            0.014568,            0.001486,            0.001486,            0.001486
                  88,            0.022109,           0.0084246,           0.0010564,             0.61834,             0.47603,             0.50609,             0.27558,            0.047796,            0.010085,            0.014783,            0.001387,            0.001387,            0.001387
                  89,            0.021927,           0.0087312,           0.0011996,             0.62343,             0.50708,             0.52895,             0.29347,            0.048143,            0.010298,            0.015172,            0.001288,            0.001288,            0.001288
                  90,            0.021318,           0.0081933,          0.00091658,             0.61527,             0.51755,             0.50964,             0.27598,            0.048897,            0.010227,            0.015241,            0.001189,            0.001189,            0.001189
                  91,            0.021723,           0.0084595,           0.0011344,             0.65242,             0.50813,              0.5132,             0.27702,             0.05046,            0.010463,            0.015198,             0.00109,             0.00109,             0.00109
