epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.10289,0.02506,0.037654,0.27061,0.040244,0.0093107,0.0020623,0.089312,0.013831,0.027933,0.0739,0.0029,0.0029
1.0,0.076363,0.024195,0.022686,0.80916,0.048206,0.058931,0.01645,0.08334,0.015797,0.020904,0.046842,0.0058416,0.0058416
2.0,0.069856,0.020016,0.017027,0.62981,0.15445,0.11094,0.035958,0.06931,0.011772,0.015311,0.019724,0.0087238,0.0087238
3.0,0.062894,0.01764,0.014713,0.45576,0.40456,0.26162,0.084112,0.065802,0.016132,0.014411,0.009703,0.009703,0.009703
4.0,0.056293,0.017041,0.012864,0.47758,0.35639,0.22553,0.087466,0.057792,0.011776,0.01658,0.009703,0.009703,0.009703
5.0,0.0535,0.016332,0.011174,0.65486,0.31913,0.31922,0.14317,0.051158,0.014142,0.014381,0.009604,0.009604,0.009604
6.0,0.051525,0.016222,0.010426,0.55325,0.31351,0.26157,0.10343,0.057215,0.01448,0.01677,0.009505,0.009505,0.009505
7.0,0.049827,0.01582,0.010239,0.71628,0.33803,0.36773,0.17598,0.051111,0.010984,0.015317,0.009406,0.009406,0.009406
8.0,0.049112,0.015904,0.0096813,0.74575,0.33105,0.37782,0.16242,0.054843,0.0088978,0.012781,0.009307,0.009307,0.009307
9.0,0.048038,0.015858,0.0087848,0.67393,0.32279,0.35281,0.14952,0.051872,0.0087596,0.016934,0.009208,0.009208,0.009208
10.0,0.046743,0.015831,0.0090692,0.67024,0.29492,0.32177,0.13431,0.053231,0.011679,0.015722,0.009109,0.009109,0.009109
11.0,0.046677,0.015608,0.0079424,0.76827,0.36594,0.41106,0.19881,0.048908,0.0088018,0.014273,0.00901,0.00901,0.00901
12.0,0.046044,0.014991,0.0076074,0.6991,0.34476,0.36015,0.16044,0.0498,0.0089516,0.014126,0.008911,0.008911,0.008911
13.0,0.044852,0.015318,0.0076773,0.78859,0.31073,0.37642,0.15753,0.050615,0.008888,0.014055,0.008812,0.008812,0.008812
14.0,0.044473,0.015024,0.0073611,0.60863,0.31485,0.3122,0.1545,0.050254,0.0093497,0.017686,0.008713,0.008713,0.008713
15.0,0.04291,0.014708,0.0070035,0.72183,0.35776,0.4083,0.20265,0.04596,0.0083613,0.015597,0.008614,0.008614,0.008614
16.0,0.042577,0.014251,0.0063097,0.69038,0.35848,0.35913,0.14445,0.05094,0.0096946,0.016714,0.008515,0.008515,0.008515
17.0,0.042578,0.014015,0.0055382,0.72282,0.38609,0.41549,0.19024,0.047737,0.0092188,0.013685,0.008416,0.008416,0.008416
18.0,0.041872,0.014176,0.0060392,0.79854,0.37876,0.43548,0.22648,0.044913,0.0081412,0.012671,0.008317,0.008317,0.008317
19.0,0.040845,0.014103,0.0059358,0.7484,0.34901,0.40253,0.20018,0.047637,0.0088164,0.011621,0.008218,0.008218,0.008218
20.0,0.04113,0.013798,0.0055867,0.7413,0.38089,0.41549,0.19711,0.046165,0.0098145,0.013197,0.008119,0.008119,0.008119
21.0,0.040207,0.013835,0.0053877,0.78456,0.40914,0.46011,0.23336,0.045908,0.0084627,0.012517,0.00802,0.00802,0.00802
22.0,0.039808,0.013554,0.0050672,0.78158,0.41159,0.46505,0.22669,0.046503,0.008151,0.011733,0.007921,0.007921,0.007921
23.0,0.039055,0.013308,0.00487,0.80409,0.37231,0.46376,0.22914,0.047014,0.0091316,0.012363,0.007822,0.007822,0.007822
24.0,0.039319,0.013562,0.0048041,0.75452,0.36291,0.42982,0.21572,0.04521,0.0088569,0.013837,0.007723,0.007723,0.007723
25.0,0.038612,0.013253,0.0045721,0.73363,0.38642,0.42633,0.2185,0.045332,0.008589,0.016574,0.007624,0.007624,0.007624
26.0,0.037901,0.012972,0.0034994,0.77434,0.42118,0.47515,0.2297,0.046178,0.0086347,0.010412,0.007525,0.007525,0.007525
27.0,0.03789,0.012588,0.0044584,0.80936,0.41676,0.45968,0.22555,0.04589,0.0080499,0.012724,0.007426,0.007426,0.007426
28.0,0.037227,0.012777,0.0040692,0.80825,0.3457,0.37708,0.18215,0.046715,0.0087176,0.017077,0.007327,0.007327,0.007327
29.0,0.037244,0.012868,0.0041058,0.80501,0.39474,0.43516,0.22253,0.0447,0.0085939,0.013588,0.007228,0.007228,0.007228
30.0,0.036901,0.013015,0.0042294,0.75507,0.40826,0.44192,0.24042,0.042435,0.0082646,0.014364,0.007129,0.007129,0.007129
31.0,0.036233,0.012731,0.0038336,0.72376,0.43148,0.4708,0.24968,0.042664,0.0081571,0.012779,0.00703,0.00703,0.00703
