               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12352,            0.027076,            0.053099,          0.00011373,            0.011364,          0.00033882,          3.3882e-05,             0.12185,            0.023289,            0.050183,              0.0982,              0.0002,              0.0002
                   1,             0.12108,            0.026596,            0.050021,          0.00084199,             0.10227,          0.00054891,          0.00011804,             0.11559,            0.023033,            0.044482,            0.095495,          0.00049505,          0.00049505
                   2,             0.11439,            0.025455,            0.043424,           0.0020438,             0.31818,           0.0043495,          0.00071299,             0.10903,             0.02277,            0.035632,            0.092784,          0.00078416,          0.00078416
                   3,              0.1081,            0.025705,             0.03399,           0.0029502,             0.54545,            0.024465,           0.0043567,             0.10141,            0.022781,            0.025928,            0.090067,           0.0010673,           0.0010673
                   4,              0.1025,            0.024862,            0.025191,            0.040226,             0.35227,            0.044777,           0.0095128,            0.093843,             0.02298,            0.017134,            0.087345,           0.0013446,           0.0013446
                   5,            0.095837,            0.025579,            0.017615,            0.011991,             0.22727,            0.011358,           0.0021881,            0.092036,            0.022594,            0.010677,            0.084616,           0.0016158,           0.0016158
                   6,            0.090488,             0.02392,            0.013227,            0.071436,             0.36364,            0.069981,            0.017062,             0.08518,            0.023335,           0.0079147,            0.081881,           0.0018812,           0.0018812
                   7,            0.087839,            0.025265,           0.0099266,            0.022074,             0.19318,            0.016354,           0.0029799,            0.086384,            0.022888,           0.0053047,            0.079141,           0.0021406,           0.0021406
                   8,            0.085196,            0.026429,           0.0078252,            0.023481,             0.20455,            0.024201,           0.0045632,            0.084066,            0.022968,           0.0044048,            0.076394,           0.0023941,           0.0023941
                   9,            0.080614,            0.026204,           0.0062582,            0.035464,             0.20455,            0.026301,           0.0050982,            0.086588,            0.021751,           0.0032658,            0.073642,           0.0026416,           0.0026416
                  10,            0.080052,            0.025925,           0.0052364,            0.037061,             0.20455,            0.032265,            0.005711,            0.087052,            0.021233,           0.0026089,            0.070883,           0.0028832,           0.0028832
                  11,            0.076069,            0.025298,           0.0046371,            0.087728,             0.40909,            0.078112,            0.018095,            0.076369,            0.022785,            0.002253,            0.068119,           0.0031189,           0.0031189
                  12,             0.07245,            0.024422,           0.0040791,             0.18941,             0.26136,             0.11721,            0.025646,            0.086413,            0.021179,           0.0019569,            0.065349,           0.0033486,           0.0033486
                  13,            0.075374,            0.024478,            0.003601,             0.37879,             0.47727,             0.33058,             0.07963,            0.080335,            0.021553,           0.0018955,            0.062572,           0.0035723,           0.0035723
                  14,            0.070154,            0.023901,           0.0033859,             0.29417,             0.20455,             0.12141,            0.018085,             0.08024,            0.021111,           0.0017639,             0.05979,           0.0037902,           0.0037902
                  15,            0.072566,            0.022854,           0.0033564,             0.16254,             0.17045,             0.11569,            0.018028,            0.086723,            0.019035,           0.0017651,            0.057002,           0.0040021,           0.0040021
