epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.11667,0.02565,0.046165,0.0024577,0.21951,0.0015873,0.00040349,0.10809,0.024227,0.039905,0.0946,0.0006,0.0006
1.0,0.10463,0.025566,0.031866,0.0034967,0.62195,0.026503,0.0042387,0.096211,0.022583,0.020935,0.088287,0.0012871,0.0012871
2.0,0.089841,0.024067,0.016032,0.15553,0.40244,0.13206,0.031041,0.080593,0.023159,0.0076149,0.08196,0.0019604,0.0019604
3.0,0.085789,0.025563,0.0084385,0.28544,0.43902,0.23477,0.062504,0.075619,0.021938,0.0036575,0.07562,0.0026198,0.0026198
4.0,0.078469,0.025753,0.005147,0.042092,0.43902,0.038494,0.0096733,0.090325,0.018682,0.0022312,0.069265,0.0032654,0.0032654
5.0,0.073792,0.024231,0.0040759,0.2209,0.40244,0.18999,0.042507,0.083452,0.018467,0.0017925,0.062897,0.003897,0.003897
6.0,0.074561,0.020795,0.0033335,0.37487,0.34146,0.30896,0.0874,0.069578,0.019585,0.0019882,0.056515,0.0045149,0.0045149
7.0,0.072372,0.021133,0.0030727,0.43901,0.42683,0.32572,0.099116,0.083167,0.016108,0.0019955,0.050119,0.0051188,0.0051188
8.0,0.070307,0.01986,0.0032834,0.39258,0.39024,0.3308,0.093538,0.072101,0.016346,0.0020245,0.043709,0.005709,0.005709
9.0,0.069332,0.019014,0.0030682,0.55755,0.37805,0.43701,0.16211,0.065505,0.015999,0.0020359,0.037285,0.0062852,0.0062852
10.0,0.067248,0.019183,0.0032367,0.45247,0.46341,0.40059,0.11739,0.061711,0.015778,0.002121,0.030848,0.0068476,0.0068476
11.0,0.065341,0.018008,0.0032687,0.58044,0.5122,0.55336,0.17393,0.066551,0.013809,0.0019753,0.024396,0.0073961,0.0073961
12.0,0.063393,0.016835,0.0030377,0.51571,0.56098,0.56364,0.23354,0.05725,0.013748,0.0020992,0.017931,0.0079308,0.0079308
13.0,0.063422,0.01641,0.0030488,0.49497,0.45122,0.47032,0.20726,0.069617,0.012058,0.002047,0.011452,0.0084516,0.0084516
14.0,0.059051,0.014684,0.0029985,0.62433,0.64634,0.62761,0.26843,0.05722,0.012318,0.0019321,0.008614,0.008614,0.008614
15.0,0.058035,0.014191,0.0028618,0.72333,0.67073,0.69921,0.31563,0.050413,0.012768,0.0016699,0.008614,0.008614,0.008614
16.0,0.053528,0.012574,0.0027797,0.6521,0.66292,0.65273,0.27725,0.054666,0.012022,0.0015568,0.008515,0.008515,0.008515
17.0,0.052523,0.013363,0.0025185,0.74571,0.70732,0.69524,0.25808,0.051501,0.013802,0.0013123,0.008416,0.008416,0.008416
18.0,0.051772,0.012459,0.002195,0.59231,0.73171,0.62249,0.24206,0.050757,0.014992,0.0011921,0.008317,0.008317,0.008317
19.0,0.050482,0.012578,0.0022808,0.71504,0.71951,0.7012,0.29703,0.049124,0.013142,0.0013718,0.008218,0.008218,0.008218
20.0,0.04539,0.01229,0.0022285,0.80636,0.76179,0.78957,0.3876,0.04536,0.013344,0.0013786,0.008119,0.008119,0.008119
21.0,0.044463,0.011649,0.0020516,0.83706,0.81707,0.81858,0.38647,0.043933,0.012299,0.0013138,0.00802,0.00802,0.00802
22.0,0.045318,0.01085,0.0018642,0.78102,0.73947,0.74782,0.35503,0.043987,0.013006,0.0013184,0.007921,0.007921,0.007921
23.0,0.042243,0.010612,0.0017194,0.82119,0.7561,0.81676,0.35947,0.042697,0.012434,0.0012747,0.007822,0.007822,0.007822
24.0,0.041459,0.010813,0.0016972,0.64409,0.70622,0.70754,0.30951,0.046924,0.012074,0.0012604,0.007723,0.007723,0.007723
25.0,0.042909,0.010386,0.0017141,0.74983,0.7676,0.80917,0.36592,0.043264,0.012259,0.0013096,0.007624,0.007624,0.007624
26.0,0.041837,0.01085,0.001664,0.89245,0.73171,0.82384,0.39066,0.042879,0.011547,0.0012501,0.007525,0.007525,0.007525
27.0,0.041217,0.010118,0.0015974,0.68195,0.79268,0.74814,0.3579,0.0439,0.012766,0.0013302,0.007426,0.007426,0.007426
28.0,0.04065,0.010172,0.001532,0.82294,0.79268,0.81048,0.38214,0.043542,0.011806,0.0012404,0.007327,0.007327,0.007327
29.0,0.037761,0.010009,0.0014276,0.80709,0.76536,0.7828,0.40154,0.040927,0.012259,0.0012639,0.007228,0.007228,0.007228
30.0,0.038733,0.010089,0.0014215,0.85482,0.78049,0.83238,0.43867,0.038566,0.011967,0.001259,0.007129,0.007129,0.007129
31.0,0.037135,0.01004,0.0013688,0.88263,0.7561,0.83364,0.43182,0.040247,0.011629,0.0011662,0.00703,0.00703,0.00703
32.0,0.037651,0.010306,0.0013592,0.88247,0.78049,0.83154,0.43257,0.039277,0.011066,0.0012356,0.006931,0.006931,0.006931
33.0,0.036053,0.010173,0.0012908,0.89865,0.75695,0.84526,0.41504,0.03923,0.011309,0.0012149,0.006832,0.006832,0.006832
34.0,0.036212,0.0091784,0.0012969,0.90805,0.843,0.88593,0.40652,0.038452,0.010931,0.0011565,0.006733,0.006733,0.006733
35.0,0.035328,0.0092791,0.0012179,0.85725,0.82927,0.85259,0.40068,0.039801,0.01132,0.0011143,0.006634,0.006634,0.006634
36.0,0.036122,0.00904,0.0012002,0.88299,0.82825,0.84088,0.44007,0.038209,0.011658,0.001131,0.006535,0.006535,0.006535
37.0,0.033604,0.0093642,0.0011666,0.83103,0.7797,0.8277,0.39792,0.041839,0.012053,0.0011778,0.006436,0.006436,0.006436
38.0,0.034085,0.0088259,0.0011724,0.83668,0.78049,0.82042,0.42344,0.03991,0.01228,0.0011827,0.006337,0.006337,0.006337
39.0,0.033118,0.0089192,0.0011736,0.84783,0.80488,0.82865,0.42321,0.039561,0.01158,0.0011283,0.006238,0.006238,0.006238
40.0,0.032455,0.0092901,0.0011567,0.85938,0.80488,0.83066,0.44314,0.039047,0.01235,0.0011257,0.006139,0.006139,0.006139
41.0,0.034972,0.010057,0.0011342,0.84602,0.81707,0.83456,0.43653,0.037213,0.013292,0.0011883,0.00604,0.00604,0.00604
42.0,0.032562,0.0090709,0.0010663,0.86741,0.81707,0.84071,0.45726,0.036392,0.012018,0.0010882,0.005941,0.005941,0.005941
43.0,0.031896,0.0087881,0.0010618,0.87377,0.80488,0.84527,0.42554,0.038145,0.011803,0.0011111,0.005842,0.005842,0.005842
44.0,0.031257,0.008992,0.00099167,0.88005,0.80526,0.83764,0.41963,0.038637,0.011963,0.0010877,0.005743,0.005743,0.005743
45.0,0.031135,0.0087907,0.0010197,0.88794,0.71951,0.81412,0.40962,0.03877,0.013561,0.0011175,0.005644,0.005644,0.005644
46.0,0.030077,0.0085294,0.00098892,0.85677,0.72953,0.81198,0.4217,0.03824,0.013706,0.0011148,0.005545,0.005545,0.005545
47.0,0.031135,0.0084294,0.0010305,0.82213,0.78916,0.80671,0.42213,0.038316,0.013788,0.0011425,0.005446,0.005446,0.005446
48.0,0.031341,0.0090519,0.0010038,0.87547,0.78049,0.84162,0.42275,0.039451,0.013075,0.0010522,0.005347,0.005347,0.005347
49.0,0.029603,0.0081317,0.00096473,0.88549,0.85366,0.8629,0.451,0.036823,0.011787,0.00094137,0.005248,0.005248,0.005248
50.0,0.028472,0.0077407,0.00092526,0.85177,0.84092,0.82782,0.43567,0.037852,0.012079,0.0009285,0.005149,0.005149,0.005149
51.0,0.029009,0.0082257,0.00088275,0.92931,0.81707,0.85047,0.44461,0.037922,0.012056,0.0009223,0.00505,0.00505,0.00505
52.0,0.028952,0.0084808,0.00087872,0.83657,0.81158,0.80475,0.38557,0.040976,0.012377,0.00099716,0.004951,0.004951,0.004951
53.0,0.028282,0.0084144,0.00087997,0.89882,0.80488,0.8317,0.3778,0.040386,0.012794,0.0010356,0.004852,0.004852,0.004852
