rank,left,right,similarity
1,images/01117_1783654297158646_0.jpg,images/01720_1783934127491465_0.jpg,0.99649912
2,images/02224_1784257768871842_0.jpg,images/02227_1784257798598847_0.jpg,0.99563885
3,images/02214_1784257693055826_0.jpg,images/02224_1784257768871842_0.jpg,0.99558330
4,images/01117_1783654297158646_0.jpg,images/02153_1784243020975530_0.jpg,0.99552387
5,images/00985_1783477791853543_0.jpg,images/01720_1783934127491465_0.jpg,0.99534422
6,images/00985_1783477791853543_0.jpg,images/01013_1783496639094132_0.jpg,0.99527019
7,images/00985_1783477791853543_0.jpg,images/01482_1783841365772198_0.jpg,0.99504280
8,images/01138_1783666508321403_0.jpg,images/03930_1784514336438507_0.jpg,0.99502575
9,images/03938_1784514456789509_0.jpg,images/03945_1784514577023511_0.jpg,0.99500144
10,images/03156_1784451377464089_0.jpg,images/03930_1784514336438507_0.jpg,0.99488914
11,images/00985_1783477791853543_0.jpg,images/01117_1783654297158646_0.jpg,0.99484921
12,images/01013_1783496639094132_0.jpg,images/01482_1783841365772198_0.jpg,0.99481660
13,images/01013_1783496639094132_0.jpg,images/01651_1783998746414113_0.jpg,0.99473011
14,images/01215_1783732587309446_0.jpg,images/03156_1784451377464089_0.jpg,0.99470645
15,images/01138_1783666508321403_0.jpg,images/03156_1784451377464089_0.jpg,0.99459678
16,images/03289_1784454805924150_0.jpg,images/03930_1784514336438507_0.jpg,0.99443203
17,images/01013_1783496639094132_0.jpg,images/01720_1783934127491465_0.jpg,0.99434227
18,images/02221_1784257753319838_0.jpg,images/02227_1784257798598847_0.jpg,0.99428773
19,images/01720_1783934127491465_0.jpg,images/02153_1784243020975530_0.jpg,0.99402100
20,images/03945_1784514577023511_0.jpg,images/08503_1784530614373775_0.jpg,0.99401456
21,images/01138_1783666508321403_0.jpg,images/02131_1784211128247403_0.jpg,0.99398816
22,images/01138_1783666508321403_0.jpg,images/02376_1784280461382040_0.jpg,0.99396509
23,images/01013_1783496639094132_0.jpg,images/01117_1783654297158646_0.jpg,0.99386817
24,images/02376_1784280461382040_0.jpg,images/03930_1784514336438507_0.jpg,0.99383080
25,images/00956_1783398778105981_0.jpg,images/01013_1783496639094132_0.jpg,0.99381226
26,images/01482_1783841365772198_0.jpg,images/01720_1783934127491465_0.jpg,0.99365658
27,images/01013_1783496639094132_0.jpg,images/07091_1784527598129724_0.jpg,0.99351084
28,images/02214_1784257693055826_0.jpg,images/02227_1784257798598847_0.jpg,0.99341393
29,images/00956_1783398778105981_0.jpg,images/01482_1783841365772198_0.jpg,0.99337435
30,images/00956_1783398778105981_0.jpg,images/00985_1783477791853543_0.jpg,0.99332064
31,images/01138_1783666508321403_0.jpg,images/03289_1784454805924150_0.jpg,0.99330515
32,images/02115_1784206668225069_0.jpg,images/02117_1784206698323075_0.jpg,0.99329972
33,images/01418_1783825026109990_0.jpg,images/01420_1783825056203994_0.jpg,0.99328518
34,images/01648_1783912363494116_0.jpg,images/01720_1783934127491465_0.jpg,0.99326432
35,images/02100_1784195848365148_0.jpg,images/02131_1784211128247403_0.jpg,0.99325877
36,images/01482_1783841365772198_0.jpg,images/01651_1783998746414113_0.jpg,0.99323273
37,images/01117_1783654297158646_0.jpg,images/01648_1783912363494116_0.jpg,0.99319637
38,images/00913_1783323878435965_0.jpg,images/09349_1784532403164803_0.jpg,0.99316168
39,images/02221_1784257753319838_0.jpg,images/02224_1784257768871842_0.jpg,0.99309248
40,images/01482_1783841365772198_0.jpg,images/07091_1784527598129724_0.jpg,0.99308991
41,images/03938_1784514456789509_0.jpg,images/08503_1784530614373775_0.jpg,0.99307489
42,images/02636_1784368123935106_0.jpg,images/03289_1784454805924150_0.jpg,0.99305981
43,images/02111_1784200744711232_0.jpg,images/02626_1784365958221062_0.jpg,0.99299401
44,images/02208_1784257632841815_0.jpg,images/02214_1784257693055826_0.jpg,0.99296182
45,images/03930_1784514336438507_0.jpg,images/04034_1784517422642559_0.jpg,0.99294686
46,images/01720_1783934127491465_0.jpg,images/07091_1784527598129724_0.jpg,0.99293214
47,images/00956_1783398778105981_0.jpg,images/01047_1783567080421610_0.jpg,0.99291104
48,images/00985_1783477791853543_0.jpg,images/07091_1784527598129724_0.jpg,0.99290860
49,images/02713_1784427145708671_0.jpg,images/03104_1784449933882060_0.jpg,0.99286544
50,images/01019_1783504779057314_0.jpg,images/08485_1784530554204773_0.jpg,0.99284649
51,images/01019_1783504779057314_0.jpg,images/01066_1783584511661120_0.jpg,0.99283963
52,images/02208_1784257632841815_0.jpg,images/02221_1784257753319838_0.jpg,0.99283004
53,images/01013_1783496639094132_0.jpg,images/01215_1783732587309446_0.jpg,0.99281913
54,images/01328_1783764770191166_0.jpg,images/02264_1784263566401867_0.jpg,0.99278319
55,images/01047_1783567080421610_0.jpg,images/02023_1784166498917676_0.jpg,0.99274933
56,images/03156_1784451377464089_0.jpg,images/03289_1784454805924150_0.jpg,0.99272484
57,images/01274_1783751109877138_0.jpg,images/02376_1784280461382040_0.jpg,0.99272186
58,images/02751_1784434946929532_0.jpg,images/03003_1784445553632574_0.jpg,0.99268365
59,images/02208_1784257632841815_0.jpg,images/02227_1784257798598847_0.jpg,0.99267173
60,images/01215_1783732587309446_0.jpg,images/01482_1783841365772198_0.jpg,0.99266142
61,images/01642_1783911407152102_0.jpg,images/02713_1784427145708671_0.jpg,0.99265200
62,images/02376_1784280461382040_0.jpg,images/03156_1784451377464089_0.jpg,0.99263430
63,images/00891_1783304850439283_0.jpg,images/02525_1784353992917848_0.jpg,0.99263394
64,images/01215_1783732587309446_0.jpg,images/03930_1784514336438507_0.jpg,0.99260473
65,images/01138_1783666508321403_0.jpg,images/01274_1783751109877138_0.jpg,0.99254984
66,images/02131_1784211128247403_0.jpg,images/03156_1784451377464089_0.jpg,0.99254608
67,images/01642_1783911407152102_0.jpg,images/03104_1784449933882060_0.jpg,0.99254239
68,images/02208_1784257632841815_0.jpg,images/02224_1784257768871842_0.jpg,0.99252629
69,images/01274_1783751109877138_0.jpg,images/03930_1784514336438507_0.jpg,0.99252182
70,images/03930_1784514336438507_0.jpg,images/06332_1784525972000694_0.jpg,0.99251199
71,images/01274_1783751109877138_0.jpg,images/02111_1784200744711232_0.jpg,0.99248344
72,images/00985_1783477791853543_0.jpg,images/01651_1783998746414113_0.jpg,0.99244612
73,images/01496_1783845180304764_0.jpg,images/02100_1784195848365148_0.jpg,0.99240786
74,images/01138_1783666508321403_0.jpg,images/01215_1783732587309446_0.jpg,0.99232709
75,images/00985_1783477791853543_0.jpg,images/02153_1784243020975530_0.jpg,0.99231857
76,images/01047_1783567080421610_0.jpg,images/01720_1783934127491465_0.jpg,0.99231809
77,images/02131_1784211128247403_0.jpg,images/03930_1784514336438507_0.jpg,0.99231398
78,images/00985_1783477791853543_0.jpg,images/01648_1783912363494116_0.jpg,0.99229676
79,images/01871_1784088795537804_0.jpg,images/02751_1784434946929532_0.jpg,0.99229318
80,images/00956_1783398778105981_0.jpg,images/01720_1783934127491465_0.jpg,0.99225771
81,images/01721_1784011962999183_0.jpg,images/02131_1784211128247403_0.jpg,0.99224281
82,images/01013_1783496639094132_0.jpg,images/02023_1784166498917676_0.jpg,0.99215835
83,images/01871_1784088795537804_0.jpg,images/02214_1784257693055826_0.jpg,0.99214524
84,images/00956_1783398778105981_0.jpg,images/07091_1784527598129724_0.jpg,0.99214333
85,images/00889_1783304549616241_0.jpg,images/01295_1783758334041209_0.jpg,0.99212950
86,images/01013_1783496639094132_0.jpg,images/04101_1784519196979588_0.jpg,0.99212795
87,images/00966_1783415849954406_0.jpg,images/01721_1784011962999183_0.jpg,0.99212646
88,images/00889_1783304549616241_0.jpg,images/01477_1783841004961145_0.jpg,0.99209446
89,images/02221_1784257753319838_0.jpg,images/03003_1784445553632574_0.jpg,0.99207246
90,images/00912_1783323818309956_0.jpg,images/02624_1784365777743059_0.jpg,0.99203455
91,images/02214_1784257693055826_0.jpg,images/02221_1784257753319838_0.jpg,0.99196815
92,images/00956_1783398778105981_0.jpg,images/02023_1784166498917676_0.jpg,0.99192262
93,images/01147_1783670558300987_0.jpg,images/01149_1783670678603004_0.jpg,0.99192077
94,images/01113_1783649538567961_0.jpg,images/02264_1784263566401867_0.jpg,0.99189782
95,images/08503_1784530614373775_0.jpg,images/08618_1784530870351778_0.jpg,0.99189472
