rank,left,right,similarity
1,images/01117_1783654297158646_0.jpg,images/01720_1783934127491465_0.jpg,0.99649912
2,images/01117_1783654297158646_0.jpg,images/02153_1784243020975530_0.jpg,0.99552387
3,images/01138_1783666508321403_0.jpg,images/03930_1784514336438507_0.jpg,0.99502575
4,images/03156_1784451377464089_0.jpg,images/03930_1784514336438507_0.jpg,0.99488926
5,images/01013_1783496639094132_0.jpg,images/01482_1783841365772198_0.jpg,0.99481660
6,images/01013_1783496639094132_0.jpg,images/01651_1783998746414113_0.jpg,0.99473011
7,images/01215_1783732587309446_0.jpg,images/03156_1784451377464089_0.jpg,0.99470645
8,images/01138_1783666508321403_0.jpg,images/03156_1784451377464089_0.jpg,0.99459678
9,images/03289_1784454805924150_0.jpg,images/03930_1784514336438507_0.jpg,0.99443191
10,images/01013_1783496639094132_0.jpg,images/01720_1783934127491465_0.jpg,0.99434227
11,images/01720_1783934127491465_0.jpg,images/02153_1784243020975530_0.jpg,0.99402100
12,images/01138_1783666508321403_0.jpg,images/02131_1784211128247403_0.jpg,0.99398822
13,images/01138_1783666508321403_0.jpg,images/02376_1784280461382040_0.jpg,0.99396509
14,images/01013_1783496639094132_0.jpg,images/01117_1783654297158646_0.jpg,0.99386817
15,images/02376_1784280461382040_0.jpg,images/03930_1784514336438507_0.jpg,0.99383080
16,images/00956_1783398778105981_0.jpg,images/01013_1783496639094132_0.jpg,0.99381226
17,images/01642_1783911407152102_0.jpg,images/04013_1784516998443553_0.jpg,0.99375647
18,images/01482_1783841365772198_0.jpg,images/01720_1783934127491465_0.jpg,0.99365658
19,images/01013_1783496639094132_0.jpg,images/07091_1784527598129724_0.jpg,0.99351084
20,images/00956_1783398778105981_0.jpg,images/01482_1783841365772198_0.jpg,0.99337435
21,images/01138_1783666508321403_0.jpg,images/03289_1784454805924150_0.jpg,0.99330515
22,images/01648_1783912363494116_0.jpg,images/01720_1783934127491465_0.jpg,0.99326432
23,images/02100_1784195848365148_0.jpg,images/02131_1784211128247403_0.jpg,0.99325883
24,images/01482_1783841365772198_0.jpg,images/01651_1783998746414113_0.jpg,0.99323273
25,images/01117_1783654297158646_0.jpg,images/01648_1783912363494116_0.jpg,0.99319637
26,images/00913_1783323878435965_0.jpg,images/09349_1784532403164803_0.jpg,0.99316168
27,images/02220_1784257738267835_0.jpg,images/03003_1784445553632574_0.jpg,0.99313951
28,images/01019_1783504779057314_0.jpg,images/04013_1784516998443553_0.jpg,0.99313378
29,images/01482_1783841365772198_0.jpg,images/07091_1784527598129724_0.jpg,0.99308991
30,images/02636_1784368123935106_0.jpg,images/03289_1784454805924150_0.jpg,0.99305975
31,images/02111_1784200744711232_0.jpg,images/02626_1784365958221062_0.jpg,0.99299401
32,images/03930_1784514336438507_0.jpg,images/04034_1784517422642559_0.jpg,0.99294686
33,images/01720_1783934127491465_0.jpg,images/07091_1784527598129724_0.jpg,0.99293214
34,images/00956_1783398778105981_0.jpg,images/01047_1783567080421610_0.jpg,0.99291104
35,images/02713_1784427145708671_0.jpg,images/03104_1784449933882060_0.jpg,0.99286544
36,images/01019_1783504779057314_0.jpg,images/01066_1783584511661120_0.jpg,0.99283963
37,images/01013_1783496639094132_0.jpg,images/01215_1783732587309446_0.jpg,0.99281913
38,images/01328_1783764770191166_0.jpg,images/02264_1784263566401867_0.jpg,0.99278319
39,images/01047_1783567080421610_0.jpg,images/02023_1784166498917676_0.jpg,0.99274933
40,images/03156_1784451377464089_0.jpg,images/03289_1784454805924150_0.jpg,0.99272484
41,images/01274_1783751109877138_0.jpg,images/02376_1784280461382040_0.jpg,0.99272186
42,images/02751_1784434946929532_0.jpg,images/03003_1784445553632574_0.jpg,0.99268359
43,images/01215_1783732587309446_0.jpg,images/01482_1783841365772198_0.jpg,0.99266142
44,images/01642_1783911407152102_0.jpg,images/02713_1784427145708671_0.jpg,0.99265200
45,images/02376_1784280461382040_0.jpg,images/03156_1784451377464089_0.jpg,0.99263430
46,images/00891_1783304850439283_0.jpg,images/02525_1784353992917848_0.jpg,0.99263394
47,images/03104_1784449933882060_0.jpg,images/04013_1784516998443553_0.jpg,0.99262387
48,images/01215_1783732587309446_0.jpg,images/03930_1784514336438507_0.jpg,0.99260473
49,images/01138_1783666508321403_0.jpg,images/01274_1783751109877138_0.jpg,0.99254984
50,images/02131_1784211128247403_0.jpg,images/03156_1784451377464089_0.jpg,0.99254608
51,images/01642_1783911407152102_0.jpg,images/03104_1784449933882060_0.jpg,0.99254239
52,images/01274_1783751109877138_0.jpg,images/03930_1784514336438507_0.jpg,0.99252182
53,images/03930_1784514336438507_0.jpg,images/06332_1784525972000694_0.jpg,0.99251199
54,images/01274_1783751109877138_0.jpg,images/02111_1784200744711232_0.jpg,0.99248374
55,images/01496_1783845180304764_0.jpg,images/02100_1784195848365148_0.jpg,0.99240762
56,images/01138_1783666508321403_0.jpg,images/01215_1783732587309446_0.jpg,0.99232709
57,images/01047_1783567080421610_0.jpg,images/01720_1783934127491465_0.jpg,0.99231809
58,images/02131_1784211128247403_0.jpg,images/03930_1784514336438507_0.jpg,0.99231398
59,images/01871_1784088795537804_0.jpg,images/02751_1784434946929532_0.jpg,0.99229318
60,images/00956_1783398778105981_0.jpg,images/01720_1783934127491465_0.jpg,0.99225771
61,images/01721_1784011962999183_0.jpg,images/02131_1784211128247403_0.jpg,0.99224281
62,images/01013_1783496639094132_0.jpg,images/02023_1784166498917676_0.jpg,0.99215835
63,images/00956_1783398778105981_0.jpg,images/07091_1784527598129724_0.jpg,0.99214333
64,images/02220_1784257738267835_0.jpg,images/02751_1784434946929532_0.jpg,0.99213052
65,images/00889_1783304549616241_0.jpg,images/01295_1783758334041209_0.jpg,0.99212950
66,images/01013_1783496639094132_0.jpg,images/04101_1784519196979588_0.jpg,0.99212784
67,images/00966_1783415849954406_0.jpg,images/01721_1784011962999183_0.jpg,0.99212646
68,images/00889_1783304549616241_0.jpg,images/01477_1783841004961145_0.jpg,0.99209446
69,images/00912_1783323818309956_0.jpg,images/02624_1784365777743059_0.jpg,0.99203455
70,images/00956_1783398778105981_0.jpg,images/02023_1784166498917676_0.jpg,0.99192262
71,images/01113_1783649538567961_0.jpg,images/02264_1784263566401867_0.jpg,0.99189782
72,images/02131_1784211128247403_0.jpg,images/02264_1784263566401867_0.jpg,0.99185020
73,images/02111_1784200744711232_0.jpg,images/08262_1784530070633765_0.jpg,0.99182749
74,images/03289_1784454805924150_0.jpg,images/04034_1784517422642559_0.jpg,0.99182355
75,images/01482_1783841365772198_0.jpg,images/04170_1784520637306611_0.jpg,0.99181890
76,images/01267_1783750756439346_0.jpg,images/02238_1784258879300926_0.jpg,0.99180853
77,images/01047_1783567080421610_0.jpg,images/01482_1783841365772198_0.jpg,0.99179125
78,images/01651_1783998746414113_0.jpg,images/07091_1784527598129724_0.jpg,0.99178642
79,images/01908_1784097429222457_0.jpg,images/02533_1784354728494327_0.jpg,0.99177182
80,images/02131_1784211128247403_0.jpg,images/02636_1784368123935106_0.jpg,0.99176782
81,images/01215_1783732587309446_0.jpg,images/02376_1784280461382040_0.jpg,0.99176157
82,images/00891_1783304850439283_0.jpg,images/04013_1784516998443553_0.jpg,0.99175715
83,images/01215_1783732587309446_0.jpg,images/01886_1784091142607841_0.jpg,0.99175531
84,images/01117_1783654297158646_0.jpg,images/01651_1783998746414113_0.jpg,0.99175423
85,images/02085_1784190970988034_0.jpg,images/02473_1784343849632290_0.jpg,0.99173522
86,images/02220_1784257738267835_0.jpg,images/02231_1784257829195855_0.jpg,0.99167067
87,images/01215_1783732587309446_0.jpg,images/03289_1784454805924150_0.jpg,0.99166662
88,images/01138_1783666508321403_0.jpg,images/02636_1784368123935106_0.jpg,0.99164927
89,images/02713_1784427145708671_0.jpg,images/04013_1784516998443553_0.jpg,0.99162829
90,images/00889_1783304549616241_0.jpg,images/03945_1784514577023511_0.jpg,0.99159920
91,images/01107_1783611195551799_0.jpg,images/02685_1784415219181188_0.jpg,0.99158901
92,images/01117_1783654297158646_0.jpg,images/01482_1783841365772198_0.jpg,0.99156666
93,images/01274_1783751109877138_0.jpg,images/02131_1784211128247403_0.jpg,0.99150008
94,images/01651_1783998746414113_0.jpg,images/02023_1784166498917676_0.jpg,0.99146348
95,images/02220_1784257738267835_0.jpg,images/02233_1784257844254858_0.jpg,0.99143606
96,images/01886_1784091142607841_0.jpg,images/03930_1784514336438507_0.jpg,0.99136817
97,images/02100_1784195848365148_0.jpg,images/03026_1784446625943000_0.jpg,0.99136740
98,images/01274_1783751109877138_0.jpg,images/04034_1784517422642559_0.jpg,0.99131626
99,images/01267_1783750756439346_0.jpg,images/01413_1783824950912980_0.jpg,0.99130929
100,images/01019_1783504779057314_0.jpg,images/02713_1784427145708671_0.jpg,0.99130762
