               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10252,            0.017782,            0.033168,           0.0014466,             0.30082,           0.0048302,           0.0012466,            0.089321,            0.016655,            0.046721,            0.070667,           0.0032593,           0.0032593
                   1,            0.072515,            0.014364,            0.017352,             0.81851,            0.055168,            0.058198,             0.01519,            0.075886,            0.017154,            0.036395,            0.040601,           0.0065273,           0.0065273
                   2,            0.065368,             0.01273,            0.013261,             0.61748,             0.16658,            0.099835,            0.032219,            0.073152,            0.018753,            0.042365,             0.01047,           0.0097294,           0.0097294
                   3,             0.06127,            0.010781,            0.013266,             0.66014,             0.16849,             0.13988,            0.051361,             0.06491,            0.018587,            0.045087,            0.009703,            0.009703,            0.009703
                   4,            0.059065,             0.01001,            0.012721,             0.66394,             0.14019,             0.15577,            0.061028,            0.059032,             0.01772,            0.033268,            0.009703,            0.009703,            0.009703
                   5,            0.056133,            0.009985,            0.011273,             0.73269,            0.050521,             0.05238,            0.021055,            0.068849,            0.022216,            0.048293,            0.009604,            0.009604,            0.009604
                   6,            0.055048,           0.0098679,            0.011458,             0.63656,             0.10168,            0.085798,             0.03364,            0.066435,            0.019417,             0.03801,            0.009505,            0.009505,            0.009505
                   7,             0.05354,           0.0094366,             0.01069,             0.68661,             0.14731,             0.16782,            0.060727,            0.058231,            0.015261,            0.036452,            0.009406,            0.009406,            0.009406
                   8,            0.052259,           0.0092476,           0.0097666,             0.69218,             0.18949,             0.20695,            0.084471,            0.055302,            0.015055,            0.031974,            0.009307,            0.009307,            0.009307
                   9,             0.05115,           0.0095496,           0.0089575,             0.74547,             0.18582,             0.24797,             0.10079,            0.051611,            0.015111,            0.036165,            0.009208,            0.009208,            0.009208
                  10,            0.050596,           0.0090189,           0.0092096,             0.69788,             0.18842,             0.19976,            0.078514,            0.052826,             0.01527,            0.029565,            0.009109,            0.009109,            0.009109
                  11,             0.04999,           0.0090389,           0.0080993,             0.71364,             0.15857,              0.2222,            0.098305,            0.054359,            0.016477,            0.040149,             0.00901,             0.00901,             0.00901
