epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.089228,0.017124,0.026719,0.85559,0.046788,0.076164,0.025363,0.066005,0.018674,0.042238,0.070252,0.0033053,0.0033053
1.0,0.064173,0.011894,0.012229,0.75366,0.17101,0.20166,0.073265,0.05953,0.016221,0.030946,0.040186,0.0065729,0.0065729
2.0,0.059237,0.0095525,0.010187,0.67557,0.070017,0.076761,0.025302,0.069495,0.017549,0.067322,0.010055,0.0097745,0.0097745
3.0,0.05889,0.0093106,0.01035,0.55571,0.15383,0.071797,0.021674,0.067169,0.017408,0.047997,0.009703,0.009703,0.009703
4.0,0.055716,0.0091874,0.010114,0.63422,0.12041,0.0862,0.031819,0.066803,0.018326,0.047294,0.009703,0.009703,0.009703
5.0,0.052961,0.008691,0.0082181,0.67849,0.1854,0.20996,0.082113,0.053055,0.016399,0.031014,0.009604,0.009604,0.009604
6.0,0.050593,0.0083557,0.0081848,0.59458,0.14023,0.092585,0.03732,0.056274,0.020162,0.042106,0.009505,0.009505,0.009505
7.0,0.04971,0.0082739,0.0075949,0.69988,0.20992,0.22867,0.10237,0.050585,0.015189,0.036277,0.009406,0.009406,0.009406
8.0,0.048289,0.0081988,0.0074741,0.73383,0.18489,0.21725,0.087607,0.052275,0.016335,0.029164,0.009307,0.009307,0.009307
9.0,0.046821,0.0079721,0.0071524,0.79138,0.21818,0.31362,0.13339,0.04969,0.014067,0.02831,0.009208,0.009208,0.009208
10.0,0.045999,0.0076554,0.0064084,0.71359,0.2402,0.26281,0.11426,0.049622,0.017095,0.028917,0.009109,0.009109,0.009109
11.0,0.04499,0.0075862,0.0065556,0.64604,0.2677,0.29173,0.1232,0.052962,0.015703,0.029124,0.00901,0.00901,0.00901
12.0,0.044139,0.0076027,0.0053697,0.54589,0.35165,0.3344,0.14257,0.05063,0.013521,0.025242,0.008911,0.008911,0.008911
13.0,0.04367,0.007465,0.0057486,0.56308,0.30448,0.27427,0.1213,0.048989,0.016314,0.03148,0.008812,0.008812,0.008812
14.0,0.043273,0.007291,0.0055536,0.75509,0.25015,0.3168,0.14038,0.048148,0.0142,0.032755,0.008713,0.008713,0.008713
15.0,0.043118,0.007327,0.0059184,0.62477,0.32626,0.33607,0.13817,0.052022,0.01494,0.026024,0.008614,0.008614,0.008614
16.0,0.041972,0.0071998,0.0051968,0.65412,0.33979,0.34485,0.15572,0.049456,0.013974,0.023647,0.008515,0.008515,0.008515
17.0,0.041538,0.0070592,0.0050446,0.67332,0.26564,0.33126,0.15508,0.047706,0.014194,0.03923,0.008416,0.008416,0.008416
18.0,0.041606,0.0071255,0.004653,0.71477,0.32323,0.36291,0.17304,0.048128,0.014979,0.028795,0.008317,0.008317,0.008317
19.0,0.040969,0.0070543,0.0048821,0.67944,0.34467,0.38456,0.18478,0.045413,0.013105,0.029286,0.008218,0.008218,0.008218
20.0,0.040297,0.0068578,0.0043072,0.62309,0.32624,0.33322,0.1418,0.051792,0.014212,0.030231,0.008119,0.008119,0.008119
21.0,0.03976,0.00691,0.0042308,0.69137,0.37515,0.40554,0.19685,0.045744,0.013305,0.024699,0.00802,0.00802,0.00802
