               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094542,            0.017878,            0.033569,             0.51084,             0.12678,            0.066914,             0.02219,            0.068445,            0.012817,            0.016227,            0.070423,           0.0032864,           0.0032864
                   1,            0.067535,            0.013337,            0.018664,             0.72812,             0.17081,             0.19301,            0.076738,            0.061365,             0.01073,           0.0094816,            0.040357,           0.0065542,           0.0065542
                   2,            0.061016,            0.010986,            0.015171,             0.71304,             0.13969,             0.14624,            0.053144,            0.064326,            0.010193,            0.011945,            0.010225,            0.009756,            0.009756
                   3,            0.060245,            0.010268,             0.01484,             0.34574,             0.29992,             0.10493,            0.033959,            0.071531,            0.028054,            0.012586,            0.009703,            0.009703,            0.009703
                   4,            0.058069,           0.0099845,            0.014204,             0.64715,             0.19467,              0.2213,            0.095015,            0.063519,            0.013752,            0.013479,            0.009703,            0.009703,            0.009703
                   5,            0.056239,           0.0098076,            0.013028,             0.53384,             0.19221,             0.17733,            0.074105,            0.056428,            0.013076,             0.01197,            0.009604,            0.009604,            0.009604
                   6,            0.055059,           0.0095339,            0.012618,             0.46313,             0.26087,             0.18442,            0.064649,            0.055385,            0.011141,            0.016756,            0.009505,            0.009505,            0.009505
                   7,            0.052794,           0.0092025,            0.012115,             0.78766,             0.27898,              0.3431,             0.14134,            0.051603,            0.009309,           0.0081434,            0.009406,            0.009406,            0.009406
                   8,             0.05134,           0.0090256,            0.010532,             0.64909,              0.3101,             0.32421,             0.16494,            0.051962,           0.0097964,           0.0076682,            0.009307,            0.009307,            0.009307
                   9,            0.050348,           0.0087348,            0.010244,             0.68586,             0.27387,             0.32593,             0.14947,            0.051249,           0.0095901,           0.0091135,            0.009208,            0.009208,            0.009208
                  10,            0.049833,           0.0087705,            0.010042,             0.72882,             0.27275,              0.2919,             0.14391,            0.050322,            0.010936,           0.0089564,            0.009109,            0.009109,            0.009109
                  11,              0.0489,            0.008583,            0.009664,              0.6132,             0.37123,             0.35777,             0.15414,            0.048707,           0.0093451,           0.0077121,             0.00901,             0.00901,             0.00901
