epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.08906,0.016622,0.031291,0.0017982,0.61529,0.069602,0.025197,0.070763,0.012217,0.011799,0.070294,0.0033007,0.0033007
1.0,0.063287,0.012395,0.015283,0.76938,0.19552,0.20902,0.085827,0.059388,0.0095221,0.0089204,0.040228,0.0065683,0.0065683
2.0,0.059643,0.010244,0.013623,0.70393,0.13379,0.14423,0.053643,0.064346,0.011622,0.011587,0.010097,0.00977,0.00977
3.0,0.058962,0.0098412,0.014334,0.37814,0.24255,0.13876,0.056173,0.06257,0.016466,0.014386,0.009703,0.009703,0.009703
4.0,0.056359,0.0095955,0.013337,0.77314,0.16304,0.18698,0.069985,0.057487,0.011504,0.01352,0.009703,0.009703,0.009703
5.0,0.055283,0.0094859,0.012401,0.68934,0.29306,0.31775,0.14161,0.0506,0.0095282,0.0096546,0.009604,0.009604,0.009604
6.0,0.052405,0.0091093,0.011247,0.72359,0.31523,0.36069,0.15293,0.050501,0.0090721,0.0076367,0.009505,0.009505,0.009505
7.0,0.050932,0.008869,0.010552,0.7652,0.30501,0.34942,0.15661,0.050262,0.0090117,0.0082063,0.009406,0.009406,0.009406
8.0,0.049691,0.0087109,0.010345,0.67459,0.32206,0.32595,0.14999,0.047575,0.0086687,0.0089575,0.009307,0.009307,0.009307
9.0,0.048988,0.0085857,0.0099815,0.68501,0.37359,0.36257,0.17517,0.04693,0.0088254,0.008215,0.009208,0.009208,0.009208
10.0,0.047805,0.0085392,0.0093473,0.79225,0.37194,0.4101,0.19151,0.049362,0.0087537,0.0091336,0.009109,0.009109,0.009109
11.0,0.047386,0.0084313,0.0088377,0.73116,0.34018,0.37484,0.17642,0.044459,0.0084259,0.0081234,0.00901,0.00901,0.00901
12.0,0.046747,0.0082292,0.0086505,0.62377,0.25498,0.27457,0.13185,0.047049,0.0099968,0.0099303,0.008911,0.008911,0.008911
13.0,0.045496,0.0082652,0.0087354,0.82725,0.39769,0.44662,0.22617,0.0436,0.0083472,0.0080755,0.008812,0.008812,0.008812
14.0,0.044655,0.0081242,0.008119,0.75884,0.29468,0.348,0.16713,0.046625,0.0092727,0.0097211,0.008713,0.008713,0.008713
15.0,0.04489,0.0080534,0.0077318,0.75041,0.43142,0.45405,0.22425,0.042739,0.0078184,0.0058151,0.008614,0.008614,0.008614
16.0,0.043622,0.0080444,0.0076899,0.81207,0.42036,0.46155,0.24778,0.042468,0.0079229,0.0065695,0.008515,0.008515,0.008515
17.0,0.04301,0.0077586,0.0071939,0.8291,0.40179,0.46932,0.23933,0.042323,0.0077559,0.0060392,0.008416,0.008416,0.008416
18.0,0.042418,0.0076658,0.0064827,0.82058,0.37876,0.42502,0.20634,0.04391,0.0084749,0.0070451,0.008317,0.008317,0.008317
