epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.11372,0.023711,0.046231,0.00059705,0.31435,0.0017682,0.00039018,0.097787,0.015144,0.041753,0.0865,0.0015,0.0015
1.0,0.0867,0.017915,0.037244,0.00090369,0.53539,0.023678,0.0049603,0.080795,0.012944,0.03644,0.072069,0.0030693,0.0030693
2.0,0.073243,0.016575,0.033447,0.0017214,0.64489,0.074075,0.030073,0.07,0.012404,0.031217,0.057607,0.0046069,0.0046069
3.0,0.067647,0.014834,0.029232,0.25703,0.44321,0.055899,0.015768,0.083612,0.010392,0.021421,0.043113,0.0061129,0.0061129
4.0,0.064284,0.01357,0.02221,0.5861,0.1432,0.16763,0.048898,0.070912,0.01084,0.019814,0.028587,0.0075872,0.0075872
5.0,0.063168,0.012016,0.01925,0.52133,0.26404,0.2183,0.081464,0.070704,0.010754,0.028858,0.01403,0.0090297,0.0090297
6.0,0.061429,0.011316,0.018331,0.48521,0.30668,0.22755,0.076352,0.069136,0.011263,0.020735,0.009406,0.009406,0.009406
7.0,0.057115,0.011386,0.01475,0.41203,0.20976,0.13592,0.0471,0.074592,0.012162,0.025898,0.009406,0.009406,0.009406
8.0,0.05582,0.0097099,0.014288,0.601,0.21306,0.20207,0.087372,0.064025,0.017898,0.024165,0.009307,0.009307,0.009307
9.0,0.051034,0.010065,0.012593,0.46558,0.23766,0.13277,0.053307,0.064367,0.02354,0.033317,0.009208,0.009208,0.009208
10.0,0.052475,0.009438,0.011415,0.51322,0.23192,0.19234,0.077823,0.063375,0.015561,0.027026,0.009109,0.009109,0.009109
11.0,0.052155,0.0094271,0.012436,0.51964,0.23867,0.19994,0.09323,0.06725,0.011375,0.019335,0.00901,0.00901,0.00901
12.0,0.04964,0.009287,0.012412,0.52916,0.23167,0.18698,0.091249,0.066261,0.013269,0.024273,0.008911,0.008911,0.008911
13.0,0.048237,0.0089317,0.011435,0.62068,0.28995,0.27733,0.12247,0.060475,0.011626,0.018552,0.008812,0.008812,0.008812
14.0,0.047673,0.0084962,0.0093691,0.62652,0.20323,0.21031,0.086454,0.060293,0.013289,0.025724,0.008713,0.008713,0.008713
15.0,0.047984,0.0088154,0.0095191,0.65355,0.25329,0.27982,0.1247,0.059473,0.011069,0.025032,0.008614,0.008614,0.008614
16.0,0.04813,0.0083587,0.0096797,0.58911,0.28463,0.24744,0.11991,0.058171,0.012902,0.024782,0.008515,0.008515,0.008515
17.0,0.045741,0.0084589,0.0087446,0.6709,0.24268,0.27138,0.12041,0.059756,0.013942,0.020466,0.008416,0.008416,0.008416
18.0,0.046998,0.0082921,0.0093223,0.56033,0.32443,0.27584,0.11982,0.058891,0.012166,0.020805,0.008317,0.008317,0.008317
19.0,0.044753,0.0080568,0.0078162,0.56439,0.26629,0.2266,0.10544,0.063993,0.011334,0.023099,0.008218,0.008218,0.008218
20.0,0.044586,0.0084381,0.0075847,0.63868,0.29485,0.31995,0.13957,0.05737,0.010162,0.019164,0.008119,0.008119,0.008119
21.0,0.04396,0.0078402,0.0067552,0.62989,0.2888,0.29264,0.13956,0.057278,0.010694,0.022775,0.00802,0.00802,0.00802
22.0,0.042532,0.007976,0.0073953,0.70328,0.25947,0.28133,0.12232,0.057226,0.010293,0.024708,0.007921,0.007921,0.007921
23.0,0.041951,0.007548,0.0071361,0.67739,0.26994,0.2678,0.11227,0.058437,0.01014,0.020735,0.007822,0.007822,0.007822
