               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094329,            0.021482,            0.034998,           0.0053182,             0.49934,             0.04043,            0.013871,            0.078456,            0.011858,            0.024187,            0.070476,           0.0032804,           0.0032804
                   1,            0.067826,            0.015746,            0.019082,             0.71345,             0.15436,             0.16951,             0.06102,             0.06205,            0.010609,            0.016356,            0.040411,           0.0065483,           0.0065483
                   2,            0.061901,            0.012597,            0.014775,              0.4408,             0.22647,             0.13837,            0.045648,             0.06501,            0.011231,            0.018548,            0.010279,           0.0097501,           0.0097501
                   3,            0.058233,             0.01167,            0.013824,              0.6138,             0.22813,             0.23012,            0.082765,            0.065362,            0.011893,            0.017424,            0.009703,            0.009703,            0.009703
                   4,            0.055574,            0.011762,            0.012835,             0.64775,             0.26817,             0.27171,             0.10984,             0.05765,            0.010569,            0.015629,            0.009703,            0.009703,            0.009703
                   5,            0.053412,            0.011062,            0.011651,             0.60169,             0.28435,             0.25548,               0.114,            0.055627,            0.014553,            0.023128,            0.009604,            0.009604,            0.009604
                   6,            0.051946,            0.011137,              0.0107,             0.62427,             0.26574,             0.28488,             0.10557,            0.058276,           0.0094195,            0.016967,            0.009505,            0.009505,            0.009505
                   7,            0.050451,            0.010764,            0.010561,             0.60118,             0.33269,             0.29659,             0.12496,            0.055849,            0.009625,            0.014654,            0.009406,            0.009406,            0.009406
                   8,            0.049337,             0.01049,           0.0094159,             0.72132,             0.27145,             0.30084,             0.12373,            0.053552,           0.0090163,            0.014352,            0.009307,            0.009307,            0.009307
                   9,              0.0476,             0.01044,           0.0096498,             0.64919,             0.17381,             0.20277,            0.081168,            0.057673,            0.011186,            0.031437,            0.009208,            0.009208,            0.009208
                  10,            0.047541,            0.010299,           0.0091184,             0.70965,             0.30857,             0.31971,             0.14888,            0.051894,           0.0099385,            0.016787,            0.009109,            0.009109,            0.009109
                  11,            0.046414,            0.010065,           0.0081408,             0.71773,             0.32057,             0.35296,             0.16271,            0.051062,           0.0089245,            0.014752,             0.00901,             0.00901,             0.00901
                  12,            0.046169,           0.0097436,           0.0077721,             0.73043,             0.28168,             0.35128,             0.15695,            0.049386,           0.0096179,             0.01676,            0.008911,            0.008911,            0.008911
                  13,            0.044681,           0.0097466,           0.0080065,             0.74143,             0.33763,             0.38856,             0.17897,            0.048313,           0.0087007,            0.014098,            0.008812,            0.008812,            0.008812
                  14,             0.04425,           0.0097086,           0.0076301,             0.68425,             0.32678,             0.33713,             0.16265,            0.049487,            0.010095,            0.020416,            0.008713,            0.008713,            0.008713
                  15,            0.043654,           0.0097272,           0.0074145,             0.80328,             0.35665,              0.4036,             0.17653,            0.049512,           0.0087034,            0.012136,            0.008614,            0.008614,            0.008614
                  16,            0.043091,            0.009576,           0.0067062,             0.78718,             0.34647,             0.40745,             0.20096,            0.047499,           0.0085943,            0.013916,            0.008515,            0.008515,            0.008515
                  17,            0.042119,           0.0095405,            0.006028,             0.69402,             0.42411,             0.43845,             0.21637,             0.04611,           0.0085984,            0.013291,            0.008416,            0.008416,            0.008416
                  18,             0.04206,           0.0094353,           0.0069691,             0.73928,             0.35494,             0.40308,              0.1858,            0.048278,           0.0092525,            0.014445,            0.008317,            0.008317,            0.008317
