epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.099827,0.017874,0.035524,0.0024249,0.50654,0.010707,0.0029555,0.076981,0.013414,0.025858,0.070536,0.0032738,0.0032738
1.0,0.069192,0.011562,0.018633,0.7983,0.052439,0.12065,0.040094,0.071736,0.01128,0.019245,0.04047,0.0065417,0.0065417
2.0,0.063263,0.0097986,0.014934,0.45305,0.2027,0.15482,0.060464,0.064804,0.01159,0.020745,0.010339,0.0097437,0.0097437
3.0,0.060308,0.0087207,0.014189,0.45418,0.11148,0.075526,0.023317,0.069355,0.014537,0.023149,0.009703,0.009703,0.009703
4.0,0.060588,0.0081757,0.013728,0.33813,0.08826,0.043283,0.01234,0.070193,0.011598,0.022345,0.009703,0.009703,0.009703
5.0,0.058095,0.0078233,0.011747,0.44623,0.13714,0.086908,0.029316,0.068167,0.015716,0.029202,0.009604,0.009604,0.009604
6.0,0.055933,0.0075327,0.011715,0.55737,0.23151,0.21546,0.075746,0.06526,0.01088,0.020701,0.009505,0.009505,0.009505
7.0,0.054401,0.0077095,0.011155,0.53762,0.18873,0.169,0.062197,0.060244,0.011527,0.022269,0.009406,0.009406,0.009406
8.0,0.053246,0.0072095,0.010305,0.60256,0.24496,0.24636,0.094125,0.059597,0.011218,0.018856,0.009307,0.009307,0.009307
9.0,0.051019,0.0067746,0.010107,0.701,0.21633,0.24426,0.10371,0.060051,0.01132,0.019209,0.009208,0.009208,0.009208
10.0,0.051933,0.006951,0.009169,0.5795,0.2435,0.21574,0.0763,0.064118,0.010239,0.019727,0.009109,0.009109,0.009109
11.0,0.050149,0.0069413,0.0074556,0.53453,0.21715,0.18916,0.071119,0.059815,0.011722,0.025926,0.00901,0.00901,0.00901
12.0,0.04846,0.0065944,0.0087512,0.65894,0.26114,0.26815,0.1169,0.056952,0.010561,0.019602,0.008911,0.008911,0.008911
