               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090749,            0.015265,            0.026835,             0.79154,            0.042683,            0.036514,           0.0098903,            0.066858,            0.012771,            0.022718,            0.070291,            0.003301,            0.003301
                   1,            0.064912,            0.011417,            0.012579,             0.74171,             0.15272,             0.16327,            0.060322,            0.058818,            0.010921,            0.020777,            0.040226,           0.0065686,           0.0065686
                   2,            0.060454,           0.0093237,            0.011685,             0.67621,              0.1298,             0.13994,            0.051858,            0.063645,            0.017103,            0.025019,            0.010094,           0.0097703,           0.0097703
                   3,            0.060064,           0.0090217,            0.011713,             0.60136,             0.17671,            0.053731,            0.018009,            0.067729,            0.053934,            0.044462,            0.009703,            0.009703,            0.009703
                   4,            0.057081,           0.0089619,            0.010482,             0.71149,             0.13013,             0.15067,             0.05732,             0.05974,            0.011202,            0.021574,            0.009703,            0.009703,            0.009703
                   5,            0.054517,           0.0084906,           0.0097088,             0.67856,             0.10569,            0.037012,            0.014083,            0.071005,            0.016123,            0.038698,            0.009604,            0.009604,            0.009604
                   6,            0.052286,           0.0080684,           0.0085515,             0.77779,              0.1177,             0.17609,             0.06071,            0.058802,            0.011786,            0.019607,            0.009505,            0.009505,            0.009505
                   7,            0.050317,           0.0079036,           0.0080701,             0.76558,               0.185,             0.21822,            0.082389,            0.052367,           0.0096809,            0.020491,            0.009406,            0.009406,            0.009406
                   8,            0.049456,           0.0075876,           0.0079206,             0.67761,             0.15693,             0.10554,            0.039814,            0.057319,              0.0117,            0.036814,            0.009307,            0.009307,            0.009307
                   9,            0.047893,           0.0073873,           0.0072224,             0.73911,             0.18605,             0.20638,            0.078462,            0.052856,            0.010138,            0.020599,            0.009208,            0.009208,            0.009208
