epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.091538,0.017978,0.030565,0.79396,0.044512,0.063397,0.016485,0.069066,0.013199,0.023088,0.070375,0.0032917,0.0032917
1.0,0.065307,0.013765,0.016166,0.73596,0.14237,0.18947,0.06713,0.062525,0.010324,0.019791,0.040309,0.0065594,0.0065594
2.0,0.060057,0.01143,0.014658,0.39014,0.30959,0.15491,0.058825,0.06236,0.020463,0.020285,0.010178,0.0097612,0.0097612
3.0,0.057643,0.010949,0.013529,0.60623,0.17432,0.22559,0.086232,0.060362,0.015687,0.025537,0.009703,0.009703,0.009703
4.0,0.055452,0.010538,0.013055,0.4167,0.14171,0.083091,0.028521,0.06325,0.01359,0.034871,0.009703,0.009703,0.009703
5.0,0.053222,0.010319,0.011789,0.57028,0.25543,0.23964,0.098051,0.057317,0.011654,0.023304,0.009604,0.009604,0.009604
6.0,0.052428,0.010093,0.010811,0.62981,0.25484,0.27121,0.11899,0.053899,0.0096274,0.017029,0.009505,0.009505,0.009505
7.0,0.050614,0.0099256,0.010493,0.68701,0.30174,0.32832,0.13289,0.054953,0.0089925,0.017415,0.009406,0.009406,0.009406
8.0,0.049664,0.00975,0.0094587,0.66816,0.34395,0.35838,0.1548,0.050688,0.0089886,0.014788,0.009307,0.009307,0.009307
9.0,0.048018,0.0094155,0.009358,0.57584,0.25484,0.24034,0.10435,0.057741,0.0099982,0.018238,0.009208,0.009208,0.009208
10.0,0.047364,0.0095008,0.0097824,0.74374,0.36692,0.40331,0.18901,0.049192,0.0084952,0.012998,0.009109,0.009109,0.009109
11.0,0.046493,0.0092226,0.0082936,0.71731,0.36778,0.39158,0.16748,0.052174,0.0086866,0.015175,0.00901,0.00901,0.00901
12.0,0.046117,0.0091146,0.0081092,0.72896,0.35182,0.39069,0.173,0.048743,0.0086182,0.013072,0.008911,0.008911,0.008911
13.0,0.04525,0.0091019,0.0074988,0.6713,0.35906,0.37697,0.17806,0.048653,0.0093707,0.016758,0.008812,0.008812,0.008812
14.0,0.044595,0.0088779,0.0073826,0.70534,0.36465,0.40014,0.18224,0.047473,0.0091092,0.013484,0.008713,0.008713,0.008713
15.0,0.043787,0.0087509,0.0070012,0.73619,0.34498,0.39882,0.18575,0.049382,0.0089299,0.014915,0.008614,0.008614,0.008614
16.0,0.043691,0.0088884,0.0073386,0.77692,0.33564,0.394,0.18672,0.050534,0.0094273,0.014504,0.008515,0.008515,0.008515
17.0,0.043584,0.0085169,0.0066678,0.79399,0.38091,0.42664,0.21147,0.048451,0.0088222,0.012467,0.008416,0.008416,0.008416
18.0,0.042801,0.0086088,0.0063688,0.72254,0.38595,0.42183,0.19544,0.046817,0.0085578,0.012639,0.008317,0.008317,0.008317
19.0,0.042243,0.0086273,0.0068058,0.74304,0.41705,0.45713,0.22517,0.045902,0.0086997,0.010161,0.008218,0.008218,0.008218
20.0,0.041412,0.0082751,0.0061943,0.70995,0.4143,0.44548,0.22039,0.045534,0.0084767,0.013815,0.008119,0.008119,0.008119
21.0,0.041345,0.0085946,0.0060477,0.77937,0.40766,0.44248,0.22395,0.047093,0.0084785,0.012577,0.00802,0.00802,0.00802
22.0,0.041459,0.0082992,0.0063613,0.76497,0.40558,0.44472,0.23725,0.046722,0.0086069,0.012523,0.007921,0.007921,0.007921
23.0,0.040925,0.0082091,0.005649,0.72929,0.34386,0.38756,0.18793,0.046453,0.0091344,0.019271,0.007822,0.007822,0.007822
24.0,0.040494,0.0082924,0.0054921,0.7805,0.35552,0.43208,0.2265,0.045188,0.0084136,0.014446,0.007723,0.007723,0.007723
25.0,0.040338,0.0082348,0.0050504,0.79323,0.35185,0.41087,0.20775,0.044635,0.0085038,0.015388,0.007624,0.007624,0.007624
26.0,0.039785,0.0080514,0.0054803,0.72148,0.40078,0.44062,0.21603,0.045008,0.0085257,0.012319,0.007525,0.007525,0.007525
27.0,0.03876,0.0079689,0.0048972,0.73557,0.41588,0.45399,0.23369,0.046997,0.0085941,0.012047,0.007426,0.007426,0.007426
28.0,0.038542,0.0079411,0.0045609,0.77273,0.37399,0.44961,0.23715,0.044602,0.0083638,0.012114,0.007327,0.007327,0.007327
29.0,0.038667,0.0076008,0.0051425,0.80166,0.36275,0.42883,0.22056,0.046658,0.0083493,0.011885,0.007228,0.007228,0.007228
30.0,0.037803,0.0076206,0.0040417,0.75897,0.43385,0.46851,0.23975,0.043016,0.0080528,0.011154,0.007129,0.007129,0.007129
31.0,0.037581,0.0075695,0.0042181,0.85394,0.37826,0.4736,0.2581,0.043133,0.0088232,0.012061,0.00703,0.00703,0.00703
32.0,0.037014,0.0074398,0.0038314,0.76051,0.43866,0.48236,0.26369,0.043716,0.0078402,0.012516,0.006931,0.006931,0.006931
33.0,0.037364,0.0074965,0.0040202,0.78877,0.39515,0.44993,0.2361,0.043747,0.0083226,0.012772,0.006832,0.006832,0.006832
34.0,0.037072,0.0076168,0.0038795,0.78893,0.40214,0.42399,0.22047,0.046388,0.008562,0.015932,0.006733,0.006733,0.006733
35.0,0.036398,0.0075287,0.0039005,0.75259,0.43746,0.46362,0.24852,0.04424,0.0080688,0.013408,0.006634,0.006634,0.006634
36.0,0.036452,0.0076311,0.0040955,0.7473,0.3872,0.42863,0.23329,0.045041,0.0078117,0.015845,0.006535,0.006535,0.006535
37.0,0.036221,0.0074946,0.003826,0.80481,0.40524,0.45493,0.24301,0.043911,0.00816,0.012506,0.006436,0.006436,0.006436
38.0,0.035804,0.00722,0.0035119,0.78713,0.40347,0.44831,0.24398,0.044458,0.0083408,0.014526,0.006337,0.006337,0.006337
39.0,0.035244,0.0072668,0.0033446,0.77867,0.43367,0.45309,0.23387,0.044959,0.0081896,0.01426,0.006238,0.006238,0.006238
40.0,0.035173,0.0072939,0.0033228,0.79363,0.44656,0.47513,0.25081,0.043776,0.0083201,0.01459,0.006139,0.006139,0.006139
41.0,0.034403,0.0071378,0.0029602,0.77728,0.4206,0.46751,0.2373,0.04292,0.008246,0.014362,0.00604,0.00604,0.00604
42.0,0.03527,0.007218,0.0032448,0.83032,0.43598,0.4891,0.2527,0.04461,0.0080372,0.014806,0.005941,0.005941,0.005941
43.0,0.034598,0.0071779,0.0030011,0.77905,0.43639,0.46989,0.23723,0.045236,0.0079335,0.01308,0.005842,0.005842,0.005842
44.0,0.034572,0.0072375,0.0032381,0.81108,0.44168,0.49682,0.2611,0.041338,0.0083417,0.011349,0.005743,0.005743,0.005743
45.0,0.034159,0.0069846,0.0025281,0.82683,0.41787,0.46809,0.24427,0.044821,0.0085821,0.013245,0.005644,0.005644,0.005644
46.0,0.033534,0.0070801,0.0033277,0.79597,0.43976,0.47762,0.27469,0.042416,0.0076765,0.013874,0.005545,0.005545,0.005545
47.0,0.033316,0.0067176,0.0029378,0.78635,0.46874,0.49471,0.26261,0.043007,0.0083715,0.013126,0.005446,0.005446,0.005446
48.0,0.032978,0.0067728,0.0027712,0.84466,0.41194,0.48265,0.25399,0.042784,0.0083162,0.014121,0.005347,0.005347,0.005347
49.0,0.033178,0.0070138,0.0028346,0.82233,0.451,0.49821,0.27395,0.04232,0.0080663,0.01373,0.005248,0.005248,0.005248
50.0,0.032474,0.0069403,0.0025093,0.8461,0.41133,0.49297,0.27048,0.04418,0.0082603,0.012099,0.005149,0.005149,0.005149
51.0,0.032488,0.0068142,0.0028181,0.7712,0.43355,0.47341,0.26491,0.042247,0.0083157,0.014424,0.00505,0.00505,0.00505
52.0,0.031704,0.0065398,0.0023214,0.76229,0.44283,0.47165,0.26293,0.043883,0.0081881,0.012863,0.004951,0.004951,0.004951
53.0,0.03168,0.0067282,0.0024465,0.83865,0.44266,0.48816,0.26846,0.042695,0.0083729,0.013316,0.004852,0.004852,0.004852
54.0,0.03146,0.0065697,0.0024721,0.82349,0.43719,0.48162,0.25858,0.043373,0.0084664,0.012059,0.004753,0.004753,0.004753
55.0,0.031917,0.0065262,0.0024294,0.82625,0.41409,0.47629,0.25458,0.043415,0.008732,0.012726,0.004654,0.004654,0.004654
56.0,0.031455,0.0065277,0.0019783,0.81682,0.43,0.48655,0.26307,0.042577,0.0082864,0.013199,0.004555,0.004555,0.004555
57.0,0.031023,0.0064611,0.002151,0.85697,0.45409,0.50511,0.28037,0.042783,0.0082506,0.011514,0.004456,0.004456,0.004456
58.0,0.030439,0.0064535,0.0020139,0.81848,0.45633,0.51907,0.29583,0.042121,0.0078631,0.013912,0.004357,0.004357,0.004357
59.0,0.030688,0.006288,0.0020145,0.83285,0.43063,0.49991,0.29249,0.041699,0.0085454,0.012673,0.004258,0.004258,0.004258
60.0,0.030334,0.0064287,0.0020576,0.7874,0.47111,0.50839,0.29238,0.041851,0.0083978,0.013701,0.004159,0.004159,0.004159
61.0,0.029988,0.0061324,0.0022243,0.84052,0.45707,0.4966,0.26708,0.044262,0.0082501,0.013437,0.00406,0.00406,0.00406
62.0,0.029983,0.0060692,0.0018409,0.81967,0.43861,0.50162,0.27389,0.042306,0.008574,0.012578,0.003961,0.003961,0.003961
63.0,0.029693,0.0062001,0.0019947,0.83769,0.44282,0.50627,0.28566,0.042171,0.0083545,0.01324,0.003862,0.003862,0.003862
64.0,0.02956,0.0062548,0.0018558,0.80612,0.44747,0.49501,0.27731,0.042976,0.0083349,0.013255,0.003763,0.003763,0.003763
65.0,0.029108,0.0062049,0.0019807,0.79936,0.48819,0.51129,0.28251,0.042491,0.0080113,0.014281,0.003664,0.003664,0.003664
66.0,0.02908,0.0061586,0.0016666,0.7903,0.47569,0.51492,0.28525,0.042036,0.0086122,0.014264,0.003565,0.003565,0.003565
67.0,0.028689,0.0060998,0.0016821,0.83672,0.44822,0.50965,0.28267,0.042143,0.0082348,0.014103,0.003466,0.003466,0.003466
68.0,0.028503,0.0059169,0.0019472,0.83508,0.42968,0.50761,0.29202,0.041707,0.008584,0.012562,0.003367,0.003367,0.003367
69.0,0.028205,0.006032,0.0017307,0.78827,0.45395,0.49661,0.2739,0.042162,0.0088809,0.013194,0.003268,0.003268,0.003268
70.0,0.027927,0.0059453,0.0014863,0.80458,0.4396,0.48808,0.2678,0.0437,0.0090691,0.012516,0.003169,0.003169,0.003169
71.0,0.027472,0.0056761,0.0013519,0.80977,0.46161,0.49885,0.28809,0.04218,0.0090635,0.012333,0.00307,0.00307,0.00307
72.0,0.027492,0.0057351,0.0014965,0.80235,0.47286,0.51687,0.29019,0.042211,0.008517,0.012668,0.002971,0.002971,0.002971
73.0,0.027542,0.0058429,0.0015173,0.81365,0.47364,0.51333,0.29385,0.042073,0.0087584,0.012826,0.002872,0.002872,0.002872
74.0,0.027152,0.0057374,0.0014105,0.80475,0.46015,0.50642,0.28535,0.04296,0.0087942,0.012743,0.002773,0.002773,0.002773
75.0,0.02705,0.0056875,0.0012478,0.82763,0.45273,0.52218,0.29421,0.041536,0.0087775,0.013354,0.002674,0.002674,0.002674
76.0,0.026871,0.0058507,0.0014458,0.86131,0.44126,0.50636,0.28207,0.042427,0.008907,0.011731,0.002575,0.002575,0.002575
77.0,0.026816,0.0056982,0.0012931,0.84289,0.44034,0.5105,0.29072,0.041909,0.0091091,0.012561,0.002476,0.002476,0.002476
78.0,0.026409,0.0056336,0.0013205,0.87228,0.43056,0.51543,0.29259,0.041628,0.0086064,0.011946,0.002377,0.002377,0.002377
79.0,0.025983,0.0056247,0.0010898,0.85707,0.44396,0.50972,0.2888,0.042001,0.008783,0.012987,0.002278,0.002278,0.002278
80.0,0.026137,0.0057047,0.0011977,0.82882,0.46117,0.50297,0.28692,0.04227,0.0090737,0.012745,0.002179,0.002179,0.002179
81.0,0.025584,0.0055693,0.0011405,0.84903,0.45215,0.52543,0.30113,0.042056,0.0087903,0.012871,0.00208,0.00208,0.00208
82.0,0.025241,0.0054055,0.0010885,0.86045,0.45345,0.52253,0.29254,0.04218,0.0088736,0.013269,0.001981,0.001981,0.001981
83.0,0.024701,0.0054094,0.00084833,0.84605,0.45812,0.52609,0.29605,0.042491,0.0088518,0.013682,0.001882,0.001882,0.001882
84.0,0.024926,0.0054284,0.0010958,0.84909,0.43984,0.50985,0.29073,0.042637,0.0088055,0.014142,0.001783,0.001783,0.001783
85.0,0.024876,0.0053954,0.0010249,0.80482,0.47547,0.51395,0.29253,0.04253,0.0089581,0.013991,0.001684,0.001684,0.001684
86.0,0.024839,0.0052119,0.0011292,0.85735,0.44268,0.52468,0.30118,0.041778,0.0087698,0.013684,0.001585,0.001585,0.001585
87.0,0.02421,0.0051398,0.00088486,0.80315,0.47644,0.52145,0.30454,0.042008,0.0091957,0.0139,0.001486,0.001486,0.001486
88.0,0.023959,0.0052109,0.00094363,0.57896,0.52792,0.54744,0.31202,0.042381,0.0089491,0.01358,0.001387,0.001387,0.001387
89.0,0.023873,0.0050587,0.00099463,0.57019,0.50685,0.53316,0.30438,0.04227,0.0090219,0.013856,0.001288,0.001288,0.001288
90.0,0.023838,0.0052369,0.00080462,0.8618,0.43392,0.53295,0.30063,0.042179,0.0088817,0.013817,0.001189,0.001189,0.001189
91.0,0.023726,0.0051504,0.00085565,0.87764,0.42876,0.53392,0.30559,0.042087,0.0090244,0.013845,0.00109,0.00109,0.00109
92.0,0.023561,0.0050291,0.0010008,0.88831,0.42585,0.52524,0.30116,0.042087,0.0089667,0.014034,0.000991,0.000991,0.000991
93.0,0.023493,0.0051618,0.00087797,0.85297,0.42847,0.52232,0.30204,0.041879,0.0090654,0.014016,0.000892,0.000892,0.000892
94.0,0.023269,0.0051122,0.00082071,0.51561,0.53997,0.52931,0.30529,0.041832,0.0092069,0.013484,0.000793,0.000793,0.000793
95.0,0.023369,0.0052301,0.00084403,0.55741,0.51174,0.52558,0.30232,0.041995,0.0092257,0.013853,0.000694,0.000694,0.000694
96.0,0.022923,0.0051027,0.00081033,0.55893,0.50827,0.53077,0.30795,0.042016,0.0092134,0.013799,0.000595,0.000595,0.000595
97.0,0.0226,0.0048811,0.00073163,0.56423,0.5066,0.5292,0.30863,0.042273,0.0092336,0.013738,0.000496,0.000496,0.000496
98.0,0.02258,0.0048693,0.00089287,0.56443,0.50758,0.52471,0.30437,0.041887,0.0091974,0.0143,0.000397,0.000397,0.000397
99.0,0.022375,0.0050141,0.00085356,0.55256,0.51315,0.53016,0.30753,0.041821,0.0092935,0.013948,0.000298,0.000298,0.000298
