epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.10243,0.02573,0.033873,0.53314,0.043293,0.015074,0.0042126,0.086739,0.012491,0.026492,0.070789,0.0032456,0.0032456
1.0,0.07323,0.022892,0.020614,0.66249,0.19314,0.13533,0.038675,0.068739,0.011647,0.017905,0.040724,0.0065138,0.0065138
2.0,0.066323,0.018725,0.014983,0.68263,0.12163,0.13376,0.046274,0.067593,0.011396,0.015442,0.010593,0.009716,0.009716
3.0,0.059168,0.017369,0.013393,0.47665,0.38081,0.28813,0.10339,0.057818,0.013166,0.017073,0.009703,0.009703,0.009703
4.0,0.05466,0.01615,0.011993,0.48787,0.28807,0.21122,0.077768,0.056074,0.012908,0.016799,0.009703,0.009703,0.009703
5.0,0.052327,0.015976,0.011458,0.65835,0.24383,0.2785,0.11249,0.057476,0.013112,0.019107,0.009604,0.009604,0.009604
6.0,0.050647,0.016069,0.0099124,0.66511,0.35032,0.34205,0.13982,0.052437,0.0094447,0.017148,0.009505,0.009505,0.009505
7.0,0.048804,0.015934,0.0088374,0.68849,0.35128,0.3667,0.14435,0.052854,0.0088879,0.015079,0.009406,0.009406,0.009406
8.0,0.048422,0.015496,0.0086549,0.62619,0.31445,0.3181,0.1366,0.056141,0.0092405,0.015689,0.009307,0.009307,0.009307
9.0,0.047496,0.015451,0.0080082,0.67383,0.32218,0.33807,0.13486,0.055251,0.0096075,0.016274,0.009208,0.009208,0.009208
10.0,0.045575,0.01495,0.0071264,0.68963,0.31109,0.32703,0.14219,0.054805,0.0086399,0.021805,0.009109,0.009109,0.009109
11.0,0.045919,0.015484,0.0085779,0.68138,0.31036,0.34924,0.16437,0.051609,0.01096,0.015896,0.00901,0.00901,0.00901
12.0,0.04494,0.014939,0.0071292,0.67526,0.33555,0.33882,0.15495,0.046578,0.0093512,0.022034,0.008911,0.008911,0.008911
13.0,0.043854,0.014647,0.0067808,0.75862,0.36633,0.42201,0.17832,0.050386,0.008842,0.013096,0.008812,0.008812,0.008812
14.0,0.043192,0.014227,0.0070872,0.70077,0.40567,0.4172,0.18737,0.048652,0.0088027,0.013266,0.008713,0.008713,0.008713
15.0,0.04276,0.01457,0.0065514,0.70674,0.34384,0.35913,0.13998,0.054859,0.0088534,0.013094,0.008614,0.008614,0.008614
16.0,0.04196,0.014013,0.0062166,0.753,0.36378,0.40052,0.19305,0.050035,0.0083733,0.014314,0.008515,0.008515,0.008515
17.0,0.042487,0.013982,0.0059073,0.77624,0.36571,0.4123,0.18134,0.050285,0.0084672,0.012046,0.008416,0.008416,0.008416
18.0,0.04051,0.013593,0.0052125,0.69826,0.42738,0.41596,0.21019,0.048635,0.0088116,0.012643,0.008317,0.008317,0.008317
19.0,0.040755,0.013878,0.0056611,0.79483,0.37156,0.44312,0.21307,0.04815,0.0080328,0.014319,0.008218,0.008218,0.008218
20.0,0.039985,0.013717,0.0052685,0.82501,0.39474,0.4688,0.23606,0.046735,0.0079701,0.013998,0.008119,0.008119,0.008119
21.0,0.039706,0.013331,0.005002,0.73547,0.40818,0.43937,0.21154,0.045454,0.00828,0.014858,0.00802,0.00802,0.00802
22.0,0.039959,0.013477,0.0051264,0.72826,0.41208,0.43419,0.21107,0.046227,0.0084543,0.016727,0.007921,0.007921,0.007921
23.0,0.039043,0.013446,0.0054062,0.74423,0.44593,0.47679,0.24247,0.044815,0.0079768,0.011459,0.007822,0.007822,0.007822
24.0,0.038875,0.013516,0.0048497,0.79832,0.41136,0.46996,0.24601,0.044991,0.0082279,0.011889,0.007723,0.007723,0.007723
