epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.115,0.020013,0.044692,0.00064572,0.30393,0.0077699,0.0019183,0.095731,0.014287,0.028289,0.0829,0.0019,0.0019
1.0,0.087597,0.016078,0.030592,0.0007834,0.30104,0.00396,0.0010706,0.09024,0.012296,0.020865,0.064861,0.0038614,0.0038614
2.0,0.071868,0.016336,0.023137,0.78674,0.042857,0.037088,0.0093301,0.087,0.012142,0.014928,0.046783,0.0057832,0.0057832
3.0,0.068403,0.014855,0.018807,0.84539,0.062637,0.11676,0.036223,0.066804,0.012615,0.013936,0.028665,0.0076654,0.0076654
4.0,0.064933,0.013415,0.016341,0.42947,0.20712,0.12632,0.038443,0.072279,0.011335,0.013558,0.010508,0.009508,0.009508
5.0,0.06201,0.011614,0.016457,0.45458,0.18075,0.16204,0.063826,0.065624,0.012365,0.015001,0.009505,0.009505,0.009505
6.0,0.06008,0.01161,0.01606,0.65792,0.11805,0.11714,0.036893,0.06682,0.026946,0.016442,0.009505,0.009505,0.009505
7.0,0.057218,0.011144,0.01366,0.4275,0.25338,0.15323,0.057396,0.060643,0.01347,0.013214,0.009406,0.009406,0.009406
8.0,0.05527,0.010965,0.014182,0.43508,0.27991,0.15262,0.055938,0.066056,0.015082,0.0167,0.009307,0.009307,0.009307
9.0,0.054272,0.010563,0.012498,0.41459,0.12773,0.084807,0.027148,0.067321,0.012985,0.016142,0.009208,0.009208,0.009208
10.0,0.052594,0.010232,0.012305,0.45856,0.25111,0.16899,0.064654,0.060708,0.010906,0.016536,0.009109,0.009109,0.009109
11.0,0.053079,0.010089,0.011352,0.5461,0.2325,0.19418,0.074479,0.058903,0.011478,0.014391,0.00901,0.00901,0.00901
12.0,0.05131,0.0096417,0.011296,0.62302,0.26444,0.24337,0.091126,0.060866,0.011707,0.01982,0.008911,0.008911,0.008911
13.0,0.050729,0.010177,0.010583,0.50901,0.20629,0.18844,0.06625,0.058845,0.010557,0.014301,0.008812,0.008812,0.008812
14.0,0.049949,0.009451,0.011185,0.52424,0.16684,0.13025,0.039776,0.072305,0.010283,0.015483,0.008713,0.008713,0.008713
15.0,0.050741,0.009983,0.0091564,0.57375,0.25554,0.23679,0.08769,0.057158,0.010579,0.015567,0.008614,0.008614,0.008614
16.0,0.049025,0.0089884,0.0091921,0.62026,0.28334,0.27006,0.1053,0.05826,0.0097154,0.011996,0.008515,0.008515,0.008515
17.0,0.048885,0.0096556,0.0077057,0.56735,0.23379,0.21968,0.094911,0.056277,0.011075,0.013858,0.008416,0.008416,0.008416
18.0,0.048526,0.0096767,0.0082153,0.61802,0.29379,0.29352,0.11625,0.056707,0.0096312,0.012594,0.008317,0.008317,0.008317
