               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094606,            0.017695,            0.033159,             0.77572,            0.034615,            0.037161,           0.0076952,            0.074843,            0.012856,            0.016609,            0.070441,           0.0032843,           0.0032843
                   1,            0.066778,             0.01403,            0.018357,             0.44016,             0.18055,             0.19226,            0.066457,            0.062441,            0.010925,             0.01154,            0.040376,           0.0065521,           0.0065521
                   2,            0.061078,            0.011988,            0.015485,             0.42823,             0.24792,             0.15121,            0.065432,            0.066492,            0.011899,            0.015031,            0.010244,            0.009754,            0.009754
                   3,            0.057863,            0.010648,            0.015139,             0.37922,             0.14186,            0.075163,            0.028226,            0.066736,            0.013346,            0.017383,            0.009703,            0.009703,            0.009703
                   4,            0.055747,            0.010824,            0.013711,             0.51279,             0.30319,             0.20744,            0.079093,            0.059535,            0.016204,            0.017067,            0.009703,            0.009703,            0.009703
                   5,            0.054769,            0.010324,            0.013781,             0.72494,             0.16043,              0.1937,            0.067738,            0.058279,            0.010703,            0.013948,            0.009604,            0.009604,            0.009604
                   6,            0.053631,            0.010253,            0.011653,             0.68479,             0.30425,             0.32023,             0.12279,            0.056717,           0.0099596,            0.012442,            0.009505,            0.009505,            0.009505
                   7,             0.05189,             0.01004,            0.011834,             0.60074,             0.22182,             0.24455,             0.10121,            0.053956,            0.011856,             0.01306,            0.009406,            0.009406,            0.009406
                   8,            0.050632,           0.0097314,            0.010783,             0.67807,             0.32633,             0.35976,               0.143,            0.051318,           0.0088108,            0.009236,            0.009307,            0.009307,            0.009307
                   9,            0.049461,           0.0096524,            0.010724,             0.62375,             0.32252,             0.32301,             0.14629,            0.049997,            0.010316,            0.012683,            0.009208,            0.009208,            0.009208
                  10,            0.047748,           0.0097156,           0.0099645,             0.68131,             0.32715,             0.35203,             0.15729,             0.05024,           0.0096251,            0.009132,            0.009109,            0.009109,            0.009109
                  11,             0.04728,           0.0092916,            0.009035,             0.70783,             0.38626,              0.3866,              0.1636,            0.048791,           0.0093787,           0.0095505,             0.00901,             0.00901,             0.00901
                  12,            0.046954,           0.0091609,           0.0096096,             0.68691,             0.32558,             0.36445,             0.17222,            0.046765,           0.0096131,             0.01098,            0.008911,            0.008911,            0.008911
                  13,            0.045938,           0.0089184,           0.0086371,             0.80364,             0.39458,             0.45783,             0.21643,            0.046455,           0.0086948,           0.0085053,            0.008812,            0.008812,            0.008812
                  14,            0.045574,           0.0089047,           0.0089204,             0.73236,             0.41138,             0.43448,             0.20928,            0.046514,           0.0087673,           0.0088176,            0.008713,            0.008713,            0.008713
                  15,            0.045715,           0.0089611,           0.0087983,             0.76989,             0.38051,              0.4379,             0.19375,            0.046334,            0.008692,           0.0090035,            0.008614,            0.008614,            0.008614
                  16,            0.045053,           0.0087391,           0.0078378,             0.71951,             0.42253,             0.45567,             0.21438,            0.045054,           0.0085212,           0.0088161,            0.008515,            0.008515,            0.008515
                  17,            0.043958,           0.0088509,           0.0073144,             0.79948,             0.41246,             0.47725,             0.22391,            0.044504,            0.008263,           0.0078553,            0.008416,            0.008416,            0.008416
                  18,            0.043267,           0.0086958,           0.0074957,             0.68781,             0.32105,             0.36734,             0.16958,            0.048536,           0.0092579,            0.009852,            0.008317,            0.008317,            0.008317
                  19,            0.043035,           0.0087449,           0.0076169,              0.6905,             0.40842,             0.42361,             0.20034,            0.044308,           0.0084307,            0.011671,            0.008218,            0.008218,            0.008218
                  20,            0.043093,           0.0085946,            0.008076,             0.79342,              0.4272,              0.4759,             0.24646,            0.042864,           0.0082806,           0.0080364,            0.008119,            0.008119,            0.008119
                  21,            0.042295,           0.0085935,           0.0074522,             0.79449,             0.35319,             0.40474,             0.19132,            0.047216,            0.009405,           0.0090325,             0.00802,             0.00802,             0.00802
                  22,             0.04184,            0.008527,           0.0069958,             0.76957,             0.42842,             0.46581,             0.20629,            0.045134,           0.0085508,           0.0090196,            0.007921,            0.007921,            0.007921
                  23,            0.041251,            0.008277,           0.0063237,             0.79118,             0.46785,             0.49467,             0.24578,            0.043172,           0.0081749,            0.008531,            0.007822,            0.007822,            0.007822
                  24,            0.040822,           0.0080687,           0.0060891,             0.77949,             0.44016,              0.4755,             0.24419,            0.043241,           0.0081779,           0.0077728,            0.007723,            0.007723,            0.007723
                  25,            0.040771,           0.0083251,           0.0060184,             0.83082,             0.37022,             0.44364,             0.21376,            0.045627,           0.0088097,           0.0088733,            0.007624,            0.007624,            0.007624
                  26,            0.040088,           0.0082757,           0.0059098,             0.71759,             0.39279,             0.43308,             0.21763,            0.042941,           0.0086666,            0.011025,            0.007525,            0.007525,            0.007525
                  27,            0.040457,           0.0081335,           0.0059318,             0.76821,              0.4285,             0.47649,             0.23185,            0.043463,           0.0081914,           0.0080452,            0.007426,            0.007426,            0.007426
                  28,            0.039648,           0.0079506,           0.0058065,             0.83296,             0.39651,             0.47455,              0.2429,            0.042493,           0.0081092,           0.0096277,            0.007327,            0.007327,            0.007327
                  29,             0.03926,           0.0078592,           0.0054442,             0.83701,             0.45542,             0.50586,              0.2597,            0.041302,           0.0085835,           0.0080617,            0.007228,            0.007228,            0.007228
