epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.09242,0.020249,0.031174,0.7861,0.048883,0.043189,0.010929,0.06601,0.01814,0.035102,0.070319,0.0032979,0.0032979
1.0,0.066684,0.015301,0.015154,0.71208,0.17385,0.18984,0.060956,0.055203,0.016057,0.031156,0.040253,0.0065656,0.0065656
2.0,0.062648,0.013314,0.012424,0.68672,0.18018,0.1697,0.060469,0.055209,0.015197,0.034579,0.010122,0.0097672,0.0097672
3.0,0.058902,0.012527,0.012388,0.71214,0.15394,0.18171,0.064499,0.060878,0.014494,0.030805,0.009703,0.009703,0.009703
4.0,0.055431,0.011983,0.011745,0.73473,0.1834,0.21692,0.084919,0.05661,0.014327,0.02977,0.009703,0.009703,0.009703
5.0,0.053943,0.011661,0.010869,0.75071,0.20966,0.28661,0.1066,0.051001,0.013806,0.027696,0.009604,0.009604,0.009604
6.0,0.051755,0.011388,0.01009,0.76078,0.18573,0.28821,0.11187,0.051658,0.015383,0.028424,0.009505,0.009505,0.009505
7.0,0.050877,0.011215,0.0096531,0.74704,0.20831,0.27414,0.12016,0.050475,0.013833,0.032287,0.009406,0.009406,0.009406
8.0,0.05011,0.010868,0.0089702,0.65769,0.3105,0.33083,0.14215,0.050199,0.013509,0.023154,0.009307,0.009307,0.009307
9.0,0.048865,0.01077,0.0078495,0.67672,0.2795,0.31243,0.13099,0.053658,0.013495,0.024728,0.009208,0.009208,0.009208
10.0,0.047831,0.010437,0.0074545,0.69272,0.27604,0.31188,0.13413,0.04922,0.013674,0.028324,0.009109,0.009109,0.009109
11.0,0.047102,0.010536,0.007482,0.65102,0.29578,0.31563,0.14095,0.049773,0.014172,0.026218,0.00901,0.00901,0.00901
12.0,0.045667,0.010331,0.0069125,0.59287,0.2905,0.28332,0.12154,0.052539,0.01418,0.033531,0.008911,0.008911,0.008911
13.0,0.045489,0.01057,0.0072489,0.67273,0.2955,0.33171,0.1465,0.050195,0.014269,0.025849,0.008812,0.008812,0.008812
14.0,0.044894,0.010085,0.0063246,0.69861,0.29853,0.32749,0.13893,0.052767,0.012693,0.02469,0.008713,0.008713,0.008713
15.0,0.043654,0.0099949,0.0062691,0.74719,0.34436,0.40363,0.18558,0.046488,0.013041,0.022538,0.008614,0.008614,0.008614
16.0,0.043427,0.0099842,0.0060608,0.67855,0.32923,0.34778,0.15423,0.050886,0.013473,0.024861,0.008515,0.008515,0.008515
17.0,0.043023,0.0094268,0.0057102,0.67451,0.348,0.35365,0.15271,0.049747,0.012192,0.022228,0.008416,0.008416,0.008416
18.0,0.042749,0.0095163,0.0062275,0.66336,0.37982,0.38561,0.17977,0.046595,0.012414,0.025646,0.008317,0.008317,0.008317
19.0,0.041836,0.0096422,0.0051341,0.73865,0.31965,0.37525,0.17006,0.047606,0.014173,0.026068,0.008218,0.008218,0.008218
20.0,0.042013,0.0093455,0.0056317,0.67988,0.37336,0.39072,0.18655,0.04648,0.012261,0.022039,0.008119,0.008119,0.008119
21.0,0.041021,0.0095993,0.0048999,0.73963,0.33359,0.38169,0.18012,0.04891,0.013101,0.022255,0.00802,0.00802,0.00802
22.0,0.040691,0.0096601,0.0044622,0.65614,0.31327,0.34961,0.16329,0.048467,0.012911,0.03655,0.007921,0.007921,0.007921
23.0,0.040012,0.00947,0.0046723,0.71469,0.31844,0.36667,0.17085,0.049685,0.013596,0.024441,0.007822,0.007822,0.007822
24.0,0.040176,0.0092683,0.0042773,0.77763,0.32798,0.39211,0.18627,0.045122,0.012558,0.029017,0.007723,0.007723,0.007723
25.0,0.040259,0.0090838,0.0052426,0.73506,0.33092,0.37691,0.17978,0.050182,0.012951,0.027145,0.007624,0.007624,0.007624
26.0,0.038694,0.0089256,0.0039325,0.7765,0.33087,0.3936,0.19265,0.045658,0.013291,0.027757,0.007525,0.007525,0.007525
27.0,0.03888,0.0089546,0.0040885,0.70879,0.40258,0.42897,0.20819,0.04498,0.012301,0.024404,0.007426,0.007426,0.007426
28.0,0.038508,0.0089138,0.0040541,0.74987,0.36157,0.40013,0.18243,0.04855,0.012503,0.025573,0.007327,0.007327,0.007327
29.0,0.037759,0.0089676,0.0037879,0.74265,0.35097,0.39278,0.19147,0.047477,0.013058,0.027762,0.007228,0.007228,0.007228
30.0,0.037845,0.0087517,0.0036031,0.76348,0.37472,0.42782,0.20337,0.045551,0.012617,0.022812,0.007129,0.007129,0.007129
31.0,0.037093,0.00851,0.0033907,0.77026,0.37226,0.433,0.20558,0.046686,0.012442,0.023613,0.00703,0.00703,0.00703
32.0,0.03659,0.0086444,0.003006,0.78207,0.37936,0.44439,0.2238,0.043764,0.012309,0.022218,0.006931,0.006931,0.006931
33.0,0.036855,0.0084418,0.0033729,0.77395,0.37111,0.40251,0.19616,0.047786,0.012951,0.026341,0.006832,0.006832,0.006832
34.0,0.035979,0.0082939,0.0024631,0.72322,0.34291,0.36205,0.16776,0.050516,0.012965,0.028981,0.006733,0.006733,0.006733
35.0,0.035973,0.0083061,0.0030676,0.75127,0.38377,0.428,0.19815,0.047591,0.012397,0.024046,0.006634,0.006634,0.006634
36.0,0.035957,0.008283,0.0032591,0.77912,0.37492,0.42906,0.20568,0.0459,0.013105,0.022427,0.006535,0.006535,0.006535
37.0,0.035446,0.0084925,0.0027664,0.70993,0.40467,0.43078,0.20799,0.045994,0.012949,0.024583,0.006436,0.006436,0.006436
38.0,0.034579,0.0080954,0.0023399,0.76254,0.36893,0.40516,0.20132,0.046456,0.01275,0.025939,0.006337,0.006337,0.006337
39.0,0.034206,0.0080976,0.0024608,0.76732,0.3485,0.39465,0.18849,0.047961,0.013212,0.029362,0.006238,0.006238,0.006238
40.0,0.034602,0.0079789,0.0025944,0.7371,0.36948,0.40195,0.19101,0.046268,0.01328,0.026127,0.006139,0.006139,0.006139
41.0,0.034196,0.0077915,0.0021387,0.73986,0.35188,0.38934,0.17741,0.048958,0.012822,0.028365,0.00604,0.00604,0.00604
42.0,0.033654,0.0078499,0.0026293,0.74945,0.3812,0.4076,0.19686,0.047595,0.013114,0.027787,0.005941,0.005941,0.005941
43.0,0.033766,0.0079282,0.0022162,0.78619,0.3611,0.41434,0.20318,0.046447,0.01351,0.025848,0.005842,0.005842,0.005842
44.0,0.033439,0.0078498,0.0021038,0.71192,0.40061,0.41962,0.20821,0.045846,0.013138,0.02753,0.005743,0.005743,0.005743
45.0,0.032475,0.0077551,0.0020734,0.74996,0.35556,0.40508,0.20365,0.046169,0.012797,0.030709,0.005644,0.005644,0.005644
46.0,0.033147,0.0075776,0.0020627,0.73261,0.37546,0.41687,0.20205,0.045444,0.012913,0.031515,0.005545,0.005545,0.005545
47.0,0.03272,0.0078022,0.0023947,0.75299,0.37876,0.41234,0.20066,0.045439,0.01343,0.027842,0.005446,0.005446,0.005446
48.0,0.032454,0.0073645,0.0020654,0.77187,0.35834,0.4182,0.20692,0.043885,0.013029,0.027317,0.005347,0.005347,0.005347
