epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0.0,0.089391,0.016295,0.025809,0.81991,0.076816,0.090018,0.029799,0.068152,0.018342,0.039473,0.070252,0.0033053,0.0033053
1.0,0.063912,0.011933,0.01178,0.66824,0.22515,0.17014,0.065911,0.06512,0.015534,0.037296,0.04023,0.0066167,0.0066167
2.0,0.059838,0.0095048,0.010182,0.62813,0.1122,0.086635,0.025576,0.066216,0.016722,0.035854,0.010186,0.0099062,0.0099062
3.0,0.058534,0.0093879,0.010274,0.63456,0.12114,0.10686,0.037692,0.063558,0.017011,0.043974,0.009901,0.009901,0.009901
4.0,0.055642,0.0092121,0.010058,0.69916,0.14908,0.19067,0.079586,0.0575,0.016858,0.037846,0.009901,0.009901,0.009901
5.0,0.052909,0.0087198,0.0081952,0.72907,0.15782,0.20914,0.09098,0.055441,0.014988,0.033222,0.009868,0.009868,0.009868
6.0,0.050605,0.008363,0.0079841,0.72921,0.18516,0.20807,0.086229,0.052974,0.01517,0.033752,0.009835,0.009835,0.009835
7.0,0.049562,0.0083003,0.0077365,0.72436,0.19998,0.23715,0.10389,0.049714,0.014365,0.03189,0.009802,0.009802,0.009802
8.0,0.048161,0.0080577,0.0074165,0.71773,0.21212,0.23985,0.094236,0.053414,0.015151,0.0286,0.009769,0.009769,0.009769
9.0,0.04723,0.0080233,0.007271,0.69855,0.19322,0.21649,0.096789,0.05496,0.015987,0.035643,0.009736,0.009736,0.009736
10.0,0.046071,0.0076603,0.0062086,0.76975,0.18871,0.26775,0.12173,0.049898,0.016167,0.03209,0.009703,0.009703,0.009703
11.0,0.045595,0.0076007,0.0067341,0.77007,0.21434,0.30077,0.13814,0.047365,0.013819,0.02874,0.00967,0.00967,0.00967
12.0,0.044128,0.0076055,0.0056875,0.75809,0.22058,0.28142,0.12794,0.048814,0.014976,0.031444,0.009637,0.009637,0.009637
13.0,0.044126,0.0075384,0.0059571,0.60393,0.24167,0.23147,0.098584,0.052941,0.015985,0.042344,0.009604,0.009604,0.009604
14.0,0.043667,0.0074259,0.0058464,0.7733,0.25221,0.32395,0.14819,0.048033,0.014045,0.027686,0.009571,0.009571,0.009571
15.0,0.043398,0.007331,0.0059315,0.64711,0.30454,0.31878,0.13197,0.054498,0.01468,0.028525,0.009538,0.009538,0.009538
16.0,0.042404,0.0071728,0.0052827,0.60277,0.35844,0.36931,0.1662,0.048343,0.012902,0.021111,0.009505,0.009505,0.009505
17.0,0.041922,0.0070934,0.0048878,0.56114,0.3779,0.34018,0.15445,0.049405,0.013505,0.03355,0.009472,0.009472,0.009472
18.0,0.041623,0.0071615,0.0048441,0.62036,0.39485,0.38355,0.18357,0.047306,0.013485,0.027837,0.009439,0.009439,0.009439
19.0,0.04195,0.0071863,0.0051428,0.59981,0.30504,0.31157,0.12539,0.052448,0.014502,0.036153,0.009406,0.009406,0.009406
20.0,0.041435,0.0070502,0.0049896,0.66251,0.35107,0.37939,0.17716,0.04754,0.01358,0.029088,0.009373,0.009373,0.009373
21.0,0.040471,0.0070978,0.0044443,0.73338,0.33485,0.41059,0.18737,0.045985,0.014176,0.023916,0.00934,0.00934,0.00934
22.0,0.040004,0.0069061,0.0042104,0.70024,0.34146,0.37974,0.17656,0.04662,0.01504,0.026678,0.009307,0.009307,0.009307
23.0,0.039742,0.0067328,0.0041009,0.677,0.36912,0.40185,0.19299,0.046292,0.012861,0.026133,0.009274,0.009274,0.009274
24.0,0.03933,0.0068295,0.0040668,0.73331,0.37188,0.4178,0.19446,0.046884,0.013044,0.020908,0.009241,0.009241,0.009241
25.0,0.039103,0.0067935,0.0036478,0.67271,0.34284,0.37444,0.17899,0.04664,0.013422,0.03129,0.009208,0.009208,0.009208
26.0,0.039082,0.0067135,0.0039166,0.7741,0.34416,0.40258,0.18811,0.045513,0.013473,0.024293,0.009175,0.009175,0.009175
27.0,0.038981,0.0067829,0.00411,0.71483,0.3679,0.41518,0.20667,0.045665,0.012857,0.023889,0.009142,0.009142,0.009142
28.0,0.038677,0.0066672,0.003543,0.72849,0.34976,0.39262,0.18759,0.045798,0.014134,0.026918,0.009109,0.009109,0.009109
29.0,0.038954,0.0067925,0.0037402,0.71765,0.39244,0.43307,0.2023,0.043823,0.012402,0.022481,0.009076,0.009076,0.009076
30.0,0.038457,0.0065912,0.0037223,0.70315,0.33887,0.38914,0.18199,0.04694,0.013465,0.026231,0.009043,0.009043,0.009043
31.0,0.037536,0.0066196,0.0033948,0.71859,0.36278,0.38993,0.18884,0.048225,0.013563,0.025882,0.00901,0.00901,0.00901
32.0,0.037266,0.0064769,0.0033933,0.70937,0.35158,0.38645,0.19571,0.045868,0.013114,0.027672,0.008977,0.008977,0.008977
33.0,0.037577,0.0064228,0.0032653,0.73075,0.3649,0.40723,0.19545,0.045384,0.012836,0.025853,0.008944,0.008944,0.008944
34.0,0.037294,0.0063784,0.003156,0.73216,0.34928,0.42062,0.20423,0.044384,0.013289,0.02483,0.008911,0.008911,0.008911
35.0,0.036996,0.0063985,0.0030893,0.72014,0.34764,0.3987,0.18881,0.047527,0.013183,0.027207,0.008878,0.008878,0.008878
