               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08053,            0.022068,            0.026152,             0.88422,            0.067158,            0.084011,            0.025954,            0.065502,            0.012491,            0.017031,            0.070252,           0.0033053,           0.0033053
                   1,             0.05887,            0.013699,            0.012097,             0.81594,             0.20768,             0.26543,              0.1026,            0.051912,            0.010729,            0.014818,            0.040186,           0.0065729,           0.0065729
                   2,            0.053171,             0.01068,            0.010218,             0.68053,             0.17674,             0.20854,            0.088432,            0.051824,            0.028522,            0.016494,            0.010055,           0.0097745,           0.0097745
                   3,            0.051473,            0.010473,            0.010019,             0.72902,             0.21006,             0.28862,             0.12452,            0.051165,            0.015196,             0.01515,            0.009703,            0.009703,            0.009703
                   4,            0.048632,            0.010174,           0.0091671,             0.68446,             0.32675,             0.36054,             0.16084,            0.050975,            0.011536,            0.019666,            0.009703,            0.009703,            0.009703
                   5,            0.046262,           0.0098765,            0.007716,             0.67901,             0.21131,             0.25679,            0.098694,            0.049359,            0.012843,            0.014643,            0.009604,            0.009604,            0.009604
                   6,             0.04417,           0.0092808,           0.0069466,             0.78153,             0.32611,             0.39702,             0.19123,            0.046711,           0.0098236,            0.011793,            0.009505,            0.009505,            0.009505
                   7,            0.043374,           0.0092486,           0.0070108,             0.74468,             0.38392,             0.42864,             0.20783,            0.046422,            0.010292,            0.011852,            0.009406,            0.009406,            0.009406
                   8,            0.041816,           0.0090665,           0.0063207,             0.78753,             0.33646,             0.41402,             0.21499,            0.043175,             0.01005,            0.010947,            0.009307,            0.009307,            0.009307
                   9,            0.040798,           0.0088766,           0.0060532,             0.68365,             0.37221,             0.40018,             0.18803,            0.043453,            0.010444,            0.012018,            0.009208,            0.009208,            0.009208
                  10,             0.04032,           0.0085405,            0.005657,             0.70704,              0.2514,              0.2932,             0.13403,            0.052322,            0.011363,            0.021108,            0.009109,            0.009109,            0.009109
                  11,            0.039505,           0.0084935,           0.0052086,             0.71937,             0.39133,             0.42055,             0.20606,            0.042133,            0.010044,            0.012195,             0.00901,             0.00901,             0.00901
                  12,            0.038329,           0.0083198,           0.0047366,             0.78016,             0.41297,             0.45043,             0.24064,            0.041832,           0.0092595,            0.013431,            0.008911,            0.008911,            0.008911
                  13,            0.037842,           0.0081647,           0.0046322,             0.76491,             0.40631,             0.46461,             0.23482,            0.043748,           0.0090901,            0.011456,            0.008812,            0.008812,            0.008812
                  14,            0.037685,           0.0080067,           0.0043927,              0.8518,             0.40456,             0.49756,             0.25145,            0.040944,           0.0091816,            0.012738,            0.008713,            0.008713,            0.008713
                  15,            0.037372,           0.0080995,           0.0047794,             0.73169,             0.38828,             0.41769,             0.21357,            0.044391,            0.011206,            0.013773,            0.008614,            0.008614,            0.008614
                  16,             0.03595,           0.0077888,           0.0040562,               0.788,             0.43269,             0.49792,               0.237,             0.04263,           0.0091772,            0.014026,            0.008515,            0.008515,            0.008515
                  17,            0.036003,            0.007654,           0.0040633,             0.85274,             0.39814,             0.48574,             0.25841,            0.042213,           0.0092735,            0.010848,            0.008416,            0.008416,            0.008416
                  18,            0.035815,           0.0077177,           0.0040678,              0.7736,             0.46132,             0.50778,             0.27791,            0.041624,           0.0090374,             0.01429,            0.008317,            0.008317,            0.008317
                  19,            0.034793,           0.0076959,           0.0038325,             0.80069,               0.457,             0.50924,             0.26109,            0.039712,           0.0089747,            0.010504,            0.008218,            0.008218,            0.008218
                  20,            0.034327,           0.0074221,           0.0031883,             0.79491,             0.43416,             0.47202,             0.23923,            0.043147,            0.009502,            0.012177,            0.008119,            0.008119,            0.008119
